iter	Passed	Remaining
213	545	729
214	548	727
215	551	725
216	554	723
217	557	721
218	559	718
219	562	716
220	565	713
221	568	711
222	570	709
223	573	706
224	576	705
225	579	702
226	582	700
227	584	697
228	587	695
229	589	692
230	592	689
231	595	687
232	598	685
233	600	682
234	603	680
235	606	678
236	608	675
237	612	673
238	614	671
239	617	668
240	619	666
241	622	663
242	624	660
243	626	657
244	629	655
245	631	652
246	634	650
247	637	647
248	639	644
249	641	641
250	644	639
251	647	637
252	649	634
253	651	631
254	654	628
255	656	625
256	658	622
257	661	620
258	664	617
259	666	614
260	668	612
261	670	609
262	672	606
263	675	603
264	678	601
265	680	598
266	683	596
267	685	593
268	688	590
269	691	588
270	693	586
271	696	584
272	699	581
273	702	579
274	704	576
275	707	574
276	711	572
277	713	569
278	716	567
279	719	564
280	721	562
281	724	559
282	727	557
283	729	554
284	732	552
285	734	549
286	736	546
287	739	544
288	741	541
289	744	539
290	747	536
291	749	534
292	751	531
293	754	528
294	757	526
295	760	524
296	762	521
297	765	518
298	768	516
299	770	513
300	773	511
301	776	508
302	778	506
303	781	503
304	784	501
305	786	498
306	790	496
307	792	494
308	795	491
309	797	489
310	800	486
311	802	483
312	805	481
313	809	479
314	811	476
315	813	473
316	816	471
317	818	468
318	821	466
319	824	464
320	827	461
321	830	458
322	832	456
323	835	453
324	838	451
325	841	448
326	843	446
327	845	443
328	848	440
329	851	438
330	853	435
331	856	433
332	859	430
333	861	428
334	863	425
335	866	422
336	869	420
337	871	417
338	874	415
339	876	412
340	878	409
341	881	407
342	883	404
343	887	402
344	889	399
345	891	397
346	894	394
347	896	391
348	899	389
349	902	386
350	904	383
351	906	381
352	909	378
353	911	376
354	913	373
355	917	371
356	920	368
357	923	366
358	925	363
359	927	360
360	930	358
361	933	355
362	936	353
363	938	350
364	940	348
365	943	345
366	945	342
367	948	340
368	951	337
369	953	335
370	955	332
371	958	329
372	960	327
373	962	324
374	965	321
375	968	319
376	970	316
377	973	314
378	975	311
379	977	308
380	980	306
381	982	303
382	985	300
383	987	298
384	989	295
385	992	293
386	994	290
387	996	287
388	999	285
389	1002	282
390	1004	279
391	1007	277
392	1009	274
393	1012	272
394	1015	269
395	1017	267
396	1020	264
397	1023	262
398	1025	259
399	1027	256
400	1031	254
401	1033	252
402	1036	249
403	1039	247
404	1041	244
405	1044	241
406	1047	239
407	1050	236
408	1052	234
409	1055	231
410	1058	229
411	1060	226
412	1063	223
413	1065	221
414	1068	218
415	1070	216
416	1073	213
417	1075	210
418	1078	208
419	1081	205
420	1083	203
421	1086	200
422	1088	198
423	1090	195
424	1093	192
425	1095	190
426	1098	187
427	1100	185
428	1102	182
429	1104	179
430	1107	177
431	1110	174
432	1113	172
433	1116	169
434	1119	167
435	1122	164
436	1124	162
437	1126	159
438	1129	156
439	1131	154
440	1134	151
441	1137	149
442	1140	146
443	1143	144
444	1146	141
445	1149	139
446	1151	136
447	1154	133
448	1156	131
449	1159	128
450	1161	126
451	1163	123
452	1165	120
453	1167	118
454	1170	115
455	1172	113
456	1174	110
457	1176	107
458	1179	105
459	1181	102
460	1183	100
461	1185	97
462	1187	94
463	1189	92
464	1192	89
465	1195	87
466	1197	84
467	1200	82
468	1202	79
469	1205	76
470	1208	74
471	1211	71
472	1214	69
473	1216	66
474	1219	64
475	1222	61
476	1225	59
477	1227	56
478	1229	53
479	1232	51
480	1235	48
481	1238	46
482	1241	43
483	1244	41
484	1246	38
485	1249	35
486	1251	33
487	1255	30
488	1257	28
489	1260	25
490	1263	23
491	1265	20
492	1268	18
493	1270	15
494	1273	12
495	1276	10
