Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolas Pallois,fr FRA,DF,Nantes,35,1987,23,17,"1,589",17.7,0,1,1,0,0,0,5,0,0.1,0.1,0.4,0.5,6,55,2,0.00,0.06,0.06,0.00,0.06,0.01,0.02,0.03,0.01,0.03,Matches
Andy Pelmard,fr FRA,DF,Clermont Foot,23,2000,34,33,"2,989",33.2,0,0,0,0,0,0,1,0,0.3,0.3,0.6,1.0,39,120,7,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Aurélien Pelon,fr FRA,DF,Lorient,19,2004,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Faris Pemi Moumbagna,cm CMR,FW,Marseille,23,2000,13,5,547,6.1,3,1,4,3,0,0,2,1,1.7,1.7,1.1,2.8,6,16,32,0.49,0.16,0.66,0.49,0.66,0.28,0.18,0.47,0.28,0.47,Matches
Danilo Pereira,pt POR,DF,Paris S-G,31,1991,26,22,"1,995",22.2,0,0,0,0,0,0,2,0,1.4,1.4,0.0,1.4,28,148,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
Mathias Pereira Lage,pt POR,"FW,MF",Brest,26,1996,30,12,"1,187",13.2,3,2,5,3,0,0,3,0,3.5,3.5,1.7,5.2,19,23,95,0.23,0.15,0.38,0.23,0.38,0.27,0.13,0.40,0.27,0.40,Matches
Romain Perraud,fr FRA,"DF,FW",Nice,25,1997,19,2,370,4.1,0,1,1,0,0,0,2,0,0.0,0.0,0.9,1.0,6,11,13,0.00,0.24,0.24,0.00,0.24,0.01,0.23,0.24,0.01,0.24,Matches
Lucas Perrin,fr FRA,DF,Strasbourg,24,1998,31,30,"2,723",30.3,0,1,1,0,0,0,3,0,0.6,0.6,0.8,1.4,17,115,8,0.00,0.03,0.03,0.00,0.03,0.02,0.03,0.05,0.02,0.05,Matches
Denis Petrić,rs SRB,GK,Nantes,35,1988,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ronaël Pierre-Gabriel,fr FRA,DF,Nantes,25,1998,12,6,598,6.6,0,0,0,0,0,0,3,0,0.3,0.3,0.8,1.2,12,17,12,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.17,0.05,0.17,Matches
Julien Ponceau,fr FRA,MF,Lorient,22,2000,32,27,"2,244",24.9,3,2,5,3,0,0,5,0,3.3,3.3,2.7,6.0,106,154,152,0.12,0.08,0.20,0.12,0.20,0.13,0.11,0.24,0.13,0.24,Matches
Sanjin Prcić,ba BIH,MF,Strasbourg,29,1993,3,1,88,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,5,0,0.00,0.00,0.00,0.00,0.00,0.01,0.23,0.24,0.01,0.24,Matches
Gonçalo Ramos,pt POR,FW,Paris S-G,22,2001,29,16,"1,419",15.8,11,1,12,10,1,1,1,0,10.9,10.2,2.4,12.5,11,29,88,0.70,0.06,0.76,0.63,0.70,0.69,0.15,0.84,0.64,0.79,Matches
Elba Rashani,xk KVX,"MF,FW",Clermont Foot,30,1993,24,14,"1,175",13.1,2,0,2,2,0,0,4,2,2.1,2.1,1.2,3.3,19,22,102,0.15,0.00,0.15,0.15,0.15,0.16,0.09,0.26,0.16,0.26,Matches
Guillaume Restes,fr FRA,GK,Toulouse,18,2005,34,34,"3,060",34.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alexsandro Ribeiro,br BRA,DF,Lille,23,1999,29,24,"2,220",24.7,0,0,0,0,0,0,6,1,2.0,2.0,0.5,2.6,15,82,7,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Matches
Amir Richardson,ma MAR,MF,Reims,21,2002,28,14,"1,352",15.0,3,1,4,3,0,0,4,0,1.6,1.6,1.1,2.8,28,72,40,0.20,0.07,0.27,0.20,0.27,0.11,0.08,0.18,0.11,0.18,Matches
Fabian Rieder,ch SUI,MF,Rennes,21,2002,15,2,365,4.1,1,0,1,1,0,0,0,0,0.3,0.3,0.6,0.9,10,41,18,0.25,0.00,0.25,0.25,0.25,0.07,0.14,0.21,0.07,0.21,Matches
Rémy Riou,fr FRA,GK,Lyon,35,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Valentin Rongier,fr FRA,MF,Marseille,28,1994,10,10,851,9.5,0,0,0,0,0,0,2,0,0.6,0.6,0.8,1.4,19,73,10,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.06,0.15,Matches
Pablo Rosario,nl NED,"MF,DF",Nice,26,1997,30,21,"2,009",22.3,0,0,0,0,0,0,4,0,1.2,1.2,1.4,2.6,20,93,27,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches
