names,urls
Fisayo Dele-Bashiru,/en/players/121a4fb8/Fisayo-Dele-Bashiru
Ali Dembélé,/en/players/eb3df7d9/Ali-Dembele
Michele Di Gregorio,/en/players/4e0c8d66/Michele-Di-Gregorio
Giovanni Di Lorenzo,/en/players/230a2fac/Giovanni-Di-Lorenzo
Boulaye Dia,/en/players/244bc2c8/Boulaye-Dia
Assane Diao,/en/players/8ae7d0ec/Assane-Diao
Federico Dimarco,/en/players/970b8574/Federico-Dimarco
Berat Djimsiti,/en/players/6eee05f1/Berat-Djimsiti
Dodô,/en/players/b5f7d10b/Dodo
Benjamín Domínguez,/en/players/a83b47fa/Benjamin-Dominguez
Patrick Dorgu,/en/players/e6536124/Patrick-Dorgu
Alberto Dossena,/en/players/61efb926/Alberto-Dossena
Issa Doumbia,/en/players/b74fc282/Issa-Doumbia
Anastasios Douvikas,/en/players/853ca71c/Anastasios-Douvikas
Artem Dovbyk,/en/players/5b847bb0/Artem-Dovbyk
Ondrej Duda,/en/players/79ca3e23/Ondrej-Duda
Denzel Dumfries,/en/players/481c9ece/Denzel-Dumfries
Alfred Duncan,/en/players/528492ea/Alfred-Duncan
Paulo Dybala,/en/players/e0921a4f/Paulo-Dybala
Enzo Ebosse,/en/players/9ba7b4fa/Enzo-Ebosse
Éderson,/en/players/a9202def/Ederson
Kingsley Ehizibue,/en/players/76b2817e/Kingsley-Ehizibue
Jeff Ekhator,/en/players/faf739d2/Jeff-Ekhator
Jurgen Ekkelenkamp,/en/players/73d6a176/Jurgen-Ekkelenkamp
Emmanuel Ekong,/en/players/c20892ee/Emmanuel-Ekong
Caleb Ekuban,/en/players/7afbd2c3/Caleb-Ekuban
Mikael Ellertsson,/en/players/c55967eb/Mikael-Ellertsson
Elif Elmas,/en/players/cf007308/Elif-Elmas
Emerson,/en/players/df8b52a5/Emerson
Yannik Engelhardt,/en/players/fac66db3/Yannik-Engelhardt
Martin Erlic,/en/players/0fee6bda/Martin-Erlic
Sebastiano Esposito,/en/players/7ff93107/Sebastiano-Esposito
Nahuel Estévez,/en/players/cec60a2f/Nahuel-Estevez
Giovanni Fabbian,/en/players/f97f9188/Giovanni-Fabbian
Alieu Fadera,/en/players/53210e42/Alieu-Fadera
Nicolò Fagioli,/en/players/366be751/Nicolo-Fagioli
Nicolò Fagioli,/en/players/366be751/Nicolo-Fagioli
Wladimiro Falcone,/en/players/9f5a610b/Wladimiro-Falcone
Davide Faraoni,/en/players/aae9d04a/Davide-Faraoni
Jacopo Fazzini,/en/players/06b08c45/Jacopo-Fazzini
Mattia Felici,/en/players/38aa2612/Mattia-Felici
João Félix,/en/players/8aafd64f/Joao-Felix
Lewis Ferguson,/en/players/ee64a822/Lewis-Ferguson
Daniel Fila,/en/players/383a628e/Daniel-Fila
Youssouf Fofana,/en/players/822d51d7/Youssouf-Fofana
Michael Folorunsho,/en/players/c391a179/Michael-Folorunsho
Michael Folorunsho,/en/players/c391a179/Michael-Folorunsho
Omari Forson,/en/players/1b9728b0/Omari-Forson
Davide Frattesi,/en/players/2a7d27c1/Davide-Frattesi
Morten Frendrup,/en/players/f4d60499/Morten-Frendrup
Martin Frese,/en/players/b910e9c0/Martin-Frese
Remo Freuler,/en/players/98d2c2c4/Remo-Freuler
Matteo Gabbia,/en/players/c235e803/Matteo-Gabbia
Alessandro Gabrielloni,/en/players/181cb492/Alessandro-Gabrielloni
Gianluca Gaetano,/en/players/3b387cc7/Gianluca-Gaetano
Roberto Gagliardini,/en/players/ce30bfc8/Roberto-Gagliardini
Antonino Gallo,/en/players/c74d63ac/Antonino-Gallo
Silvère Ganvoula M'Boussy,/en/players/6c731625/Silvere-Ganvoula-MBoussy
Federico Gatti,/en/players/18dd3219/Federico-Gatti
David de Gea,/en/players/7ba6d84e/David-de-Gea
Valentin Gendrey,/en/players/822ed0ec/Valentin-Gendrey
Daniele Ghilardi,/en/players/9cedad4b/Daniele-Ghilardi
Lautaro Gianetti,/en/players/e08ac719/Lautaro-Gianetti
Samuel Gigot,/en/players/41eebdf5/Samuel-Gigot
Mario Gila,/en/players/9c435456/Mario-Gila
Billy Gilmour,/en/players/df10e27c/Billy-Gilmour
Santiago Giménez,/en/players/37337aea/Santiago-Gimenez
Gvidas Gineitis,/en/players/548bd0de/Gvidas-Gineitis
Ben Godfrey,/en/players/9f7c837d/Ben-Godfrey
Saba Goglichidze,/en/players/011d370e/Saba-Goglichidze
Edoardo Goldaniga,/en/players/4b029b31/Edoardo-Goldaniga
Pierluigi Gollini,/en/players/f0f7f62f/Pierluigi-Gollini
Nicolás González,/en/players/2374aaca/Nicolas-Gonzalez
Robin Gosens,/en/players/2d970560/Robin-Gosens
Lucas Gourna-Douath,/en/players/3cd7820a/Lucas-Gourna-Douath
Alberto Grassi,/en/players/6cc97b6a/Alberto-Grassi
Mattéo Guendouzi,/en/players/5ea8ef20/Matteo-Guendouzi
Frederic Guilbert,/en/players/5d8d7454/Frederic-Guilbert
Albert Guðmundsson,/en/players/b79858d5/Albert-Gudmundsson
Emmanuel Gyasi,/en/players/f9758dae/Emmanuel-Gyasi
Christian Gytkjær,/en/players/9250bcff/Christian-Gytkjaer
Nicolas Haas,/en/players/fa449bba/Nicolas-Haas
Saad El Haddad,/en/players/7b12dccc/Saad-El-Haddad
Antoine Hainaut,/en/players/6503f220/Antoine-Hainaut
Mohamed Haj,/en/players/eb7dc619/Mohamed-Haj
Ridgeciano Haps,/en/players/c8d7131c/Ridgeciano-Haps
Abdou Harroui,/en/players/65fd099c/Abdou-Harroui
Liam Henderson,/en/players/d7918b13/Liam-Henderson
Mario Hermoso,/en/players/555f3a0b/Mario-Hermoso
Theo Hernández,/en/players/d4c9725f/Theo-Hernandez
Hernani,/en/players/6f5ead86/Hernani
Isak Hien,/en/players/12806697/Isak-Hien
Emil Holm,/en/players/c2357b65/Emil-Holm
Mats Hummels,/en/players/05d548d8/Mats-Hummels
Elseid Hysaj,/en/players/2f3452eb/Elseid-Hysaj
Jay Idzes,/en/players/a54ef587/Jay-Idzes
Jonathan Ikone,/en/players/42eaa028/Jonathan-Ikone
Jonathan Ikone,/en/players/42eaa028/Jonathan-Ikone
Ivan Ilić,/en/players/bb376bed/Ivan-Ilic
Samuel Iling-Junior,/en/players/ba492306/Samuel-Iling-Junior
Alessio Iovine,/en/players/083d7173/Alessio-Iovine
Gustav Isaksen,/en/players/5715bb71/Gustav-Isaksen
Ardian Ismajli,/en/players/6b635f5c/Ardian-Ismajli
Armando Izzo,/en/players/89976232/Armando-Izzo
Fellipe Jack,/en/players/cace4967/Fellipe-Jack
Ali Jasim,/en/players/1a927a6f/Ali-Jasim
Gaby Jean,/en/players/5f130a19/Gaby-Jean
Juan Jesus,/en/players/79083382/Juan-Jesus
Alejandro Jiménez,/en/players/faa13947/Alejandro-Jimenez
Þórir Jóhann Helgason,/en/players/dc765618/Thorir-Johann-Helgason
Jesse Joronen,/en/players/7f66ea09/Jesse-Joronen
Luka Jović,/en/players/4d8cd038/Luka-Jovic
Mohamed Kaba,/en/players/517cfb19/Mohamed-Kaba
Christian Kabasele,/en/players/914ab9a1/Christian-Kabasele
Pierre Kalulu,/en/players/85f7d1be/Pierre-Kalulu
Hassane Kamara,/en/players/19a12bed/Hassane-Kamara
Yann Karamoh,/en/players/8b66d9cc/Yann-Karamoh
Jesper Karlsson,/en/players/7952d0c2/Jesper-Karlsson
Jesper Karlsson,/en/players/7952d0c2/Jesper-Karlsson
Jesper Karlström,/en/players/e0a1f4eb/Jesper-Karlstrom
Lior Kasa,/en/players/7987ef17/Lior-Kasa
Grigoris Kastanos,/en/players/2a82aa85/Grigoris-Kastanos
Michael Kayode,/en/players/e19660a8/Michael-Kayode
Moise Kean,/en/players/3d50bcdb/Moise-Kean
Mandela Keita,/en/players/f5692b25/Mandela-Keita
Lloyd Kelly,/en/players/f31def1e/Lloyd-Kelly
Marc-Oliver Kempf,/en/players/815c314f/Marc-Oliver-Kempf
Kialonda,/en/players/34e4dc3b/Kialonda
Magnus Kofod Andersen,/en/players/a4731ebc/Magnus-Kofod-Andersen
Sead Kolašinac,/en/players/3935e52e/Sead-Kolasinac
Randal Kolo Muani,/en/players/c0b3669f/Randal-Kolo-Muani
Ismael Konate,/en/players/351ab035/Ismael-Konate
Manu Koné,/en/players/86574238/Manu-Kone
Teun Koopmeiners,/en/players/a26fb8aa/Teun-Koopmeiners
Odilon Kossounou,/en/players/1f3afdcb/Odilon-Kossounou
Christian Kouamé,/en/players/58e933d2/Christian-Kouame
Christian Kouamé,/en/players/58e933d2/Christian-Kouame
Viktor Kovalenko,/en/players/9d60028d/Viktor-Kovalenko
Mateusz Kowalski,/en/players/d2bb908c/Mateusz-Kowalski
Thomas Kristensen,/en/players/fadf9a05/Thomas-Kristensen
Nikola Krstović,/en/players/473803c9/Nikola-Krstovic
Khvicha Kvaratskhelia,/en/players/dea88efd/Khvicha-Kvaratskhelia
Giorgos Kyriakopoulos,/en/players/0a483542/Giorgos-Kyriakopoulos
Mathis Lambourde,/en/players/0da3d7ab/Mathis-Lambourde
Gianluca Lapadula,/en/players/2ead2809/Gianluca-Lapadula
Valentino Lazaro,/en/players/016ff750/Valentino-Lazaro
Darko Lazović,/en/players/5128bde4/Darko-Lazovic
Manuel Lazzari,/en/players/02caf6e0/Manuel-Lazzari
Enzo Le Fée,/en/players/6f806d99/Enzo-Le-Fee
Nicola Leali,/en/players/5f9970a0/Nicola-Leali
Rafael Leão,/en/players/20730eae/Rafael-Leao
Stefan Lekovic,/en/players/d633fd46/Stefan-Lekovic
Nunzio Lella,/en/players/c149e8a6/Nunzio-Lella
Giovanni Leoni,/en/players/570888ce/Giovanni-Leoni
Ben Lhassine Kone,/en/players/7452c7a8/Ben-Lhassine-Kone
Mattia Liberali,/en/players/775f4a87/Mattia-Liberali
Karol Linetty,/en/players/d023d70f/Karol-Linetty
Dailon Livramento,/en/players/c115db1e/Dailon-Livramento
Stanislav Lobotka,/en/players/e1cbb531/Stanislav-Lobotka
Manuel Locatelli,/en/players/a8a874f1/Manuel-Locatelli
Ruben Loftus-Cheek,/en/players/e97fd090/Ruben-Loftus-Cheek
Ademola Lookman,/en/players/7c104bb7/Ademola-Lookman
Sandi Lovrić,/en/players/966eea58/Sandi-Lovric
Lorenzo Lucca,/en/players/83c06f3a/Lorenzo-Lucca
Jhon Lucumí,/en/players/80490d7f/Jhon-Lucumi
José Luis Palomino,/en/players/921f6058/Jose-Luis-Palomino
Douglas Luiz,/en/players/6f7d826d/Douglas-Luiz
Romelu Lukaku,/en/players/5eae500a/Romelu-Lukaku
Sebastiano Luperto,/en/players/997fff07/Sebastiano-Luperto
Zito Luvumbo,/en/players/b09e0873/Zito-Luvumbo
Charalambos Lykogiannis,/en/players/5efc5389/Charalambos-Lykogiannis
Mathias Løvik,/en/players/f17aa65c/Mathias-Lovik
Giangiacomo Magnani,/en/players/cce9f582/Giangiacomo-Magnani
Mike Maignan,/en/players/fcb38f57/Mike-Maignan
Antoine Makoumbou,/en/players/f37f3522/Antoine-Makoumbou
Daniel Maldini,/en/players/801831fe/Daniel-Maldini
Daniel Maldini,/en/players/801831fe/Daniel-Maldini
Youssef Maleh,/en/players/4c8845f7/Youssef-Maleh
Ruslan Malinovskyi,/en/players/48d5bd33/Ruslan-Malinovskyi
Dennis Man,/en/players/2079b3cc/Dennis-Man
Gianluca Mancini,/en/players/5aa53281/Gianluca-Mancini
Christos Mandas,/en/players/f794e9ab/Christos-Mandas
Rolando Mandragora,/en/players/c7259b83/Rolando-Mandragora
Alberto Manzoni,/en/players/08cda374/Alberto-Manzoni
Alessandro Marcandalli,/en/players/d3225ad1/Alessandro-Marcandalli
Alessandro Marcandalli,/en/players/d3225ad1/Alessandro-Marcandalli
Filip Marchwiński,/en/players/55a88fd9/Filip-Marchwinski
Pablo Marí,/en/players/aa54ec6f/Pablo-Mari
Pablo Marí,/en/players/aa54ec6f/Pablo-Mari
Luca Marianucci,/en/players/64e6778a/Luca-Marianucci
Mirko Marić,/en/players/78338347/Mirko-Maric
Mirko Marić,/en/players/78338347/Mirko-Maric
Rafa Marín ,/en/players/3239a8ed/Rafa-Marin
Răzvan Marin,/en/players/7fac99d4/Razvan-Marin
Guillermo Maripán,/en/players/d9764034/Guillermo-Maripan
Aarón Martín,/en/players/2f3e911a/Aaron-Martin
Josep Martinez,/en/players/11d8aff0/Josep-Martinez
Lautaro Martínez,/en/players/f7036e1c/Lautaro-Martinez
Lucas Martínez Quarta,/en/players/3ec3c1c9/Lucas-Martinez-Quarta
Kevin Martins,/en/players/c1451401/Kevin-Martins
Adam Marušić,/en/players/d4535821/Adam-Marusic
Adam Masina,/en/players/de0f152c/Adam-Masina
Patrizio Masini,/en/players/151354b8/Patrizio-Masini
Alan Matturro,/en/players/547c0119/Alan-Matturro
Luca Mazzitelli,/en/players/dc61b402/Luca-Mazzitelli
Pasquale Mazzocchi,/en/players/eb0ec070/Pasquale-Mazzocchi
Samuel Mbangula,/en/players/3e25e70c/Samuel-Mbangula
Weston McKennie,/en/players/01c3aff5/Weston-McKennie
Scott McTominay,/en/players/d93c2511/Scott-McTominay
Filippo Melegoni,/en/players/6604165d/Filippo-Melegoni
Alex Meret,/en/players/9413b19f/Alex-Meret
Junior Messias,/en/players/f49c4ae9/Junior-Messias
Valentin Mihaila,/en/players/81a4c239/Valentin-Mihaila
Vanja Milinković-Savić,/en/players/9fa26bc2/Vanja-Milinkovic-Savic
Yerry Mina,/en/players/6d5701f2/Yerry-Mina
Juan Miranda,/en/players/ead61f73/Juan-Miranda
Fabio Miretti,/en/players/34693494/Fabio-Miretti
Henrikh Mkhitaryan,/en/players/dd0daf32/Henrikh-Mkhitaryan
Rui Modesto,/en/players/4f9c2d8c/Rui-Modesto
Lorenzo Montipò,/en/players/c1d95617/Lorenzo-Montipo
Álvaro Morata,/en/players/129af0db/Alvaro-Morata
Alberto Moreno,/en/players/11b9265b/Alberto-Moreno
Matias Moreno,/en/players/4637e608/Matias-Moreno
Tete Morente,/en/players/004d185e/Tete-Morente
Nikola Moro,/en/players/ff579c7e/Nikola-Moro
Daniel Mosquera,/en/players/091b9eb8/Daniel-Mosquera
Dany Mota,/en/players/efc9e31f/Dany-Mota
Bob Murphy Omoregbe,/en/players/b04364ed/Bob-Murphy-Omoregbe
Yunus Musah,/en/players/b51b1b9c/Yunus-Musah
Juan Musso,/en/players/a111cf41/Juan-Musso
Kingstone Mutandwa,/en/players/cbe32194/Kingstone-Mutandwa
