name,Squad,position,TIS
Konstantinos Koulierakis,Wolfsburg,Centre-Back,33.92009018598613
Denis Vavro,Wolfsburg,Centre-Back,33.88608417925464
Malcolm Jeng,Reims,Centre-Back,33.839506172839506
Anrie Chase,Stuttgart,Centre-Back,33.76357157828548
Jordan Lefort,Angers,Centre-Back,33.743688509021844
Amidou Doumbouya,Nice,Centre-Back,33.64734299516908
Philipp Lienhart,Freiburg,Centre-Back,33.6428765580709
Antonio Rüdiger,Real Madrid,Centre-Back,33.55492610726698
Facundo Medina,Lens,Centre-Back,33.38818600989654
Ethan Pinnock,Brentford,Centre-Back,33.3096952826993
Jarell Quansah,Liverpool,Centre-Back,33.29381805409203
Tim Oermann,Bochum,Centre-Back,33.21989447548107
Noahkai Banks,Augsburg,Centre-Back,33.086530663173
Lucas Beraldo,Paris S-G,Centre-Back,33.04059385443469
Jonny Evans,Manchester Utd,Centre-Back,32.97960506926024
Gaby Jean,Lecce,Centre-Back,32.9587646652864
Kevin Akpoguma,Hoffenheim,Centre-Back,32.92935985679348
Koni De Winter,Genoa,Centre-Back,32.89798305692346
Carl Johansson,Holstein Kiel,Centre-Back,32.79482496194825
Moïse Bombito,Nice,Centre-Back,32.765524451762985
Nicolò Casale,Bologna,Centre-Back,32.62097798324844
Ibrahima Konaté,Liverpool,Centre-Back,32.57949981498028
Stefan Bell,Mainz 05,Centre-Back,32.509961835938064
Clément Lenglet,Atlético Madrid,Centre-Back,32.341440667239574
Radu Drăgușin,Tottenham,Centre-Back,32.26613145462986
Luca Jaquez,Stuttgart,Centre-Back,32.23487124054615
Elijah Scott,Lecce,Centre-Back,32.23487124054615
Filipe Bordon,Lazio,Centre-Back,32.23487124054615
Ousmane Camara,Angers,Centre-Back,32.23487124054615
Eiran Cashin,Brighton,Centre-Back,32.23487124054615
Vitor Reis,Manchester City,Centre-Back,32.23487124054615
Unai García,Osasuna,Centre-Back,32.23487124054615
