name,Squad,position,TIS
Thomas Dähne,Holstein Kiel,Goalkeeper,25.0
Paul Grave,Bochum,Goalkeeper,25.0
Marcel Engelhardt,Holstein Kiel,Goalkeeper,25.0
Juan Musso,Atalanta,Goalkeeper,25.0
João Virgínia,Everton,Goalkeeper,25.0
Jesús Owono,Alavés,Goalkeeper,25.0
Nicola Bagnolini,Bologna,Goalkeeper,25.0
Neto,Bournemouth,Goalkeeper,25.0
Moritz Nicolas,Gladbach,Goalkeeper,25.0
Matteo Grandi,Venezia,Goalkeeper,25.0
Melvin Zinga,Angers,Goalkeeper,25.0
Maxime Dupé,Nice,Goalkeeper,25.0
Mio Backhaus,Werder Bremen,Goalkeeper,25.0
Mattia Perin,Juventus,Goalkeeper,25.0
Matt Turner,Crystal Palace,Goalkeeper,25.0
Mauro Vigorito,Como,Goalkeeper,25.0
Martin Dúbravka,Newcastle Utd,Goalkeeper,25.0
Matej Kovar,Leverkusen,Goalkeeper,25.0
Markus Kolke,Werder Bremen,Goalkeeper,25.0
Marius Müller,Wolfsburg,Goalkeeper,25.0
Simone Scuffet,Cagliari,Goalkeeper,25.0
Simone Perilli,Hellas Verona,Goalkeeper,25.0
Pavao Pervan,Wolfsburg,Goalkeeper,25.0
Pepe Reina,Como,Goalkeeper,25.0
Patrik Carlgren,Nantes,Goalkeeper,25.0
Richard Marcone,Parma,Goalkeeper,25.0
Robin Olsen,Aston Villa,Goalkeeper,25.0
Péter Gulácsi,RB Leipzig,Goalkeeper,25.0
Pietro Terracciano,Fiorentina,Goalkeeper,25.0
Raffaele Di Gennaro,Inter,Goalkeeper,25.0
Nikola Vasilj,St. Pauli,Goalkeeper,25.0
Noah Jauny,Brest,Goalkeeper,25.0
Niklas Lomb,Leverkusen,Goalkeeper,25.0
Joe Lumley,Southampton,Goalkeeper,25.0
Iñaki Peña,Barcelona,Goalkeeper,23.934405308831035
Ørjan Nyland,Sevilla,Goalkeeper,23.625211505922167
Jakub Stolarczyk,Leicester City,Goalkeeper,23.333333333333332
José Sá,Wolves,Goalkeeper,23.21428571428571
David Raya,Arsenal,Goalkeeper,22.559523809523807
Marco Carnesecchi,Atalanta,Goalkeeper,22.43333333333333
Giorgi Mamardashvili,Valencia,Goalkeeper,22.355072463768114
Mark Flekken,Brentford,Goalkeeper,22.349122807017544
Yehvann Diouf,Reims,Goalkeeper,22.255555555555553
Mile Svilar,Roma,Goalkeeper,21.904761904761905
Maduka Okoye,Udinese,Goalkeeper,21.833333333333332
Guglielmo Vicario,Tottenham,Goalkeeper,21.770833333333332
Ederson,Manchester City,Goalkeeper,21.710526315789473
Arijanet Muric,Ipswich Town,Goalkeeper,21.666666666666664
Wladimiro Falcone,Lecce,Goalkeeper,20.833333333333332
Stefano Turati,Monza,Goalkeeper,20.833333333333332
Pierluigi Gollini,Genoa,Goalkeeper,20.833333333333332
Timo Horn,Bochum,Goalkeeper,20.833333333333332
Stole Dimitrievski,Valencia,Goalkeeper,20.833333333333332
Philipp Köhn,Monaco,Goalkeeper,20.833333333333332
David Soria,Getafe,Goalkeeper,20.833333333333332
Dominik Greif,Mallorca,Goalkeeper,20.833333333333332
Filip Stankovic,Venezia,Goalkeeper,20.833333333333332
Jasper Cillessen,Las Palmas,Goalkeeper,20.833333333333332
Gregor Kobel,Dortmund,Goalkeeper,20.833333333333332
Gerónimo Rulli,Marseille,Goalkeeper,20.833333333333332
Alban Lafont,Nantes,Goalkeeper,20.833333333333332
Anthony Lopes,Nantes,Goalkeeper,20.833333333333332
Nicola Leali,Genoa,Goalkeeper,20.833333333333332
Stefan Ortega,Manchester City,Goalkeeper,20.833333333333332
Lucas Perri,Lyon,Goalkeeper,20.833333333333332
Donovan Léon,Auxerre,Goalkeeper,20.79710144927536
Álvaro Fernández,Sevilla,Goalkeeper,19.406392694063925
Diego Conde,Villarreal,Goalkeeper,18.686868686868685
Joan García,Espanyol,Goalkeeper,18.611111111111107
Kamil Grabara,Wolfsburg,Goalkeeper,18.187793427230044
Michael Zetterer,Werder Bremen,Goalkeeper,17.866666666666664
Emiliano Martínez,Aston Villa,Goalkeeper,17.777777777777775
Noah Atubolu,Freiburg,Goalkeeper,17.348484848484848
Marco Bizot,Brest,Goalkeeper,17.291666666666664
Matz Sels,Nott'ham Forest,Goalkeeper,17.20238095238095
Nick Pope,Newcastle Utd,Goalkeeper,16.666666666666664
Patrick Drewes,Bochum,Goalkeeper,16.666666666666664
Jonas Omlin,Gladbach,Goalkeeper,16.666666666666664
Adrián,Betis,Goalkeeper,16.666666666666664
Aaron Ramsdale,Southampton,Goalkeeper,16.666666666666664
Arthur Desmas,Le Havre,Goalkeeper,16.666666666666664
Hervé Koffi,Lens,Goalkeeper,16.666666666666664
Devis Vásquez,Empoli,Goalkeeper,16.666666666666664
Gianluigi Donnarumma,Paris S-G,Goalkeeper,16.666666666666664
Robin Zentner,Mainz 05,Goalkeeper,14.499999999999998
Kepa Arrizabalaga,Bournemouth,Goalkeeper,14.193121693121693
Augusto Batalla,Rayo Vallecano,Goalkeeper,13.863636363636363
Bernd Leno,Fulham,Goalkeeper,13.214285714285714
Paulo Gazzaniga,Girona,Goalkeeper,12.5
Dean Henderson,Crystal Palace,Goalkeeper,12.5
Brice Samba,Rennes,Goalkeeper,12.5
Julen Agirrezabala,Athletic Club,Goalkeeper,12.5
Juan Soriano,Leganés,Goalkeeper,12.5
Bart Verbruggen,Brighton,Goalkeeper,9.487179487179485
Sergio Herrera,Osasuna,Goalkeeper,9.487179487179485
Yahia Fofana,Angers,Goalkeeper,9.133333333333331
Zion Suzuki,Parma,Goalkeeper,8.333333333333332
Gautier Larsonneur,Saint-Étienne,Goalkeeper,8.333333333333332
Timon Weiner,Holstein Kiel,Goalkeeper,8.333333333333332
Robert Sánchez,Chelsea,Goalkeeper,4.848484848484846
Jordan Pickford,Everton,Goalkeeper,2.857142857142857
Antonio Sivera,Alavés,Goalkeeper,1.5750000000000002
