name,Squad,position,TIS
Mikel Oyarzabal,Real Sociedad,Centre-Forward,20.46107935440484
Darwin Núñez,Liverpool,Centre-Forward,19.996134020618555
Mario Balotelli,Genoa,Centre-Forward,19.717741935483872
Jaime Mata,Las Palmas,Centre-Forward,18.520788912579956
Sandro Ramírez,Las Palmas,Centre-Forward,18.047680412371133
Oumar Diakité,Reims,Centre-Forward,16.975602027883394
Álvaro Rodríguez,Getafe,Centre-Forward,16.900656814449917
Marcos André,Valladolid,Centre-Forward,16.21756055363322
Fábio Silva,Las Palmas,Centre-Forward,16.01015406162465
Marvin Pieringer,Heidenheim,Centre-Forward,15.844594594594597
Samuel Essende,Augsburg,Centre-Forward,14.738745980707394
Juanmi Latasa,Valladolid,Centre-Forward,13.172879616963066
Bertuğ Yıldırım,Getafe,Centre-Forward,12.254729729729728
Liam Delap,Ipswich Town,Centre-Forward,11.370582617000956
Lorenzo Lucca,Udinese,Centre-Forward,9.348861831656963
Isaac Romero,Sevilla,Centre-Forward,9.265442404006677
