,id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status
297,541231,Sepp van den Berg,Centre-Back,2001-12-20,23,['Netherlands'],192.0,right,2024-08-22,Liverpool FC,2029-06-30,18000000.0,"Knee problems - Return expected on Mar 15, 2025"
298,328658,Kristoffer Ajer,Centre-Back,1998-04-17,26,['Norway'],198.0,right,2021-07-21,Celtic FC,2028-06-30,18000000.0,
299,442248,Ethan Pinnock,Centre-Back,1993-05-29,31,"['Jamaica', 'England']",194.0,left,2019-07-02,Barnsley FC,2027-06-30,8000000.0,
300,74810,Ben Mee,Centre-Back,1989-09-21,35,['England'],180.0,left,2022-07-22,: Ablöse free transfer,2025-06-30,900000.0,
301,709767,Ji-soo Kim,Centre-Back,2004-12-24,20,"['Korea, South']",192.0,both,2024-07-01,Brentford FC B,2027-06-30,600000.0,
302,339556,Rico Henry,Left-Back,1997-07-08,27,"['England', 'Jamaica']",170.0,left,2016-08-31,Walsall FC,2026-06-30,20000000.0,"Hamstring injury - Return expected on Mar 8, 2025"
303,591949,Aaron Hickey,Right-Back,2002-06-10,22,['Scotland'],185.0,both,2022-07-09,Bologna FC 1909,2028-06-30,22000000.0,"Fitness - Return expected on Apr 2, 2025"
304,823486,Michael Kayode,Right-Back,2004-07-10,20,"['Italy', 'Nigeria']",179.0,right,2025-01-24,ACF Fiorentina,2025-06-30,18000000.0,
305,270171,Vitaly Janelt,Defensive Midfield,1998-05-10,26,['Germany'],184.0,left,2020-10-03,VfL Bochum,2026-06-30,22000000.0,
306,148367,Christian Nørgaard,Defensive Midfield,1994-03-10,30,['Denmark'],187.0,right,2019-07-01,: Ablöse €3.50m,2025-06-30,15000000.0,Team captain
307,1141628,Yunus Emre Konak,Defensive Midfield,2006-01-10,19,['Türkiye'],181.0,right,2024-01-11,Sivasspor,2029-06-30,4500000.0,
308,319859,Mathias Jensen,Central Midfield,1996-01-01,29,['Denmark'],180.0,right,2019-07-10,Celta de Vigo,2026-06-30,25000000.0,
309,340321,Josh Dasilva,Central Midfield,1998-10-23,26,"['England', 'Angola']",184.0,left,2018-08-21,Arsenal FC U23,2025-06-30,10000000.0,"Knee surgery - Return expected on Mar 15, 2025"
310,470596,Paris Maghoma,Central Midfield,2001-05-08,23,"['England', 'DR Congo']",184.0,right,2022-07-01,Brentford FC B,2027-06-30,350000.0,
311,559263,Fábio Carvalho,Attacking Midfield,2002-08-30,22,"['Portugal', 'England']",170.0,right,2024-08-12,Liverpool FC,2029-06-30,18000000.0,
312,540941,Mikkel Damsgaard,Attacking Midfield,2000-07-03,24,['Denmark'],180.0,right,2022-08-10,UC Sampdoria,2030-06-30,15000000.0,
313,717411,Yegor Yarmolyuk,Attacking Midfield,2004-03-01,20,['Ukraine'],180.0,right,2023-07-01,Brentford FC B,2028-06-30,12000000.0,
314,473050,Kevin Schade,Left Winger,2001-11-27,23,"['Germany', 'Nigeria']",185.0,right,2023-07-01,SC Freiburg,2028-06-30,22000000.0,
315,644401,Keane Lewis-Potter,Left Winger,2001-02-22,24,['England'],170.0,right,2022-07-12,Hull City,2031-06-30,20000000.0,
316,1086375,Gustavo Nunes,Left Winger,2005-11-20,19,['Brazil'],173.0,right,2024-08-28,Grêmio Foot-Ball Porto Alegrense,2030-06-30,10000000.0,Back injury - Return unknown
317,413039,Bryan Mbeumo,Right Winger,1999-08-07,25,"['Cameroon', 'France']",171.0,left,2019-08-05,ESTAC Troyes,2026-06-30,50000000.0,
318,388165,Yoane Wissa,Centre-Forward,1996-09-03,28,"['DR Congo', 'France']",176.0,right,2021-08-10,FC Lorient,2026-06-30,28000000.0,
319,739443,Igor Thiago,Centre-Forward,2001-06-26,23,"['Brazil', 'Bulgaria']",191.0,right,2024-07-01,Club Brugge KV,2029-06-30,25000000.0,"Knee injury - Return expected on Apr 2, 2025"
