,id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status
442,256429,Sergi Guardiola,Centre-Forward,1991-05-29,33,['Spain'],185.0,left,2024-09-04,Without Club,2025-06-30,600000.0,
443,251892,Juan Soriano,Goalkeeper,1997-08-23,27,['Spain'],185.0,right,2024-07-02,CD Tenerife,2027-06-30,1500000.0,
444,94308,Marko Dmitrovic,Goalkeeper,1992-01-24,33,['Serbia'],189.0,left,2024-08-12,Sevilla FC,2025-06-30,800000.0,
445,1055833,Alvin Abajas,Goalkeeper,2003-05-12,21,['Spain'],,,2024-07-01,CD Leganés B,2025-06-30,100000.0,
446,340339,Jorge Sáenz,Centre-Back,1996-11-17,28,['Spain'],188.0,right,2023-07-17,Valencia CF,2025-06-30,1500000.0,
447,308989,Sergio González,Centre-Back,1992-04-20,32,['Spain'],189.0,right,2020-08-10,CD Mirandés,2025-06-30,1500000.0,Team captain
448,143559,Matija Nastasić,Centre-Back,1993-03-28,31,['Serbia'],187.0,left,2024-08-30,RCD Mallorca,2026-06-30,1300000.0,
449,422466,Javi Hernández,Left-Back,1998-05-02,26,['Spain'],180.0,left,2020-09-28,Real Madrid Castilla,2027-06-30,2500000.0,
450,39125,Borna Barisic,Left-Back,1992-11-10,32,['Croatia'],186.0,left,2025-02-03,Trabzonspor,2025-06-30,1800000.0,"Cruciate ligament tear - Return expected on Sep 9, 2025"
451,282700,Enric Franquesa,Left-Back,1997-02-26,27,['Spain'],175.0,left,2024-07-01,Levante UD,2026-06-30,1500000.0,"Cruciate ligament injury - Return expected on Aug 1, 2025"
452,441170,Valentin Rosier,Right-Back,1996-08-19,28,"['France', 'Guadeloupe']",175.0,right,2024-07-05,Besiktas JK,2025-06-30,2500000.0,
453,466807,Adrià Altimira,Right-Back,2001-03-28,23,['Spain'],170.0,right,2024-08-21,Villarreal CF,2025-06-30,1800000.0,
454,277137,Renato Tapia,Defensive Midfield,1995-07-28,29,"['Peru', 'Netherlands']",185.0,right,2024-08-15,Celta de Vigo,2026-06-30,5000000.0,
455,469669,Yvan Neyou,Defensive Midfield,1997-01-03,28,"['Cameroon', 'France']",180.0,right,2023-08-01,AS Saint-Étienne,2025-06-30,2500000.0,
456,401583,Julián Chicco,Defensive Midfield,1998-01-13,27,"['Argentina', 'Italy']",187.0,right,2023-07-11,CA Colón,2025-06-30,800000.0,
457,543537,Seydouba Cissé,Central Midfield,2001-02-10,24,['Guinea'],178.0,right,2022-07-01,CD Leganés B,2026-06-30,3000000.0,
458,95641,Darko Brasanac,Central Midfield,1992-02-12,33,['Serbia'],178.0,right,2024-02-01,CA Osasuna,2025-06-30,1200000.0,
459,284884,Óscar Rodríguez,Attacking Midfield,1998-06-28,26,['Spain'],174.0,right,2024-08-12,Sevilla FC,2026-06-30,2500000.0,
460,569866,Roberto López,Attacking Midfield,2000-04-24,24,['Spain'],179.0,left,2024-07-10,Real Sociedad,2027-06-30,2200000.0,
461,585700,Juan Cruz,Left Winger,2000-04-25,24,"['Spain', 'Argentina']",180.0,left,2024-07-01,Real Betis Balompié,2028-06-30,4000000.0,
462,535959,Duk,Left Winger,2000-02-16,25,"['Cape Verde', 'Portugal']",182.0,right,2025-02-03,Aberdeen FC,2025-06-30,1200000.0,
463,223725,Munir El Haddadi,Right Winger,1995-09-01,29,"['Morocco', 'Spain']",177.0,left,2024-08-22,UD Las Palmas,2026-06-30,2000000.0,
464,413262,Dani Raba,Right Winger,1995-10-29,29,['Spain'],185.0,left,2022-07-01,Granada CF,2025-06-30,1800000.0,
465,480883,Miguel de la Fuente,Centre-Forward,1999-09-03,25,['Spain'],182.0,right,2024-07-01,Deportivo Alavés,2028-06-30,2000000.0,
466,852727,Diego García,Centre-Forward,2000-04-18,24,['Spain'],188.0,right,2022-07-01,CD Leganés B,2027-06-30,1500000.0,
467,493513,Karl Hein,Goalkeeper,2002-04-13,22,['Estonia'],193.0,right,2024-08-13,Arsenal FC,2025-06-30,3000000.0,
468,290346,André Ferreira,Goalkeeper,1996-05-29,28,['Portugal'],193.0,right,2024-07-01,Granada CF,2027-06-30,800000.0,
469,298583,Eray Cömert,Centre-Back,1998-02-04,27,"['Switzerland', 'Türkiye']",183.0,right,2024-07-10,Valencia CF,2025-06-30,3000000.0,
470,340853,Javi Sánchez,Centre-Back,1997-03-14,27,['Spain'],189.0,right,2020-07-01,Real Madrid,2026-06-30,2000000.0,Team captain
471,358250,Joseph Aidoo,Centre-Back,1995-09-29,29,['Ghana'],181.0,right,2025-01-30,Celta de Vigo,2025-06-30,2000000.0,
472,615350,Cenk Özkacar,Centre-Back,2000-10-06,24,['Türkiye'],190.0,left,2024-08-29,Valencia CF,2025-06-30,1800000.0,
473,857832,David Torres,Centre-Back,2003-03-05,21,['Spain'],182.0,left,2023-07-01,Real Valladolid Promesas,2026-06-30,1500000.0,
474,938146,Adam Aznou,Left-Back,2006-06-02,18,"['Morocco', 'Spain']",178.0,left,2025-02-03,Bayern Munich,2025-06-30,3000000.0,
475,392881,Antonio Candela,Right-Back,2000-04-27,24,['Italy'],185.0,right,2025-02-03,Venezia FC,2025-06-30,2300000.0,
