Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,PrgC_90,PrgP_90,PrgR_90,xG_90,xAG_90,npxG_90,npxG+xAG_90,Possession_Influence,Defensive_Contribution,Final_Third_Impact,Tactical_Adaptability,TIS
Simeon Nwankwo,ng NGA,FW,Salernitana,31.0,1992.0,15,6,686,7.6,3,0,3,3,0,0,0,0,2.7,2.7,0.6,3.2,6,7,39,0.39,0.0,0.39,0.39,0.39,0.35,0.07,0.42,0.35,0.42,Matches,0.7871720116618076,0.9183673469387755,5.11661807580175,0.35422740524781343,0.07871720116618076,0.35422740524781343,0.41982507288629745,3.7900874635568518,100.0,8.199708454810494,6.21963070942663,29.62888726919339
Rodri,es ESP,"FW,MF",Betis,23.0,2000.0,29,9,1051,11.7,0,0,0,0,0,0,0,0,1.1,1.1,1.2,2.2,49,65,116,0.0,0.0,0.0,0.0,0.0,0.09,0.1,0.19,0.09,0.19,Matches,4.196003805899144,5.566127497621314,9.933396764985728,0.09419600380589915,0.1027592768791627,0.09419600380589915,0.1883920076117983,10.941960038058992,100.0,3.0328258801141765,2.7909927053599755,29.623176339993655
M'Baye Niang,sn SEN,FW,Empoli,28.0,1994.0,14,5,708,7.9,6,1,7,2,4,4,1,0,5.4,2.3,0.9,3.2,13,11,43,0.76,0.13,0.89,0.25,0.38,0.68,0.12,0.8,0.29,0.41,Matches,1.652542372881356,1.3983050847457628,5.466101694915254,0.6864406779661018,0.11440677966101696,0.2923728813559322,0.4067796610169492,4.731638418079097,94.44444444444444,11.387711864406779,6.026365348399247,29.61893832391714
Myles Peart-Harris,eng ENG,"DF,MF",Brentford,20.0,2002.0,3,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,13.846153846153847,6.923076923076923,6.923076923076923,0.0,0.0,0.0,0.0,15.384615384615385,100.0,0.0,0.0,29.615384615384613
Andres Sfait,ro ROU,"DF,MF",Salernitana,18.0,2004.0,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.26,Matches,3.91304347826087,3.91304347826087,7.82608695652174,0.0,0.39130434782608703,0.0,0.39130434782608703,8.695652173913045,100.0,4.076086956521739,5.797101449275364,29.61503623188406
Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,22.0,2000.0,29,20,1854,20.6,8,1,9,8,0,0,0,0,2.7,2.7,2.8,5.5,111,58,173,0.39,0.05,0.44,0.39,0.44,0.13,0.14,0.27,0.13,0.27,Matches,5.388349514563107,2.815533980582524,8.398058252427184,0.13106796116504854,0.13592233009708737,0.13106796116504854,0.2669902912621359,9.223300970873787,100.0,4.146440129449837,3.955411722402014,29.61378550880978
Luca Koleosho,it ITA,"MF,FW",Burnley,18.0,2004.0,15,13,974,10.8,1,1,2,1,0,0,0,0,2.0,2.0,1.3,3.3,53,19,82,0.09,0.09,0.18,0.09,0.18,0.18,0.12,0.3,0.18,0.3,Matches,4.897330595482546,1.7556468172484598,7.57700205338809,0.18480492813141683,0.12012320328542093,0.18480492813141683,0.3049281314168377,7.905544147843942,100.0,5.101386036960984,4.517453798767967,29.608893737166326
Mahamadou Nagida,cm CMR,DF,Rennes,18.0,2005.0,3,1,106,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,5,2,11,0.0,0.0,0.0,0.0,0.0,0.1,0.24,0.35,0.1,0.35,Matches,4.245283018867925,1.6981132075471697,9.339622641509434,0.0849056603773585,0.25471698113207547,0.0849056603773585,0.339622641509434,8.49056603773585,100.0,4.422169811320754,5.031446540880505,29.59807389937107
Irvin Cardona,fr FRA,"MF,DF",Augsburg,25.0,1997.0,3,0,54,0.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,2,6,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches,5.0,3.3333333333333335,10.0,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,10.185185185185187,94.44444444444444,6.944444444444444,4.938271604938273,29.591049382716047
Wissam Ben Yedder,fr FRA,FW,Monaco,32.0,1990.0,32,26,2316,25.7,16,2,18,15,1,1,2,0,12.4,11.6,4.3,15.9,52,96,229,0.62,0.08,0.7,0.58,0.66,0.48,0.17,0.65,0.45,0.62,Matches,2.0207253886010363,3.7305699481865284,8.898963730569948,0.48186528497409326,0.1670984455958549,0.45077720207253885,0.6178756476683938,8.139032815198618,88.88888888888889,11.455634715025903,9.15371329879102,29.588775546919976
