Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ali Al Hamadi,iq IRQ,FW,Ipswich Town,23-010,2002,11,0,134,1.5,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.4,4,3,14,0.00,0.00,0.00,0.00,0.00,0.24,0.05,0.28,0.24,0.28,Matches
Marcus Harness,eng ENG,MF,Ipswich Town,29-015,1996,2,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jack Harrison,eng ENG,FW,Everton,28-111,1996,24,16,"1,426",15.8,1,0,1,1,0,0,0,0,3.0,3.0,3.0,6.0,39,32,83,0.06,0.00,0.06,0.06,0.06,0.19,0.19,0.38,0.19,0.38,Matches
Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-040,2002,25,23,"2,030",22.6,1,0,1,1,0,0,7,0,1.7,1.7,0.8,2.5,19,93,7,0.04,0.00,0.04,0.04,0.04,0.07,0.03,0.11,0.07,0.11,Matches
Kai Havertz,de GER,"FW,MF",Arsenal,25-273,1999,21,21,"1,839",20.4,9,3,12,9,0,0,4,0,9.4,9.4,2.4,11.8,34,59,110,0.44,0.15,0.59,0.44,0.59,0.46,0.12,0.58,0.46,0.58,Matches
Ayden Heaven,eng ENG,DF,Manchester Utd,18-170,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jan Paul van Hecke,nl NED,DF,Brighton,24-276,2000,26,25,"2,240",24.9,1,1,2,1,0,0,5,0,1.2,1.2,1.5,2.7,45,182,5,0.04,0.04,0.08,0.04,0.08,0.05,0.06,0.11,0.05,0.11,Matches
Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-044,1996,18,5,637,7.1,2,0,2,2,0,0,0,0,0.8,0.8,0.1,0.9,14,11,40,0.28,0.00,0.28,0.28,0.28,0.11,0.02,0.13,0.11,0.13,Matches
Dean Henderson,eng ENG,GK,Crystal Palace,27-364,1997,28,28,"2,520",28.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rico Henry,eng ENG,DF,Brentford,27-246,1997,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
