Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mattia Felici,it ITA,"MF,FW",Cagliari,23-328,2001,17,8,816,9.1,0,3,3,0,0,0,1,0,0.6,0.6,1.0,1.6,37,16,67,0.00,0.33,0.33,0.00,0.33,0.07,0.11,0.18,0.07,0.18,Matches
João Félix,pt POR,MF,Milan,25-121,1999,6,4,382,4.2,0,0,0,0,0,0,1,0,1.8,1.8,0.5,2.3,10,22,32,0.00,0.00,0.00,0.00,0.00,0.42,0.13,0.55,0.42,0.55,Matches
Lewis Ferguson,sct SCO,MF,Bologna,25-199,1999,11,5,533,5.9,1,0,1,0,1,1,0,0,0.8,0.0,0.7,0.7,11,28,16,0.17,0.00,0.17,0.00,0.00,0.14,0.11,0.25,0.00,0.11,Matches
Daniel Fila,cz CZE,FW,Venezia,22-202,2002,3,2,149,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,5,12,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Matches
Youssouf Fofana,fr FRA,MF,Milan,26-060,1999,26,23,"1,959",21.8,1,4,5,1,0,0,5,0,1.1,1.1,2.4,3.5,33,145,26,0.05,0.18,0.23,0.05,0.23,0.05,0.11,0.16,0.05,0.16,Matches
Michael Folorunsho,it ITA,"FW,MF",Fiorentina,27-032,1998,7,5,482,5.4,0,0,0,0,0,0,4,0,0.7,0.7,0.6,1.3,8,18,22,0.00,0.00,0.00,0.00,0.00,0.13,0.11,0.24,0.13,0.24,Matches
Michael Folorunsho,it ITA,"FW,MF",Napoli,27-032,1998,6,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27,Matches
Omari Forson,eng ENG,"MF,FW",Monza,20-234,2004,5,0,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Davide Frattesi,it ITA,MF,Inter,25-140,1999,21,5,836,9.3,4,1,5,4,0,0,1,0,2.3,2.3,0.7,3.0,15,24,29,0.43,0.11,0.54,0.43,0.54,0.25,0.08,0.33,0.25,0.33,Matches
Morten Frendrup,dk DEN,MF,Genoa,23-338,2001,27,27,"2,383",26.5,2,0,2,2,0,0,3,0,1.2,1.2,0.6,1.9,17,82,24,0.08,0.00,0.08,0.08,0.08,0.05,0.02,0.07,0.05,0.07,Matches
Martin Frese,dk DEN,DF,Hellas Verona,27-066,1998,5,3,336,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,10,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Remo Freuler,ch SUI,MF,Bologna,32-330,1992,27,27,"2,393",26.6,0,2,2,0,0,0,5,0,0.9,0.9,1.3,2.2,33,162,45,0.00,0.08,0.08,0.00,0.08,0.04,0.05,0.08,0.04,0.08,Matches
Matteo Gabbia,it ITA,DF,Milan,25-141,1999,17,15,"1,349",15.0,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.1,13,70,2,0.07,0.00,0.07,0.07,0.07,0.05,0.02,0.07,0.05,0.07,Matches
Alessandro Gabrielloni,it ITA,"FW,MF",Como,30-244,1994,11,0,109,1.2,1,1,2,1,0,0,1,0,0.3,0.3,0.8,1.0,4,5,11,0.83,0.83,1.65,0.83,1.65,0.21,0.64,0.86,0.21,0.86,Matches
Gianluca Gaetano,it ITA,"MF,FW",Cagliari,24-310,2000,20,8,820,9.1,1,2,3,1,0,0,0,0,4.0,4.0,0.9,4.9,10,32,65,0.11,0.22,0.33,0.11,0.33,0.44,0.10,0.54,0.44,0.54,Matches
Roberto Gagliardini,it ITA,"MF,DF",Monza,30-338,1994,4,0,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16,Matches
Antonino Gallo,it ITA,DF,Lecce,25-065,2000,21,21,"1,754",19.5,0,2,2,0,0,0,2,1,0.1,0.1,2.4,2.5,46,75,81,0.00,0.10,0.10,0.00,0.10,0.01,0.12,0.13,0.01,0.13,Matches
Silvère Ganvoula M'Boussy,cg CGO,FW,Monza,28-262,1996,5,4,294,3.3,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,2,3,14,0.00,0.00,0.00,0.00,0.00,0.11,0.07,0.18,0.11,0.18,Matches
Federico Gatti,it ITA,DF,Juventus,26-260,1998,26,25,"2,142",23.8,1,0,1,1,0,0,2,0,2.5,2.5,0.4,2.9,23,71,6,0.04,0.00,0.04,0.04,0.04,0.10,0.02,0.12,0.10,0.12,Matches
David de Gea,es ESP,GK,Fiorentina,34-124,1990,25,25,"2,250",25.0,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.01,0.01,0.00,0.01,Matches
Valentin Gendrey,fr FRA,DF,Lecce,24-263,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7,5,4,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.14,0.09,0.14,Matches
Daniele Ghilardi,it ITA,DF,Hellas Verona,22-064,2003,15,12,"1,225",13.6,0,0,0,0,0,0,5,0,0.4,0.4,0.1,0.6,6,31,3,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Lautaro Gianetti,ar ARG,DF,Udinese,31-118,1993,12,11,840,9.3,1,0,1,1,0,0,4,0,0.1,0.0,0.1,0.1,0,18,3,0.11,0.00,0.11,0.11,0.11,0.01,0.01,0.02,0.00,0.01,Matches
Samuel Gigot,fr FRA,DF,Lazio,31-150,1993,10,3,345,3.8,2,0,2,2,0,0,2,0,1.3,1.3,0.0,1.3,1,6,3,0.52,0.00,0.52,0.52,0.52,0.34,0.00,0.34,0.34,0.34,Matches
Mario Gila,es ESP,DF,Lazio,24-194,2000,24,24,"2,091",23.2,1,0,1,1,0,0,5,0,0.9,0.9,0.4,1.3,36,113,9,0.04,0.00,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,Matches
Billy Gilmour,sct SCO,MF,Napoli,23-273,2001,16,7,586,6.5,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.6,6,41,7,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches
Santiago Giménez,mx MEX,FW,Milan,23-327,2001,6,5,439,4.9,2,1,3,2,0,0,3,0,2.5,2.5,0.7,3.2,9,4,25,0.41,0.21,0.62,0.41,0.62,0.51,0.13,0.65,0.51,0.65,Matches
Gvidas Gineitis,lt LTU,MF,Torino,20-330,2004,21,8,875,9.7,2,1,3,2,0,0,1,0,0.7,0.7,1.8,2.5,11,27,33,0.21,0.10,0.31,0.21,0.31,0.07,0.19,0.26,0.07,0.26,Matches
Ben Godfrey,eng ENG,DF,Atalanta,27-055,1998,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Saba Goglichidze,ge GEO,DF,Empoli,20-259,2004,25,22,"1,941",21.6,0,0,0,0,0,0,0,1,0.1,0.1,0.1,0.2,8,33,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
Edoardo Goldaniga,it ITA,DF,Como,31-129,1993,23,19,"1,722",19.1,0,0,0,0,0,0,9,1,1.5,1.5,0.1,1.6,14,50,7,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Matches
Pierluigi Gollini,it ITA,GK,Genoa,29-358,1995,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nicolás González,ar ARG,FW,Juventus,26-339,1998,16,13,"1,019",11.3,1,2,3,1,0,0,0,0,2.4,2.4,0.5,2.9,19,28,77,0.09,0.18,0.26,0.09,0.26,0.21,0.05,0.26,0.21,0.26,Matches
Robin Gosens,de GER,DF,Fiorentina,30-249,1994,25,22,"1,971",21.9,3,4,7,3,0,0,5,0,1.4,1.4,1.9,3.3,26,83,63,0.14,0.18,0.32,0.14,0.32,0.06,0.09,0.15,0.06,0.15,Matches
Lucas Gourna-Douath,fr FRA,MF,Roma,21-218,2003,2,2,137,1.5,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,7,6,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Alberto Grassi,it ITA,MF,Empoli,30-004,1995,19,18,"1,427",15.9,1,0,1,1,0,0,6,0,0.6,0.6,0.2,0.8,11,43,11,0.06,0.00,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,Matches
Mattéo Guendouzi,fr FRA,MF,Lazio,25-331,1999,28,28,"2,473",27.5,1,3,4,1,0,0,4,0,0.9,0.9,2.9,3.8,74,245,44,0.04,0.11,0.15,0.04,0.15,0.03,0.10,0.14,0.03,0.14,Matches
Frederic Guilbert,fr FRA,DF,Lecce,30-077,1994,23,23,"1,851",20.6,0,1,1,0,0,0,2,2,0.2,0.2,1.5,1.7,33,62,35,0.00,0.05,0.05,0.00,0.05,0.01,0.07,0.08,0.01,0.08,Matches
Albert Guðmundsson,is ISL,"MF,FW",Fiorentina,27-269,1997,16,10,776,8.6,5,0,5,3,2,2,2,0,3.5,1.9,0.9,2.8,20,27,33,0.58,0.00,0.58,0.35,0.35,0.40,0.10,0.51,0.22,0.32,Matches
Emmanuel Gyasi,gh GHA,"DF,FW",Empoli,31-059,1994,28,28,"2,443",27.1,2,1,3,2,0,0,4,0,3.2,3.2,0.5,3.7,16,39,80,0.07,0.04,0.11,0.07,0.11,0.12,0.02,0.13,0.12,0.13,Matches
Christian Gytkjær,dk DEN,FW,Venezia,34-309,1990,20,2,323,3.6,2,0,2,1,1,1,0,0,1.5,0.8,0.1,0.9,2,2,22,0.56,0.00,0.56,0.28,0.28,0.42,0.04,0.46,0.21,0.25,Matches
Nicolas Haas,ch SUI,MF,Empoli,29-047,1996,10,2,287,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,9,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Saad El Haddad,ma MAR,MF,Venezia,19-230,2005,3,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches
Antoine Hainaut,fr FRA,"DF,MF",Parma,23-021,2002,19,7,820,9.1,1,0,1,1,0,0,3,0,0.6,0.6,0.4,1.0,20,28,27,0.11,0.00,0.11,0.11,0.11,0.06,0.05,0.11,0.06,0.11,Matches
