Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Yaser Asprilla,co COL,"FW,MF",Girona,21-112,2003,17,9,873,9.7,2,0,2,2,0,0,2,0,1.3,1.3,1.3,2.6,43,60,96,0.21,0.00,0.21,0.21,0.21,0.14,0.13,0.27,0.14,0.27,Matches
Ezequiel Ávila,ar ARG,FW,Betis,31-033,1994,18,6,632,7.0,2,0,2,2,0,0,5,1,1.5,1.5,1.0,2.5,12,18,46,0.28,0.00,0.28,0.28,0.28,0.22,0.14,0.36,0.22,0.36,Matches
Adam Aznou,ma MAR,"DF,MF",Valladolid,18-282,2006,4,3,238,2.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,8,14,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
César Azpilicueta,es ESP,DF,Atlético Madrid,35-195,1989,8,7,570,6.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,8,45,8,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Papa Ba,es ESP,MF,Girona,20-180,2004,1,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
Loïc Bade,fr FRA,DF,Sevilla,24-334,2000,22,21,"1,911",21.2,1,1,2,1,0,0,5,0,0.5,0.5,0.6,1.1,7,38,4,0.05,0.05,0.09,0.05,0.09,0.02,0.03,0.05,0.02,0.05,Matches
Alex Baena,es ESP,"MF,FW",Villarreal,23-234,2001,24,23,"1,997",22.2,6,7,13,6,0,1,8,0,5.6,4.8,8.8,13.6,69,153,120,0.27,0.32,0.59,0.27,0.59,0.25,0.40,0.65,0.22,0.61,Matches
Juma Bah,sl SLE,DF,Valladolid,18-334,2006,12,10,864,9.6,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,13,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Eric Bailly,ci CIV,DF,Villarreal,30-333,1994,10,7,580,6.4,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,1,18,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,20-140,2004,6,4,408,4.5,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.4,3,14,3,0.22,0.00,0.22,0.22,0.22,0.05,0.04,0.09,0.05,0.09,Matches
Cédric Bakambu,cd COD,FW,Betis,33-334,1991,17,5,530,5.9,1,2,3,1,0,0,4,0,2.3,2.3,0.6,2.8,6,9,34,0.17,0.34,0.51,0.17,0.51,0.39,0.10,0.48,0.39,0.48,Matches
Alejandro Balde,es ESP,DF,Barcelona,21-144,2003,23,21,"1,789",19.9,0,3,3,0,0,0,1,0,0.4,0.4,2.6,3.0,86,74,199,0.00,0.15,0.15,0.00,0.15,0.02,0.13,0.15,0.02,0.15,Matches
Iván Balliu,al ALB,DF,Rayo Vallecano,33-069,1992,19,7,785,8.7,0,0,0,0,0,0,2,0,0.0,0.0,0.4,0.4,7,31,14,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,28-350,1996,12,10,811,9.0,0,1,1,0,0,0,1,0,0.8,0.8,1.8,2.6,31,30,71,0.00,0.11,0.11,0.00,0.11,0.09,0.20,0.29,0.09,0.29,Matches
Adrian Baquerin,es ESP,FW,Valladolid,18-007,2007,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Valentín Barco,ar ARG,"DF,FW",Sevilla,20-231,2004,7,3,288,3.2,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,4,13,13,0.00,0.00,0.00,0.00,0.00,0.09,0.20,0.28,0.09,0.28,Matches
Borna Barišić,hr CRO,DF,Leganés,32-121,1992,1,1,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kike Barja,es ESP,"FW,MF",Osasuna,27-344,1997,9,3,247,2.7,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,18,2,30,0.00,0.00,0.00,0.00,0.00,0.07,0.18,0.25,0.07,0.25,Matches
