Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Benedict Hollerbach,de GER,"FW,MF",Union Berlin,23-298,2001,25,23,"1,886",21.0,6,1,7,6,0,0,2,0,5.2,5.2,1.4,6.6,74,54,155,0.29,0.05,0.33,0.29,0.33,0.25,0.07,0.31,0.25,0.31,Matches
Lewis Holtby,de GER,MF,Holstein Kiel,34-174,1990,20,12,"1,081",12.0,0,1,1,0,0,0,1,1,0.5,0.5,1.4,1.9,11,36,25,0.00,0.08,0.08,0.00,0.08,0.04,0.12,0.16,0.04,0.16,Matches
Gerrit Holtmann,ph PHI,"DF,FW",Bochum,29-351,1995,15,9,809,9.0,0,1,1,0,0,0,2,0,1.7,1.7,2.2,3.9,35,21,66,0.00,0.11,0.11,0.00,0.11,0.19,0.25,0.44,0.19,0.44,Matches
Franck Honorat,fr FRA,FW,Gladbach,28-212,1996,12,12,984,10.9,2,4,6,2,0,0,0,0,3.3,3.3,3.7,7.0,41,31,88,0.18,0.37,0.55,0.18,0.55,0.30,0.34,0.64,0.30,0.64,Matches
Mathias Honsak,at AUT,"FW,DF",Heidenheim,28-081,1996,18,11,"1,070",11.9,4,1,5,4,0,0,1,0,3.2,3.2,1.5,4.8,33,23,48,0.34,0.08,0.42,0.34,0.42,0.27,0.13,0.40,0.27,0.40,Matches
Timo Horn,de GER,GK,Bochum,31-303,1993,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Lukáš Hrádecký,fi FIN,GK,Leverkusen,35-107,1989,22,22,"1,980",22.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Robin Hranáč,cz CZE,DF,Hoffenheim,25-041,2000,4,2,219,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Hong Hyunseok,kr KOR,MF,Mainz 05,25-268,1999,16,4,439,4.9,0,1,1,0,0,0,0,0,0.5,0.5,0.6,1.1,6,14,23,0.00,0.21,0.21,0.00,0.21,0.10,0.13,0.23,0.10,0.23,Matches
Oscar Højlund,dk DEN,MF,Eint Frankfurt,20-066,2005,14,5,491,5.5,1,0,1,1,0,0,0,0,0.9,0.9,0.6,1.4,15,40,6,0.18,0.00,0.18,0.18,0.18,0.16,0.10,0.27,0.16,0.27,Matches
