,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
39,Emmanuel Agbadou,CIV,DF,Reims,fr  Ligue 1,27-267,1997.0,14.0,810,922,87.9,16521,6962,293,316,92.7,400,417,95.9,110,174,63.2,0,0.3,0.3,-0.3,8,71,4,1,77
40,Asher Agbinone,ENG,MF,Crystal Palace,eng  Premier League,19-164,2005.0,0.1,2,3,66.7,32,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0
41,Jeremy Agbonifo,SWE,"FW,MF",Lens,fr  Ligue 1,19-138,2005.0,1.6,21,29,72.4,265,33,13,15,86.7,7,8,87.5,0,2,0.0,0,0.1,0.1,-0.1,1,1,1,1,2
42,Julen Agirrezabala,ESP,GK,Athletic Club,es  La Liga,24-075,2000.0,13.4,281,411,68.4,7681,5777,46,46,100.0,165,165,100.0,70,196,35.7,0,0.0,0.0,0.0,0,1,0,0,0
43,Lucien Agoume,FRA,MF,Sevilla,es  La Liga,23-030,2002.0,13.8,582,708,82.2,8957,2583,318,352,90.3,207,245,84.5,42,71,59.2,0,0.6,0.6,-0.6,9,57,5,1,62
44,Felix Agu,GER,DF,Werder Bremen,de  Bundesliga,25-165,1999.0,11.0,366,463,79.0,5651,1742,190,220,86.4,143,175,81.7,19,33,57.6,0,0.9,1.1,-0.9,11,11,14,8,19
45,Álvaro Aguado,ESP,MF,Espanyol,es  La Liga,28-314,1996.0,4.5,158,205,77.1,3028,942,53,69,76.8,82,97,84.5,21,30,70.0,0,0.0,0.2,0.0,2,22,7,3,25
46,Lorenzo Aguado,ESP,DF,Real Madrid,es  La Liga,22-173,2002.0,0.1,1,1,100.0,34,0,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
47,Nayef Aguerd,MAR,DF,Real Sociedad,es  La Liga,28-346,1996.0,18.6,1132,1295,87.4,21950,7836,423,446,94.8,562,601,93.5,134,212,63.2,0,0.1,0.3,-0.1,5,84,3,1,71
48,Ruben Aguilar,FRA,DF,Lens,fr  Ligue 1,31-319,1993.0,6.8,365,452,80.8,5106,2155,237,268,88.4,91,122,74.6,21,28,75.0,1,0.7,0.7,0.3,3,18,9,2,30
49,Naouirou Ahamada,FRA,"MF,FW",Rennes,fr  Ligue 1,22-347,2002.0,0.6,17,22,77.3,266,33,8,11,72.7,9,9,100.0,0,2,0.0,0,0.0,0.0,0.0,0,2,0,0,1
50,Honest Ahanor,ITA,DF,Genoa,it  Serie A,17-016,2008.0,0.9,12,17,70.6,275,122,3,5,60.0,7,7,100.0,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,2
51,Erik Ahlstrand,SWE,"FW,MF",St. Pauli,de  Bundesliga,23-148,2001.0,0.5,10,13,76.9,125,21,7,7,100.0,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
52,Jean-Eudes Aholou,CIV,MF,Angers,fr  Ligue 1,30-356,1994.0,19.5,603,707,85.3,9532,2460,297,333,89.2,272,300,90.7,18,41,43.9,0,0.4,0.6,-0.4,8,42,5,0,64
53,Joseph Aidoo,GHA,DF,Valladolid,es  La Liga,29-163,1995.0,2.7,138,163,84.7,2715,1065,41,44,93.2,84,89,94.4,12,28,42.9,0,0.0,0.0,0.0,0,7,1,0,3
54,Joseph Aidoo,GHA,DF,Celta Vigo,es  La Liga,29-163,1995.0,0.0,6,7,85.7,126,81,1,1,100.0,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
55,Ayman Aiki,FRA,"FW,MF",Saint-Étienne,fr  Ligue 1,19-259,2005.0,1.4,17,29,58.6,234,93,12,17,70.6,4,7,57.1,1,3,33.3,0,0.0,0.0,0.0,1,2,1,0,5
56,Ola Aina,NGA,DF,Nott'ham Forest,eng  Premier League,28-154,1996.0,27.1,801,1098,73.0,12418,5203,427,487,87.7,292,403,72.5,51,139,36.7,1,0.7,1.4,0.3,11,73,15,7,89
57,Rayan Aït-Nouri,ALG,DF,Wolves,eng  Premier League,23-278,2001.0,25.6,1052,1247,84.4,14622,4213,647,690,93.8,329,380,86.6,31,81,38.3,5,2.6,1.8,2.4,24,58,22,5,88
58,Junior Ajayi,CIV,FW,Hellas Verona,it  Serie A,20-151,2004.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
59,Kristoffer Ajer,NOR,DF,Brentford,eng  Premier League,26-328,1998.0,12.6,415,526,78.9,6576,2365,215,248,86.7,165,205,80.5,23,45,51.1,0,1.0,0.4,-1.0,5,37,5,4,45
60,Ludovic Ajorque,FRA,FW,Brest,fr  Ligue 1,31-014,1994.0,19.5,322,475,67.8,4740,706,183,257,71.2,101,138,73.2,22,30,73.3,1,2.4,1.5,-1.4,27,27,9,0,33
61,Manuel Akanji,SUI,DF,Manchester City,eng  Premier League,29-235,1995.0,19.0,1389,1479,93.9,22799,6245,666,694,96.0,641,671,95.5,68,92,73.9,0,0.4,1.1,-0.4,9,149,11,2,135
62,Ümit Akdag,ROU,DF,Toulouse,fr  Ligue 1,21-156,2003.0,4.8,231,293,78.8,3952,1494,100,122,82.0,120,132,90.9,10,29,34.5,0,0.1,0.1,-0.1,2,12,1,0,26
63,Nathan Aké,NED,DF,Manchester City,eng  Premier League,30-021,1995.0,7.5,509,542,93.9,8321,2950,248,253,98.0,237,244,97.1,20,34,58.8,0,0.0,0.2,0.0,1,42,1,0,50
64,Ilias Akhomach,MAR,"MF,FW",Villarreal,es  La Liga,20-329,2004.0,6.5,136,185,73.5,2161,534,76,88,86.4,46,63,73.0,8,14,57.1,0,1.0,1.7,-1.0,9,5,8,2,12
65,Sergio Akieme,ESP,DF,Reims,fr  Ligue 1,27-085,1997.0,19.5,667,820,81.3,9531,2742,400,432,92.6,229,280,81.8,22,69,31.9,1,1.3,1.6,-0.3,12,33,16,9,67
66,Maghnes Akliouche,FRA,"FW,MF",Monaco,fr  Ligue 1,23-014,2002.0,18.9,732,902,81.2,10089,3098,449,498,90.2,223,277,80.5,31,52,59.6,6,5.4,6.3,0.6,34,63,48,2,133
67,Clément Akpa,CIV,DF,Auxerre,fr  Ligue 1,23-107,2001.0,20.6,708,876,80.8,14296,5410,244,278,87.8,360,403,89.3,97,170,57.1,1,0.9,0.9,0.1,8,54,10,5,60
68,Jean-Daniel Akpa-Akpro,CIV,"MF,DF",Monza,it  Serie A,32-151,1992.0,2.5,64,87,73.6,978,393,35,40,87.5,21,28,75.0,5,7,71.4,0,0.1,0.0,-0.1,2,2,2,1,4
69,David Akpan Ankeye,NGA,"FW,MF",Genoa,it  Serie A,23-025,2002.0,0.5,6,7,85.7,53,28,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1
70,Kevin Akpoguma,NGA,DF,Hoffenheim,de  Bundesliga,29-326,1995.0,18.8,963,1092,88.2,17222,6395,384,403,95.3,474,515,92.0,78,131,59.5,0,0.3,0.6,-0.3,7,90,10,0,81
71,Chuba Akpom,ENG,FW,Lille,fr  Ligue 1,29-153,1995.0,3.2,33,45,73.3,404,65,19,23,82.6,6,7,85.7,2,3,66.7,0,0.3,0.3,-0.3,3,1,1,0,2
72,David Alaba,AUT,DF,Real Madrid,es  La Liga,32-260,1992.0,2.9,159,177,89.8,2669,1127,72,72,100.0,72,74,97.3,10,23,43.5,0,0.0,0.0,0.0,0,8,0,0,5
73,Andreas Albers,DEN,FW,St. Pauli,de  Bundesliga,34-353,1990.0,0.7,15,29,51.7,233,47,10,18,55.6,4,6,66.7,1,2,50.0,0,0.1,0.1,-0.1,2,1,0,0,3
74,Raúl Albiol,ESP,DF,Villarreal,es  La Liga,39-188,1985.0,13.2,727,813,89.4,14582,6006,213,225,94.7,433,463,93.5,76,115,66.1,0,0.0,0.1,0.0,0,26,1,0,34
75,Carlos Alcaraz,ARG,MF,Southampton,eng  Premier League,22-101,2002.0,0.1,13,13,100.0,221,66,7,7,100.0,4,4,100.0,2,2,100.0,0,0.1,0.0,-0.1,1,4,1,1,6
76,Carlos Alcaraz,ARG,"MF,FW",Everton,eng  Premier League,22-101,2002.0,2.5,69,86,80.2,1148,274,31,34,91.2,32,35,91.4,4,7,57.1,1,1.0,0.2,0.0,7,5,8,0,12
77,Omar Alderete,PAR,DF,Getafe,es  La Liga,28-075,1996.0,23.7,545,813,67.0,12779,5856,140,174,80.5,280,352,79.5,122,253,48.2,0,0.9,0.8,-0.9,10,96,10,1,83
78,Carles Aleñá,ESP,"MF,FW",Getafe,es  La Liga,27-065,1998.0,5.0,93,117,79.5,1504,299,45,55,81.8,38,44,86.4,6,11,54.5,0,0.1,0.1,-0.1,3,9,3,1,12
79,Carles Aleñá,ESP,"MF,FW",Alavés,es  La Liga,27-065,1998.0,4.0,125,171,73.1,2089,583,65,71,91.5,45,60,75.0,12,22,54.5,2,0.6,0.5,1.4,8,15,5,2,26
80,Trent Alexander-Arnold,ENG,DF,Liverpool,eng  Premier League,26-155,1998.0,23.8,1321,1787,73.9,25377,10446,578,642,90.0,535,704,76.0,185,367,50.4,6,6.7,6.7,-0.7,50,187,62,20,204
81,Alfon,ESP,"FW,MF",Celta Vigo,es  La Liga,25-311,1999.0,7.6,128,179,71.5,1837,249,76,87,87.4,36,54,66.7,7,13,53.8,2,1.9,1.4,0.1,12,4,3,1,12
82,Mohamed Ali Cho,FRA,"FW,MF",Nice,fr  Ligue 1,21-051,2004.0,15.8,292,415,70.4,4126,1054,182,218,83.5,89,125,71.2,12,31,38.7,4,3.3,3.0,0.7,26,18,28,4,49
83,Faride Alidou,GER,"FW,MF",Hellas Verona,it  Serie A,23-236,2001.0,0.8,16,20,80.0,198,42,7,7,100.0,4,6,66.7,1,2,50.0,0,0.0,0.0,0.0,1,0,1,1,1
84,Alisson,BRA,GK,Liverpool,eng  Premier League,32-160,1992.0,20.9,538,645,83.4,11965,7825,163,165,98.8,281,285,98.6,93,191,48.7,0,0.6,0.2,-0.6,1,10,0,0,0
85,Tadeo Allende,ARG,FW,Celta Vigo,es  La Liga,26-019,1999.0,0.0,1,3,33.3,7,1,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
86,Jim Allevinah,GAB,FW,Angers,fr  Ligue 1,30-012,1995.0,14.8,276,369,74.8,3948,918,165,196,84.2,89,123,72.4,13,21,61.9,3,2.3,1.5,0.7,12,21,10,2,37
87,Thiago Almada,ARG,"MF,FW",Lyon,fr  Ligue 1,23-319,2001.0,3.1,215,242,88.8,3413,941,119,127,93.7,83,88,94.3,11,23,47.8,2,0.7,0.4,1.3,5,22,5,1,34
88,Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,es  La Liga,24-285,2000.0,14.7,520,620,83.9,8336,2117,268,288,93.1,186,215,86.5,44,74,59.5,1,1.8,3.2,-0.8,26,63,13,3,93
89,Iker Almena,ESP,"FW,DF",Girona,es  La Liga,20-311,2004.0,0.5,23,32,71.9,328,34,13,14,92.9,10,14,71.4,0,1,0.0,1,0.7,0.4,0.3,2,0,0,0,2
90,Miguel Almirón,PAR,FW,Newcastle Utd,eng  Premier League,31-029,1994.0,1.7,54,66,81.8,707,219,39,42,92.9,13,16,81.3,1,3,33.3,0,0.3,0.2,-0.3,3,3,1,0,6
91,Pontus Almqvist,SWE,"FW,MF",Parma,it  Serie A,25-244,1999.0,10.3,195,264,73.9,2498,480,139,168,82.7,41,54,75.9,6,11,54.5,1,1.3,0.9,-0.3,9,4,4,1,12
