,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
138,Pepe Reina,ESP,GK,Como,it  Serie A,42-192,1982,10,10,900,10.0,12,1.2,35,23,68.6,2,4,4,2,20.0,1,1,0,0,0.0
139,Álex Remiro,ESP,GK,Real Sociedad,es  La Liga,29-352,1995,26,26,2340,26.0,27,1.04,91,63,75.8,10,4,12,12,46.2,6,5,1,0,16.7
140,Guillaume Restes,FRA,GK,Toulouse,fr  Ligue 1,20-000,2005,21,21,1823,20.3,22,1.09,61,40,65.6,7,5,9,7,33.3,2,1,1,0,50.0
141,Adrian Rodriguez,ESP,GK,Alavés,es  La Liga,24-089,2000,1,0,32,0.4,0,0.0,0,0,,0,0,0,1,,0,0,0,0,
142,Leo Román,ESP,GK,Mallorca,es  La Liga,24-248,2000,5,5,450,5.0,7,1.4,25,18,76.0,2,1,2,2,40.0,1,1,0,0,0.0
143,Gerónimo Rulli,ARG,GK,Marseille,fr  Ligue 1,32-295,1992,25,25,2250,25.0,30,1.2,100,68,72.0,15,4,6,5,20.0,5,2,3,0,60.0
144,Mathew Ryan,AUS,GK,Lens,fr  Ligue 1,32-337,1992,5,5,450,5.0,7,1.4,20,13,75.0,3,0,2,3,60.0,2,2,0,0,0.0
145,Frederik Rønnow,DEN,GK,Union Berlin,de  Bundesliga,32-219,1992,20,20,1800,20.0,25,1.25,77,50,68.8,6,6,8,6,30.0,4,1,3,0,75.0
146,José Sá,POR,GK,Wolves,eng  Premier League,32-053,1993,21,21,1890,21.0,40,1.9,94,55,61.7,6,4,11,5,23.8,5,4,1,0,20.0
147,Matvei Safonov,RUS,GK,Paris S-G,fr  Ligue 1,26-014,1999,7,6,609,6.8,5,0.74,20,15,85.0,5,1,0,3,50.0,2,2,0,0,0.0
148,Brice Samba,FRA,GK,Rennes,fr  Ligue 1,30-320,1994,8,8,720,8.0,13,1.62,46,32,71.7,3,0,5,3,37.5,1,0,1,0,100.0
149,Brice Samba,FRA,GK,Lens,fr  Ligue 1,30-320,1994,15,15,1350,15.0,14,0.93,54,40,81.5,6,6,3,7,46.7,4,4,0,0,0.0
150,Robert Sánchez,ESP,GK,Chelsea,eng  Premier League,27-113,1997,22,22,1980,22.0,27,1.23,100,72,77.0,11,7,4,5,22.7,5,4,1,0,20.0
151,Kauã Santos,BRA,GK,Eint Frankfurt,de  Bundesliga,21-334,2003,5,4,405,4.5,9,2.0,30,22,73.3,2,1,1,1,25.0,1,1,0,0,0.0
152,Razvan Sava,ROU,GK,Udinese,it  Serie A,22-263,2002,12,12,1080,12.0,16,1.33,51,37,74.5,5,4,3,4,33.3,3,3,0,0,0.0
