,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
84,Alisson,BRA,GK,Liverpool,eng  Premier League,32-160,1992.0,20.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
85,Tadeo Allende,ARG,FW,Celta Vigo,es  La Liga,26-019,1999.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
86,Jim Allevinah,GAB,FW,Angers,fr  Ligue 1,30-012,1995.0,14.8,0,27,5,18.5,1.83,0.34,0.0,0.0,14.7,0,0,0,2.8,2.8,0.1,-2.8,-2.8
87,Thiago Almada,ARG,"MF,FW",Lyon,fr  Ligue 1,23-319,2001.0,3.1,0,8,2,25.0,2.62,0.65,0.0,0.0,23.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2
88,Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,es  La Liga,24-285,2000.0,14.7,0,13,4,30.8,0.88,0.27,0.0,0.0,23.9,1,0,0,0.5,0.5,0.04,-0.5,-0.5
89,Iker Almena,ESP,"FW,DF",Girona,es  La Liga,20-311,2004.0,0.5,0,1,0,0.0,1.87,0.0,0.0,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0
90,Miguel Almirón,PAR,FW,Newcastle Utd,eng  Premier League,31-029,1994.0,1.7,0,6,2,33.3,3.44,1.15,0.0,0.0,14.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5
91,Pontus Almqvist,SWE,"FW,MF",Parma,it  Serie A,25-244,1999.0,10.3,1,20,8,40.0,1.95,0.78,0.05,0.13,17.6,0,0,0,1.7,1.7,0.08,-0.7,-0.7
92,Marcos Alonso,ESP,DF,Celta Vigo,es  La Liga,34-073,1990.0,20.0,1,17,5,29.4,0.85,0.25,0.0,0.0,21.0,4,1,1,1.5,0.7,0.04,-0.5,-0.7
93,Giorgio Altare,ITA,DF,Venezia,it  Serie A,26-214,1998.0,8.4,0,3,1,33.3,0.36,0.12,0.0,0.0,15.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
94,Adrià Altimira,ESP,"DF,FW",Leganés,es  La Liga,23-348,2001.0,12.0,0,4,1,25.0,0.33,0.08,0.0,0.0,24.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
95,Sergi Altimira,ESP,MF,Betis,es  La Liga,23-198,2001.0,16.8,0,17,3,17.6,1.01,0.18,0.0,0.0,20.2,0,0,0,1.6,1.5,0.09,-1.6,-1.5
