,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
1377,Luis Henrique,BRA,"DF,FW",Marseille,fr  Ligue 1,23-087,2001.0,25,1960.0,78.0,87.1,21.8,22,84.0,12,3,36.0,0,1.96,45.0,26.0,19.0,0.87,-0.06,41.3,28.1,13.2,0.61,0.56
1378,Kobi Henry,USA,DF,Reims,fr  Ligue 1,20-319,2004.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
1379,Rico Henry,ENG,DF,Brentford,eng  Premier League,27-246,1997.0,1,4.0,4.0,0.2,0.0,0,,0,1,4.0,1,1.0,1.0,0.0,1.0,22.5,22.39,0.3,0.2,0.1,2.32,2.31
1380,Mads Hermansen,DEN,GK,Leicester City,eng  Premier League,24-243,2000.0,21,1845.0,88.0,73.2,20.5,21,88.0,20,0,,0,0.67,21.0,44.0,-23.0,-1.12,0.74,17.9,39.5,-21.7,-1.06,-0.22
1381,Mario Hermoso,ESP,DF,Roma,it  Serie A,29-266,1995.0,8,251.0,31.0,10.0,2.8,2,77.0,1,6,16.0,5,1.38,2.0,7.0,-5.0,-1.79,-2.51,2.4,6.0,-3.6,-1.29,-1.82
1382,Mario Hermoso,ESP,DF,Leverkusen,de  Bundesliga,29-266,1995.0,4,293.0,73.0,13.0,3.3,3,90.0,3,1,23.0,1,1.75,4.0,3.0,1.0,0.31,-0.8,5.0,3.3,1.7,0.52,-0.4
1383,Javi Hernández,ESP,DF,Leganés,es  La Liga,26-313,1998.0,21,1498.0,71.0,61.6,16.6,17,84.0,12,4,17.0,5,1.05,14.0,24.0,-10.0,-0.6,-0.02,13.3,24.8,-11.5,-0.69,0.17
1384,Aridane Hernández,ESP,DF,Rayo Vallecano,es  La Liga,35-353,1989.0,6,350.0,58.0,14.4,3.9,3,83.0,2,3,33.0,21,0.83,4.0,8.0,-4.0,-1.03,-1.2,6.6,5.5,1.1,0.27,0.24
1385,Lucas Hernández,FRA,DF,Paris S-G,fr  Ligue 1,29-025,1996.0,10,461.0,46.0,20.5,5.1,5,67.0,1,5,26.0,1,2.8,14.0,6.0,8.0,1.56,-0.35,13.7,6.8,6.9,1.35,-0.42
1386,Theo Hernández,FRA,DF,Milan,it  Serie A,27-156,1997.0,25,2029.0,81.0,80.5,22.5,22,87.0,19,3,37.0,1,1.6,38.0,26.0,12.0,0.53,0.9,40.6,25.0,15.6,0.69,0.47
1387,Hernani,BRA,MF,Parma,it  Serie A,30-349,1994.0,17,999.0,59.0,39.6,11.1,12,72.0,3,5,27.0,1,0.65,10.0,21.0,-11.0,-0.99,-0.81,10.1,20.3,-10.2,-0.92,-0.69
1388,Jorge Herrando,ESP,DF,Osasuna,es  La Liga,24-011,2001.0,11,736.0,67.0,30.3,8.2,8,90.0,8,3,5.0,15,0.92,5.0,12.0,-7.0,-0.86,-0.96,7.2,12.4,-5.2,-0.63,-0.46
1389,Ander Herrera,ESP,MF,Athletic Club,es  La Liga,35-209,1989.0,8,273.0,34.0,11.2,3.0,2,71.0,0,6,22.0,6,1.13,3.0,2.0,1.0,0.33,-0.5,5.8,1.9,3.9,1.28,0.76
1390,Sergio Herrera,ESP,GK,Osasuna,es  La Liga,31-279,1993.0,26,2340.0,90.0,96.3,26.0,26,90.0,26,0,,0,1.22,32.0,37.0,-5.0,-0.19,-0.19,28.1,36.4,-8.3,-0.32,-0.32
1391,Yangel Herrera,VEN,MF,Girona,es  La Liga,27-056,1998.0,19,1420.0,75.0,58.4,15.8,17,81.0,11,2,19.0,1,1.53,20.0,20.0,0.0,0.0,0.45,16.8,20.8,-4.0,-0.25,-0.37
1392,Juan Herzog,ESP,DF,Las Palmas,es  La Liga,21-302,2003.0,12,716.0,60.0,29.5,8.0,8,79.0,6,4,22.0,15,0.5,5.0,13.0,-8.0,-1.01,-0.64,7.8,16.7,-9.0,-1.12,-0.3
1393,Son Heung-min,KOR,FW,Tottenham,eng  Premier League,32-246,1992.0,25,1813.0,73.0,71.9,20.1,21,80.0,10,4,33.0,0,1.24,42.0,30.0,12.0,0.6,0.34,32.6,34.6,-2.0,-0.1,-0.22
1394,Isak Hien,SWE,DF,Atalanta,it  Serie A,26-057,1999.0,22,1607.0,73.0,63.8,17.9,19,79.0,14,3,33.0,1,2.27,47.0,14.0,33.0,1.85,1.45,31.6,17.1,14.4,0.81,-0.07
1395,Omar El Hilali,MAR,DF,Espanyol,es  La Liga,21-180,2003.0,25,2198.0,88.0,90.5,24.4,25,88.0,21,0,,0,1.04,25.0,37.0,-12.0,-0.49,-0.49,19.3,40.2,-20.9,-0.86,-1.08
1396,James Hill,ENG,DF,Bournemouth,eng  Premier League,23-060,2002.0,8,412.0,52.0,16.3,4.6,6,68.0,1,2,4.0,14,1.5,6.0,8.0,-2.0,-0.44,-1.08,8.9,8.1,0.8,0.18,-0.36
1397,Piero Hincapié,ECU,DF,Leverkusen,de  Bundesliga,23-061,2002.0,23,1936.0,84.0,86.0,21.5,20,89.0,18,3,50.0,1,2.17,47.0,22.0,25.0,1.16,1.16,41.0,21.0,20.0,0.93,0.47
1398,Jack Hinshelwood,ENG,"MF,DF",Brighton,eng  Premier League,19-334,2005.0,16,1165.0,73.0,46.2,12.9,14,81.0,8,2,18.0,0,1.88,25.0,17.0,8.0,0.62,0.75,19.4,19.5,-0.1,-0.01,-0.17
1399,George Hirst,ENG,FW,Ipswich Town,eng  Premier League,26-024,1999.0,16,260.0,16.0,10.3,2.9,1,72.0,0,15,13.0,0,0.5,4.0,5.0,-1.0,-0.35,0.89,3.0,7.2,-4.2,-1.46,-0.47
1400,Adam Hložek,CZE,"FW,MF",Hoffenheim,de  Bundesliga,22-229,2002.0,20,1489.0,74.0,66.2,16.5,18,81.0,11,2,16.0,0,0.9,22.0,33.0,-11.0,-0.66,-0.19,24.2,27.3,-3.0,-0.18,0.7
1401,Ki-Jana Hoever,NED,DF,Auxerre,fr  Ligue 1,23-052,2002.0,22,1538.0,70.0,68.4,17.1,19,78.0,4,3,21.0,1,1.23,26.0,20.0,6.0,0.35,1.36,23.3,25.4,-2.1,-0.12,0.97
1402,Nicolas Höfler,GER,MF,Freiburg,de  Bundesliga,35-002,1990.0,16,763.0,48.0,33.9,8.5,7,86.0,6,9,18.0,9,1.38,10.0,11.0,-1.0,-0.12,-0.06,11.7,10.2,1.5,0.17,0.3
1403,Jonas Hofmann,GER,"MF,DF",Leverkusen,de  Bundesliga,32-240,1992.0,6,241.0,40.0,10.7,2.7,3,62.0,0,3,18.0,12,2.0,5.0,3.0,2.0,0.75,-0.28,4.7,2.8,1.9,0.72,-0.16
1404,Philipp Hofmann,GER,FW,Bochum,de  Bundesliga,31-346,1993.0,25,1787.0,71.0,79.4,19.9,20,85.0,10,5,19.0,0,0.8,18.0,33.0,-15.0,-0.76,0.8,22.9,36.6,-13.7,-0.69,0.34
1405,Rob Holding,ENG,DF,Crystal Palace,eng  Premier League,29-172,1995.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
1406,Lucas Höler,GER,"FW,MF",Freiburg,de  Bundesliga,30-244,1994.0,23,1280.0,56.0,56.9,14.2,14,81.0,5,9,17.0,2,1.61,20.0,21.0,-1.0,-0.07,0.02,16.5,19.3,-2.8,-0.2,-0.4
1407,Mason Holgate,ENG,"FW,DF",Everton,eng  Premier League,28-140,1996.0,1,6.0,6.0,0.2,0.1,0,,0,1,6.0,1,0.0,0.0,1.0,-1.0,-15.0,-14.89,0.0,0.1,-0.1,-1.02,-0.87
1408,Benedict Hollerbach,GER,"FW,MF",Union Berlin,de  Bundesliga,23-298,2001.0,25,1886.0,75.0,83.8,21.0,23,78.0,9,2,41.0,0,1.04,21.0,29.0,-8.0,-0.38,1.6,27.1,28.3,-1.2,-0.06,1.12
1409,Emil Holm,SWE,DF,Bologna,it  Serie A,24-302,2000.0,15,864.0,58.0,34.3,9.6,9,85.0,3,6,16.0,8,1.53,16.0,12.0,4.0,0.42,0.09,14.7,8.2,6.5,0.68,0.44
1410,Lewis Holtby,GER,MF,Holstein Kiel,de  Bundesliga,34-174,1990.0,20,1081.0,54.0,48.0,12.0,12,74.0,3,8,24.0,0,0.65,15.0,36.0,-21.0,-1.75,-1.52,15.8,26.2,-10.4,-0.86,-0.47
1411,Gerrit Holtmann,PHI,"DF,FW",Bochum,de  Bundesliga,29-351,1995.0,15,809.0,54.0,36.0,9.0,9,69.0,1,6,32.0,1,0.87,12.0,12.0,0.0,0.0,1.44,15.7,16.0,-0.3,-0.04,1.13
1412,Franck Honorat,FRA,FW,Gladbach,de  Bundesliga,28-212,1996.0,12,984.0,82.0,43.7,10.9,12,82.0,1,0,,0,1.75,23.0,15.0,8.0,0.73,1.23,19.4,16.7,2.7,0.25,0.95
1413,Mathias Honsak,AUT,"FW,DF",Heidenheim,de  Bundesliga,28-081,1996.0,18,1070.0,59.0,47.6,11.9,11,82.0,7,7,23.0,0,0.44,11.0,29.0,-18.0,-1.51,-1.13,14.4,24.4,-10.0,-0.84,-0.75
1414,Dinko Horkaš,CRO,GK,Las Palmas,es  La Liga,26-001,1999.0,3,211.0,70.0,8.7,2.3,2,90.0,2,1,31.0,22,0.0,1.0,5.0,-4.0,-1.71,-1.26,2.2,4.1,-1.9,-0.8,0.12
1415,Timo Horn,GER,GK,Bochum,de  Bundesliga,31-303,1993.0,4,360.0,90.0,16.0,4.0,4,90.0,4,0,,21,1.75,6.0,4.0,2.0,0.5,1.69,5.5,7.1,-1.6,-0.4,0.43
1416,Krisztofer Horváth,HUN,MF,Torino,it  Serie A,23-062,2002.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
1417,Cédric Hountondji,BEN,DF,Angers,fr  Ligue 1,31-051,1994.0,3,270.0,90.0,12.0,3.0,3,90.0,3,0,,8,0.0,1.0,7.0,-6.0,-2.0,-1.64,2.4,4.3,-1.9,-0.65,-0.16
1418,Ilyes Housni,FRA,"FW,MF",Le Havre,fr  Ligue 1,19-301,2005.0,9,225.0,25.0,10.0,2.5,3,61.0,0,6,7.0,10,0.33,1.0,8.0,-7.0,-2.8,-1.91,2.0,4.6,-2.6,-1.03,-0.42
1419,Lukáš Hrádecký,FIN,GK,Leverkusen,de  Bundesliga,35-107,1989.0,22,1980.0,90.0,88.0,22.0,22,90.0,22,0,,2,2.14,50.0,27.0,23.0,1.05,0.38,40.9,22.9,18.0,0.82,-0.4
1420,Robin Hranáč,CZE,DF,Hoffenheim,de  Bundesliga,25-041,2000.0,4,219.0,55.0,9.7,2.4,2,59.0,0,2,51.0,11,0.0,3.0,7.0,-4.0,-1.64,-1.16,5.4,3.7,1.8,0.73,1.28
1421,Callum Hudson-Odoi,ENG,"FW,MF",Nott'ham Forest,eng  Premier League,24-124,2000.0,24,1814.0,76.0,72.0,20.2,21,82.0,6,3,31.0,1,1.88,34.0,17.0,17.0,0.84,1.48,24.6,20.5,4.1,0.2,0.54
1422,Will Hughes,ENG,MF,Crystal Palace,eng  Premier League,29-328,1995.0,24,1641.0,68.0,65.1,18.2,19,77.0,2,5,34.0,0,1.46,25.0,22.0,3.0,0.16,0.16,29.0,22.9,6.1,0.34,0.06
1423,Dean Huijsen,ESP,DF,Bournemouth,eng  Premier League,19-331,2005.0,22,1604.0,73.0,63.7,17.8,17,90.0,17,5,15.0,6,1.64,32.0,19.0,13.0,0.73,0.73,33.2,26.7,6.5,0.37,-0.31
1424,Mats Hummels,GER,DF,Roma,it  Serie A,36-085,1988.0,11,779.0,71.0,30.9,8.7,9,79.0,4,2,35.0,12,1.82,20.0,8.0,12.0,1.39,1.33,14.7,7.4,7.2,0.83,0.7
1425,Omari Hutchinson,ENG,"MF,FW",Ipswich Town,eng  Premier League,21-132,2003.0,26,2133.0,82.0,84.6,23.7,25,84.0,13,1,24.0,0,0.62,20.0,49.0,-29.0,-1.22,-0.53,21.5,44.7,-23.2,-0.98,0.4
1426,Jannik Huth,GER,GK,Freiburg,de  Bundesliga,30-330,1994.0,0,,,,,0,,0,0,,6,,,,,,,,,,,
1427,Elseid Hysaj,ALB,DF,Lazio,it  Serie A,31-019,1994.0,6,204.0,34.0,8.1,2.3,2,76.0,1,4,13.0,2,1.33,6.0,1.0,5.0,2.21,1.86,4.1,2.8,1.3,0.57,0.1
1428,Hong Hyunseok,KOR,MF,Mainz 05,de  Bundesliga,25-268,1999.0,16,439.0,27.0,19.5,4.9,4,55.0,0,12,18.0,7,1.69,7.0,8.0,-1.0,-0.21,-1.05,6.7,8.5,-1.8,-0.36,-0.56
1429,Pierre Højbjerg,DEN,MF,Marseille,fr  Ligue 1,29-218,1995.0,24,2155.0,90.0,95.8,23.9,24,90.0,23,0,,0,1.92,47.0,28.0,19.0,0.79,-2.05,43.7,32.3,11.4,0.48,-1.4
1430,Oscar Højlund,DEN,MF,Eint Frankfurt,de  Bundesliga,20-066,2005.0,14,491.0,35.0,21.8,5.5,5,60.0,1,9,21.0,0,1.29,7.0,9.0,-2.0,-0.37,-1.08,9.3,6.6,2.7,0.5,0.23
1431,Rasmus Højlund,DEN,FW,Manchester Utd,eng  Premier League,22-035,2003.0,23,1350.0,59.0,53.6,15.0,16,76.0,4,7,19.0,1,1.09,13.0,25.0,-12.0,-0.8,-1.26,16.3,23.9,-7.6,-0.51,-0.68
1432,Gennaro Iaccarino,ITA,MF,Napoli,it  Serie A,21-253,2003.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
1433,Pablo Ibáñez,ESP,MF,Osasuna,es  La Liga,26-172,1998.0,17,693.0,41.0,28.5,7.7,6,76.0,3,11,21.0,10,1.41,6.0,14.0,-8.0,-1.04,-1.19,7.9,10.9,-3.0,-0.38,-0.11
1434,Hafiz Ibrahim,NGA,FW,Reims,fr  Ligue 1,19-081,2005.0,2,41.0,21.0,1.8,0.5,0,,0,2,21.0,2,0.0,0.0,0.0,0.0,0.0,0.57,0.8,0.1,0.7,1.52,2.23
1435,Arijon Ibrahimović,GER,FW,Lazio,it  Serie A,19-090,2005.0,0,,,,,0,,0,0,,8,,,,,,,,,,,
1436,Arijon Ibrahimović,GER,FW,Bayern Munich,de  Bundesliga,19-090,2005.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,5,3.0,0.0,0.0,0.0,0.0,-2.04,0.0,0.0,0.0,0.0,-1.79
1437,Stanis Idumbo,BEL,"FW,MF",Sevilla,es  La Liga,19-255,2005.0,10,249.0,25.0,10.2,2.8,3,50.0,0,7,14.0,15,1.4,7.0,6.0,1.0,0.36,0.57,3.7,5.5,-1.8,-0.65,-0.43
1438,Jay Idzes,IDN,DF,Venezia,it  Serie A,24-282,2000.0,26,2317.0,89.0,91.9,25.7,26,89.0,25,0,,0,0.62,19.0,37.0,-18.0,-0.7,-0.26,22.3,40.4,-18.2,-0.71,-0.7
1439,Iglesias,ESP,DF,Getafe,es  La Liga,26-251,1998.0,26,2057.0,79.0,84.7,22.9,22,88.0,21,4,31.0,1,1.15,17.0,20.0,-3.0,-0.13,-1.1,19.8,28.7,-8.9,-0.39,-0.85
1440,Borja Iglesias,ESP,FW,Celta Vigo,es  La Liga,32-053,1993.0,27,1432.0,53.0,58.9,15.9,17,70.0,1,10,24.0,0,1.33,21.0,22.0,-1.0,-0.06,-0.06,19.5,16.8,2.8,0.18,-0.28
1441,Juan Ignacio Cabrera,GER,MF,Augsburg,de  Bundesliga,22-012,2003.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
1442,Igor,BRA,DF,Brighton,eng  Premier League,27-032,1998.0,12,903.0,75.0,35.8,10.0,9,87.0,8,3,39.0,7,1.42,16.0,16.0,0.0,0.0,-0.33,14.2,15.4,-1.1,-0.11,-0.3
1443,Kelechi Iheanacho,NGA,FW,Sevilla,es  La Liga,28-159,1996.0,9,400.0,44.0,16.5,4.4,5,59.0,0,4,26.0,10,0.89,2.0,6.0,-4.0,-0.9,-0.9,4.2,4.5,-0.3,-0.07,0.23
1444,Jonathan Ikone,FRA,"FW,MF",Como,it  Serie A,26-313,1998.0,5,121.0,24.0,4.8,1.3,0,,0,5,24.0,1,0.8,1.0,3.0,-2.0,-1.49,-1.19,1.7,3.0,-1.4,-1.03,-1.13
1445,Jonathan Ikone,FRA,"FW,MF",Fiorentina,it  Serie A,26-313,1998.0,14,334.0,24.0,13.3,3.7,1,55.0,0,13,21.0,3,1.57,7.0,0.0,7.0,1.89,1.64,5.9,3.1,2.8,0.75,0.65
1446,George Ilenikhena,FRA,FW,Monaco,fr  Ligue 1,18-207,2006.0,20,637.0,32.0,28.3,7.1,5,64.0,0,15,21.0,0,1.85,16.0,6.0,10.0,1.41,1.02,16.9,4.8,12.1,1.71,0.78
1447,Andrej Ilic,SRB,FW,Lille,fr  Ligue 1,24-342,2000.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
1448,Andrej Ilic,SRB,FW,Union Berlin,de  Bundesliga,24-342,2000.0,7,379.0,54.0,16.8,4.2,3,79.0,1,4,36.0,0,0.86,6.0,10.0,-4.0,-0.95,-0.37,5.4,9.1,-3.7,-0.87,-0.76
1449,Ivan Ilić,SRB,MF,Torino,it  Serie A,23-359,2001.0,12,716.0,60.0,28.4,8.0,8,74.0,3,4,32.0,2,1.08,12.0,9.0,3.0,0.38,0.58,9.8,12.8,-3.0,-0.38,0.11
1450,Mihajlo Ilić,SRB,DF,Bologna,it  Serie A,21-280,2003.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
1451,Rareş Ilie,ROU,MF,Nice,fr  Ligue 1,21-326,2003.0,2,13.0,7.0,0.6,0.1,0,,0,2,7.0,5,0.5,0.0,0.0,0.0,0.0,-0.76,0.5,0.6,-0.1,-0.51,-1.14
1452,Samuel Iling-Junior,ENG,"FW,MF",Bologna,it  Serie A,21-158,2003.0,7,118.0,17.0,4.7,1.3,0,,0,7,17.0,12,1.57,3.0,2.0,1.0,0.76,0.43,1.4,1.7,-0.2,-0.19,-0.6
1453,Gino Infantino,ARG,MF,Fiorentina,it  Serie A,21-296,2003.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
1454,Danny Ings,ENG,"FW,MF",West Ham,eng  Premier League,32-231,1992.0,15,284.0,19.0,11.3,3.2,1,45.0,0,14,17.0,11,1.07,4.0,4.0,0.0,0.0,0.64,8.0,4.7,3.3,1.04,1.6
1455,Alessio Iovine,ITA,"DF,FW",Como,it  Serie A,34-038,1991.0,9,377.0,42.0,15.0,4.2,3,75.0,2,6,25.0,18,0.89,6.0,7.0,-1.0,-0.24,0.14,5.7,4.0,1.6,0.39,0.4
1456,Paris Irie,FRA,DF,Brest,fr  Ligue 1,18-335,2006.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
1457,Tim Iroegbunam,ENG,MF,Everton,eng  Premier League,21-254,2003.0,12,465.0,39.0,18.5,5.2,4,88.0,3,8,14.0,1,1.0,7.0,13.0,-6.0,-1.16,-1.25,6.0,9.3,-3.3,-0.63,-0.6
1458,Jackson Irvine,AUS,MF,St. Pauli,de  Bundesliga,32-004,1993.0,25,2250.0,90.0,100.0,25.0,25,90.0,25,0,,0,0.88,19.0,30.0,-11.0,-0.44,,25.5,33.0,-7.4,-0.3,
1459,Andy Irving,SCO,MF,West Ham,eng  Premier League,24-302,2000.0,10,166.0,17.0,6.6,1.8,1,76.0,0,9,10.0,12,1.1,1.0,4.0,-3.0,-1.63,-1.13,2.4,4.3,-1.9,-1.03,-0.69
1460,Alexander Isak,SWE,FW,Newcastle Utd,eng  Premier League,25-171,1999.0,25,2052.0,82.0,81.4,22.8,25,82.0,13,0,,0,1.8,43.0,33.0,10.0,0.44,0.63,40.2,28.0,12.2,0.54,0.75
1461,Gustav Isaksen,DEN,FW,Lazio,it  Serie A,23-326,2001.0,28,1695.0,61.0,67.3,18.8,22,69.0,2,6,30.0,0,1.82,32.0,25.0,7.0,0.37,-0.39,28.5,20.2,8.3,0.44,-0.12
1462,Isco,ESP,MF,Betis,es  La Liga,32-324,1992.0,12,897.0,75.0,36.9,10.0,10,87.0,7,2,16.0,0,1.75,16.0,13.0,3.0,0.3,0.36,14.5,11.9,2.6,0.27,0.01
1463,Ismaily,BRA,DF,Lille,fr  Ligue 1,35-059,1990.0,8,385.0,48.0,17.1,4.3,4,79.0,1,4,18.0,5,2.13,4.0,1.0,3.0,0.7,0.22,6.6,4.3,2.3,0.54,0.29
1464,Ardian Ismajli,ALB,DF,Empoli,it  Serie A,28-162,1996.0,23,1968.0,86.0,78.1,21.9,23,86.0,21,0,,0,0.91,21.0,28.0,-7.0,-0.32,2.13,17.2,29.1,-11.9,-0.54,-0.01
1465,Yanis Issoufou,FRA,"MF,FW",Montpellier,fr  Ligue 1,18-134,2006.0,4,77.0,19.0,3.4,0.9,1,26.0,0,3,17.0,4,0.75,0.0,3.0,-3.0,-3.51,-2.06,0.6,2.8,-2.2,-2.57,-1.83
1466,Ko Itakura,JPN,DF,Gladbach,de  Bundesliga,28-043,1997.0,23,2070.0,90.0,92.0,23.0,23,90.0,23,0,,0,1.48,35.0,35.0,0.0,0.0,-0.5,34.4,43.2,-8.7,-0.38,-1.17
1467,Hiroki Ito,JPN,DF,Bayern Munich,de  Bundesliga,25-303,1999.0,4,208.0,52.0,9.2,2.3,3,68.0,0,1,4.0,0,1.75,5.0,3.0,2.0,0.87,-1.29,5.3,2.4,2.9,1.24,-0.61
1468,Junya Ito,JPN,FW,Reims,fr  Ligue 1,32-002,1993.0,25,2170.0,87.0,96.4,24.1,25,87.0,15,0,,0,0.88,25.0,37.0,-12.0,-0.5,1.75,26.4,42.1,-15.6,-0.65,0.45
1469,Alejandro Iturbe,ESP,GK,Atlético Madrid,es  La Liga,21-190,2003.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
1470,Diego Iturralde,ESP,DF,Sevilla,es  La Liga,21-329,2003.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
1471,Daniel Iversen,DEN,GK,Leicester City,eng  Premier League,27-235,1997.0,0,,,,,0,,0,0,,8,,,,,,,,,,,
1472,Marko Ivezić,SRB,DF,Holstein Kiel,de  Bundesliga,23-099,2001.0,18,1352.0,75.0,60.1,15.0,14,88.0,13,4,30.0,7,0.67,21.0,33.0,-12.0,-0.8,0.4,17.2,26.0,-8.8,-0.59,0.08
1473,Alex Iwobi,NGA,"FW,MF",Fulham,eng  Premier League,28-312,1996.0,28,2296.0,82.0,91.1,25.5,27,84.0,12,1,24.0,0,1.5,32.0,32.0,0.0,0.0,-1.21,31.7,27.4,4.3,0.17,-0.84
1474,Armando Izzo,ITA,DF,Monza,it  Serie A,33-009,1992.0,25,2105.0,84.0,83.5,23.4,24,87.0,19,1,8.0,1,0.52,21.0,39.0,-18.0,-0.77,0.75,18.6,33.2,-14.6,-0.62,-0.09
1475,Fellipe Jack,BRA,DF,Como,it  Serie A,19-058,2006.0,7,171.0,24.0,6.8,1.9,1,45.0,0,6,21.0,15,1.0,3.0,3.0,0.0,0.0,0.38,2.5,2.8,-0.3,-0.14,-0.21
1476,Nicolas Jackson,SEN,FW,Chelsea,eng  Premier League,23-264,2001.0,23,1736.0,75.0,68.9,19.3,22,77.0,5,1,36.0,1,1.74,36.0,19.0,17.0,0.88,0.88,35.6,24.0,11.7,0.61,0.02
1477,Jérémy Jacquet,FRA,DF,Rennes,fr  Ligue 1,19-241,2005.0,5,417.0,83.0,18.5,4.6,5,83.0,4,0,,0,1.8,8.0,4.0,4.0,0.86,1.11,10.2,7.4,2.8,0.61,0.75
1478,Lee Jae-sung,KOR,MF,Mainz 05,de  Bundesliga,32-213,1992.0,24,1934.0,81.0,86.0,21.5,22,85.0,11,2,37.0,0,1.71,36.0,22.0,14.0,0.65,0.08,31.5,28.1,3.5,0.16,0.52
1479,Paul Jaeckel,GER,DF,Union Berlin,de  Bundesliga,26-232,1998.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
1480,Ivan Jaime Pajuelo,ESP,MF,Valencia,es  La Liga,24-166,2000.0,5,192.0,38.0,7.9,2.1,2,60.0,0,3,24.0,0,1.6,3.0,5.0,-2.0,-0.94,-0.41,3.7,3.2,0.5,0.24,0.62
1481,Kristijan Jakić,CRO,MF,Augsburg,de  Bundesliga,27-301,1997.0,22,1673.0,76.0,74.4,18.6,20,81.0,14,2,25.0,0,1.41,22.0,24.0,-2.0,-0.11,0.67,19.3,21.4,-2.1,-0.11,0.84
1482,Karl Jakob Hein,EST,GK,Valladolid,es  La Liga,22-332,2002.0,27,2430.0,90.0,100.0,27.0,27,90.0,27,0,,0,0.59,18.0,62.0,-44.0,-1.63,,23.2,48.1,-24.9,-0.92,
1483,Ismail Jakobs,SEN,DF,Monaco,fr  Ligue 1,25-206,1999.0,2,180.0,90.0,8.0,2.0,2,90.0,2,0,,0,3.0,3.0,0.0,3.0,1.5,0.89,4.2,0.5,3.7,1.86,0.78
1484,Jordan James,WAL,MF,Rennes,fr  Ligue 1,20-252,2004.0,16,975.0,61.0,43.3,10.8,12,75.0,4,4,19.0,6,1.38,17.0,12.0,5.0,0.46,0.89,17.2,11.8,5.4,0.5,0.89
1485,Reece James,ENG,"DF,MF",Chelsea,eng  Premier League,25-093,1999.0,10,600.0,60.0,23.8,6.7,7,76.0,3,3,23.0,3,1.2,10.0,11.0,-1.0,-0.15,-0.99,12.0,12.4,-0.4,-0.07,-0.87
1486,Vitaly Janelt,GER,MF,Brentford,eng  Premier League,26-305,1998.0,27,2028.0,75.0,80.5,22.5,24,80.0,10,3,32.0,0,1.3,35.0,35.0,0.0,0.0,-0.73,33.5,33.7,-0.1,-0.01,-0.08
1487,Luka Janes,GER,MF,Heidenheim,de  Bundesliga,21-051,2004.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
1488,Jakub Jankto,CZE,MF,Cagliari,it  Serie A,29-051,1996.0,0,,,,,0,,0,0,,20,,,,,,,,,,,
1489,Adnan Januzaj,BEL,"MF,FW",Las Palmas,es  La Liga,30-034,1995.0,9,322.0,36.0,13.3,3.6,3,77.0,1,6,15.0,4,0.89,6.0,3.0,3.0,0.84,1.61,4.4,7.0,-2.6,-0.72,0.22
1490,Luca Jaquez,SUI,DF,Stuttgart,de  Bundesliga,21-282,2003.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
1491,Vitezslav Jaros,CZE,GK,Liverpool,eng  Premier League,23-231,2001.0,1,12.0,12.0,0.5,0.1,0,,0,1,12.0,8,3.0,0.0,0.0,0.0,0.0,-1.45,0.1,0.1,0.0,-0.16,-1.54
1492,Ali Jasim,IRQ,"FW,DF",Como,it  Serie A,21-050,2004.0,2,10.0,5.0,0.4,0.1,0,,0,2,5.0,9,1.5,0.0,1.0,-1.0,-9.0,-8.68,0.7,0.2,0.5,4.59,4.56
1493,Nuha Jatta,GAM,MF,RB Leipzig,de  Bundesliga,18-361,2006.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
1494,Noah Jauny,IRL,GK,Brest,fr  Ligue 1,20-197,2004.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
1495,Mikel Jauregizar,ESP,MF,Athletic Club,es  La Liga,21-119,2003.0,24,1543.0,64.0,63.5,17.1,18,77.0,10,6,28.0,1,1.83,27.0,17.0,10.0,0.58,-0.53,24.1,17.2,6.8,0.4,-0.55
1496,Dominik Javorček,SVK,"DF,MF",Holstein Kiel,de  Bundesliga,22-129,2002.0,12,384.0,32.0,17.1,4.3,4,65.0,0,8,16.0,10,0.83,7.0,14.0,-7.0,-1.64,-0.82,6.1,9.5,-3.5,-0.81,-0.23
1497,Alejandro Jay Agustín,ESP,MF,Alavés,es  La Liga,22-247,2002.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
