,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
40,Amine Adli,MAR,"MF,FW",Leverkusen,de  Bundesliga,24-305,2000.0,11,403.0,37.0,17.9,4.5,4,69.0,1,7,18.0,1,1.91,8.0,8.0,0.0,0.0,-1.22,10.4,4.1,6.3,1.4,0.65
41,Yacine Adli,FRA,MF,Fiorentina,it  Serie A,24-225,2000.0,20,1120.0,56.0,44.4,12.4,14,71.0,4,6,21.0,1,1.85,25.0,14.0,11.0,0.88,0.76,18.3,12.9,5.4,0.43,0.46
42,Adrián,ESP,GK,Betis,es  La Liga,38-067,1987.0,8,720.0,90.0,29.6,8.0,8,90.0,8,0,,17,2.2,17.0,10.0,7.0,0.87,1.14,12.2,9.1,3.1,0.39,0.18
43,Adryelson,BRA,DF,Lyon,fr  Ligue 1,26-353,1998.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,2,3.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,-0.21
44,Daniel Adu-Adjei,ENG,FW,Bournemouth,eng  Premier League,19-263,2005.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
45,Vasilije Adžić,MNE,"MF,FW",Juventus,it  Serie A,18-303,2006.0,3,26.0,9.0,1.0,0.3,0,,0,3,9.0,13,3.0,1.0,0.0,1.0,3.46,2.78,0.3,0.1,0.3,0.9,0.44
46,Michel Aebischer,SUI,MF,Bologna,it  Serie A,28-064,1997.0,9,427.0,47.0,16.9,4.7,5,65.0,1,4,25.0,5,1.56,5.0,5.0,0.0,0.0,-0.43,3.7,5.7,-2.0,-0.42,-0.97
47,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,de  Bundesliga,27-027,1998.0,24,1376.0,57.0,61.2,15.3,14,79.0,2,10,27.0,1,0.92,13.0,22.0,-9.0,-0.59,-0.38,16.7,22.0,-5.3,-0.35,-0.13
48,Emmanuel Agbadou,CIV,DF,Wolves,eng  Premier League,27-267,1997.0,6,510.0,85.0,20.2,5.7,6,85.0,5,0,,0,0.67,4.0,10.0,-6.0,-1.06,-0.48,6.7,9.5,-2.8,-0.5,-0.01
49,Emmanuel Agbadou,CIV,DF,Reims,fr  Ligue 1,27-267,1997.0,14,1260.0,90.0,56.0,14.0,14,90.0,14,0,,0,1.36,19.0,17.0,2.0,0.14,1.6,18.0,21.0,-3.0,-0.22,1.02
50,Asher Agbinone,ENG,MF,Crystal Palace,eng  Premier League,19-164,2005.0,2,6.0,3.0,0.2,0.1,0,,0,2,3.0,10,0.0,0.0,0.0,0.0,0.0,-0.11,0.1,0.0,0.1,1.71,1.4
51,Jeremy Agbonifo,SWE,"FW,MF",Lens,fr  Ligue 1,19-138,2005.0,4,147.0,37.0,6.5,1.6,0,,0,4,37.0,1,0.75,2.0,5.0,-3.0,-1.84,-2.01,3.3,6.1,-2.8,-1.7,-2.04
52,Julen Agirrezabala,ESP,GK,Athletic Club,es  La Liga,24-075,2000.0,14,1206.0,86.0,49.6,13.4,14,86.0,12,0,,11,2.21,22.0,9.0,13.0,0.97,0.38,19.0,11.0,8.0,0.6,-0.01
53,Lucien Agoume,FRA,MF,Sevilla,es  La Liga,23-030,2002.0,25,1246.0,50.0,51.3,13.8,14,81.0,6,11,10.0,1,1.32,17.0,23.0,-6.0,-0.43,-0.59,13.4,21.3,-7.9,-0.57,-0.63
54,Saad Agouzoul,MAR,DF,Auxerre,fr  Ligue 1,27-213,1997.0,0,,,,,0,,0,0,,5,,,,,,,,,,,
55,Felix Agu,GER,DF,Werder Bremen,de  Bundesliga,25-165,1999.0,13,990.0,76.0,44.0,11.0,12,80.0,5,1,30.0,2,1.38,16.0,24.0,-8.0,-0.73,-0.51,14.5,15.0,-0.5,-0.04,0.17
56,Álvaro Aguado,ESP,MF,Espanyol,es  La Liga,28-314,1996.0,11,406.0,37.0,16.7,4.5,4,71.0,0,7,17.0,14,0.73,4.0,7.0,-3.0,-0.67,-0.26,4.3,7.6,-3.3,-0.73,0.03
57,Diego Aguado,ESP,DF,Real Madrid,es  La Liga,18-032,2007.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
58,Lorenzo Aguado,ESP,DF,Real Madrid,es  La Liga,22-173,2002.0,2,5.0,3.0,0.2,0.1,0,,0,2,3.0,6,3.0,0.0,0.0,0.0,0.0,-1.15,0.2,0.0,0.2,3.53,2.61
59,Nayef Aguerd,MAR,DF,Real Sociedad,es  La Liga,28-346,1996.0,20,1670.0,84.0,68.7,18.6,20,84.0,16,0,,2,1.5,18.0,15.0,3.0,0.16,1.11,25.0,18.6,6.4,0.34,1.14
60,Lalo Aguilar,ESP,DF,Leganés,es  La Liga,22-273,2002.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
61,Ruben Aguilar,FRA,DF,Lens,fr  Ligue 1,31-319,1993.0,10,616.0,62.0,27.4,6.8,7,83.0,3,3,12.0,3,1.5,8.0,6.0,2.0,0.29,0.35,9.4,8.0,1.5,0.22,0.02
62,Naouirou Ahamada,FRA,MF,Crystal Palace,eng  Premier League,22-347,2002.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
63,Naouirou Ahamada,FRA,"MF,FW",Rennes,fr  Ligue 1,22-347,2002.0,3,58.0,19.0,2.6,0.6,0,,0,3,19.0,9,1.0,1.0,2.0,-1.0,-1.55,-1.55,0.5,1.9,-1.4,-2.19,-2.25
64,Honest Ahanor,ITA,DF,Genoa,it  Serie A,17-016,2008.0,2,85.0,43.0,3.4,0.9,1,68.0,0,1,17.0,10,1.5,1.0,2.0,-1.0,-1.06,-0.73,0.8,2.1,-1.2,-1.31,-1.14
65,Erik Ahlstrand,SWE,"FW,MF",St. Pauli,de  Bundesliga,23-148,2001.0,5,43.0,9.0,1.9,0.5,0,,0,5,9.0,8,1.2,1.0,1.0,0.0,0.0,0.45,1.7,1.3,0.5,0.98,1.3
66,Jean-Eudes Aholou,CIV,MF,Angers,fr  Ligue 1,30-356,1994.0,23,1751.0,76.0,77.8,19.5,23,76.0,7,0,,0,1.13,16.0,28.0,-12.0,-0.62,-0.26,19.1,32.3,-13.2,-0.68,-0.8
67,Joseph Aidoo,GHA,DF,Valladolid,es  La Liga,29-163,1995.0,3,244.0,81.0,10.0,2.7,3,81.0,2,0,,1,0.0,1.0,9.0,-8.0,-2.95,-1.47,1.2,5.4,-4.1,-1.53,-0.67
68,Joseph Aidoo,GHA,DF,Celta Vigo,es  La Liga,29-163,1995.0,1,2.0,2.0,0.1,0.0,0,,0,1,2.0,13,3.0,1.0,0.0,1.0,45.0,45.07,0.3,0.0,0.3,14.69,14.42
69,Mike Aidoo,ITA,DF,Inter,it  Serie A,19-285,2005.0,0,,,,,0,,0,0,,5,,,,,,,,,,,
70,Romeo Aigbekaen,GER,MF,St. Pauli,de  Bundesliga,20-262,2004.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
71,Ayman Aiki,FRA,"FW,MF",Saint-Étienne,fr  Ligue 1,19-259,2005.0,5,127.0,25.0,5.6,1.4,1,58.0,0,4,17.0,3,0.0,0.0,3.0,-3.0,-2.13,-0.9,0.3,3.3,-3.1,-2.17,-1.03
72,Ola Aina,NGA,DF,Nott'ham Forest,eng  Premier League,28-154,1996.0,28,2441.0,87.0,96.9,27.1,28,87.0,24,0,,0,1.82,45.0,30.0,15.0,0.55,3.97,34.4,31.8,2.6,0.1,1.41
73,Abdelhamid Ait Boudlal,MAR,DF,Rennes,fr  Ligue 1,18-329,2006.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
74,Rayan Aït-Nouri,ALG,DF,Wolves,eng  Premier League,23-278,2001.0,27,2302.0,85.0,91.3,25.6,27,85.0,15,0,,0,0.74,33.0,56.0,-23.0,-0.9,-2.55,28.3,41.7,-13.4,-0.52,-0.4
75,Junior Ajayi,CIV,FW,Hellas Verona,it  Serie A,20-151,2004.0,1,2.0,2.0,0.1,0.0,0,,0,1,2.0,15,3.0,0.0,0.0,0.0,0.0,1.07,0.0,0.1,-0.1,-4.61,-4.03
76,Oyindamola Ajayi,ENG,FW,Tottenham,eng  Premier League,19-074,2005.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
77,Kristoffer Ajer,NOR,DF,Brentford,eng  Premier League,26-328,1998.0,15,1134.0,76.0,45.0,12.6,14,80.0,5,1,15.0,2,1.13,17.0,18.0,-1.0,-0.08,-0.4,17.8,16.9,0.9,0.07,0.11
78,Ludovic Ajorque,FRA,FW,Brest,fr  Ligue 1,31-014,1994.0,22,1753.0,80.0,77.9,19.5,20,85.0,13,2,28.0,0,1.45,30.0,31.0,-1.0,-0.05,0.13,30.2,31.3,-1.0,-0.05,0.77
79,Jonathan Akaegbobi,GER,FW,Wolfsburg,de  Bundesliga,18-320,2006.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
80,Manuel Akanji,SUI,DF,Manchester City,eng  Premier League,29-235,1995.0,20,1707.0,85.0,67.7,19.0,20,85.0,17,0,,2,1.85,40.0,27.0,13.0,0.69,0.46,37.3,26.6,10.7,0.56,0.38
81,Ümit Akdag,ROU,DF,Toulouse,fr  Ligue 1,21-156,2003.0,6,434.0,72.0,19.3,4.8,6,72.0,0,0,,17,0.33,1.0,8.0,-7.0,-1.45,-2.05,7.3,7.4,-0.1,-0.01,-0.49
82,Nathan Aké,NED,DF,Manchester City,eng  Premier League,30-021,1995.0,10,678.0,68.0,26.9,7.5,8,79.0,2,2,24.0,7,1.4,11.0,11.0,0.0,0.0,-0.73,12.6,13.5,-0.9,-0.12,-0.76
83,Ilias Akhomach,MAR,"MF,FW",Villarreal,es  La Liga,20-329,2004.0,11,584.0,53.0,24.0,6.5,7,69.0,0,4,25.0,1,1.91,8.0,7.0,1.0,0.15,-0.38,8.7,6.1,2.6,0.4,-0.31
