,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
620,Lucas Da Cunha,FRA,MF,Como,it  Serie A,23-275,2001.0,19.7,3,0,0,14,15,0,78,12,15,0,0,0,111,12,15,44.4
621,Samuel Dahl,SWE,"DF,MF",Roma,it  Serie A,25-007,2000.0,0.5,0,0,0,2,0,0,1,0,2,0,0,0,1,0,1,0.0
622,Finn Dahmen,GER,GK,Augsburg,de  Bundesliga,26-349,1998.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,100.0
623,Thomas Dähne,GER,GK,Holstein Kiel,de  Bundesliga,31-066,1994.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
624,Mahmoud Dahoud,GER,MF,Eint Frankfurt,de  Bundesliga,29-069,1996.0,4.0,2,0,0,10,2,0,4,2,4,0,0,0,20,1,2,33.3
625,Patson Daka,ZAM,"FW,MF",Leicester City,eng  Premier League,26-153,1998.0,4.4,0,0,0,7,13,3,1,1,4,0,0,0,7,7,19,26.9
626,Ameen Al-Dakhil,BEL,DF,Stuttgart,de  Bundesliga,23-005,2002.0,3.3,0,0,0,3,4,0,0,7,6,0,0,0,11,4,9,30.8
627,Thijs Dallinga,NED,"FW,MF",Bologna,it  Serie A,24-220,2000.0,6.0,1,0,0,18,11,4,2,1,5,1,0,0,32,20,17,54.1
628,Diogo Dalot,POR,DF,Manchester Utd,eng  Premier League,25-358,1999.0,26.6,4,0,0,36,8,4,47,35,34,0,1,0,144,30,19,61.2
629,Mikkel Damsgaard,DEN,"MF,FW",Brentford,eng  Premier League,24-251,2000.0,23.7,2,0,0,12,21,5,104,21,37,0,0,0,123,11,20,35.5
630,Maat Daniel Caprini,ITA,FW,Fiorentina,it  Serie A,19-028,2006.0,0.1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0.0
631,Flavius Daniliuc,AUT,DF,Hellas Verona,it  Serie A,23-318,2001.0,10.0,0,0,0,11,2,0,5,7,18,0,0,0,38,17,15,53.1
632,Danilo,BRA,MF,Nott'ham Forest,eng  Premier League,23-316,2001.0,1.9,0,0,0,1,0,0,2,1,1,0,0,0,13,1,1,50.0
633,Danilo,BRA,DF,Juventus,it  Serie A,33-239,1991.0,6.5,2,0,0,11,1,0,3,9,4,0,1,0,24,16,7,69.6
634,Arnaut Danjuma,NED,FW,Villarreal,es  La Liga,28-039,1997.0,2.2,1,0,0,1,1,3,0,0,1,0,0,0,2,2,0,100.0
635,Arnaut Danjuma,NED,"FW,MF",Girona,es  La Liga,28-039,1997.0,9.8,2,0,0,9,7,10,46,2,5,0,1,0,27,0,1,0.0
636,Jayden Danns,ENG,MF,Liverpool,eng  Premier League,19-054,2006.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
637,Kévin Danois,FRA,MF,Auxerre,fr  Ligue 1,20-256,2004.0,13.3,0,0,0,18,15,2,12,16,27,0,0,0,85,11,17,39.3
638,Kevin Danso,AUT,DF,Tottenham,eng  Premier League,26-173,1998.0,3.9,0,0,0,4,4,0,1,2,4,0,0,0,11,7,6,53.8
639,Kevin Danso,AUT,DF,Lens,fr  Ligue 1,26-173,1998.0,12.0,3,0,0,27,11,1,0,20,7,0,1,0,59,41,21,66.1
640,Dante,BRA,DF,Nice,fr  Ligue 1,41-144,1983.0,17.3,5,0,0,16,12,0,2,28,11,0,0,0,84,30,16,65.2
641,Pape Daouda Diongue,SEN,"MF,FW",Strasbourg,fr  Ligue 1,,,0.8,0,0,0,0,0,0,1,3,0,0,0,0,8,4,0,100.0
642,Mohammed Daramy,DEN,FW,Reims,fr  Ligue 1,23-063,2002.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3
643,Bence Dárdai,GER,MF,Wolfsburg,de  Bundesliga,19-046,2006.0,9.1,0,0,0,6,6,0,8,9,8,1,0,0,24,10,11,47.6
644,Sergi Darder,ESP,"MF,FW",Mallorca,es  La Liga,31-079,1993.0,19.9,2,0,0,16,21,2,100,10,20,0,0,0,78,9,5,64.3
645,Matteo Darmian,ITA,DF,Inter,it  Serie A,35-099,1989.0,13.0,2,0,0,20,15,2,23,3,12,0,1,1,24,13,11,54.2
646,Lukas Daschner,GER,"MF,FW",Bochum,de  Bundesliga,26-161,1998.0,4.6,0,0,0,4,2,0,19,0,2,0,0,0,17,4,8,33.3
647,Juan David Cabal,COL,DF,Juventus,it  Serie A,24-062,2001.0,5.1,0,0,0,7,10,1,7,2,4,0,0,0,20,8,3,72.7
648,Jonathan David,CAN,FW,Lille,fr  Ligue 1,25-056,2000.0,20.2,4,0,0,21,26,6,3,3,4,1,0,0,47,14,32,30.4
649,Alphonso Davies,CAN,DF,Bayern Munich,de  Bundesliga,24-129,2000.0,16.3,0,0,0,8,24,3,21,13,17,0,0,0,106,9,7,56.3
650,Ben Davies,WAL,DF,Tottenham,eng  Premier League,31-321,1993.0,7.0,2,0,0,7,3,0,1,7,4,0,0,0,23,27,24,52.9
651,Keinan Davis,ENG,FW,Udinese,it  Serie A,27-026,1998.0,7.8,2,0,0,16,11,4,3,1,3,0,0,0,27,21,18,53.8
652,Leif Davis,ENG,DF,Ipswich Town,eng  Premier League,25-058,2000.0,26.3,5,0,0,23,30,3,134,23,26,0,2,0,105,29,22,56.9
653,Zuriko Davitashvili,GEO,"FW,MF",Saint-Étienne,fr  Ligue 1,24-024,2001.0,22.5,1,0,0,12,26,3,53,12,10,1,0,0,97,10,38,20.8
654,Paweł Dawidowicz,POL,DF,Hellas Verona,it  Serie A,29-295,1995.0,14.3,5,1,0,26,8,0,1,16,15,0,1,0,38,23,15,60.5
655,Craig Dawson,ENG,DF,Wolves,eng  Premier League,34-309,1990.0,10.8,2,0,0,6,5,2,0,9,3,0,0,2,35,21,11,65.6
656,Kevin De Bruyne,BEL,MF,Manchester City,eng  Premier League,33-256,1991.0,12.2,2,0,0,11,11,4,84,5,5,0,0,0,43,3,11,21.4
657,Charles De Ketelaere,BEL,"MF,FW",Atalanta,it  Serie A,24-001,2001.0,18.5,1,0,0,19,31,2,45,2,8,0,0,0,63,30,30,50.0
658,Rodrigo De Paul,ARG,MF,Atlético Madrid,es  La Liga,30-291,1994.0,16.6,6,0,0,13,28,0,47,5,16,0,0,0,95,3,6,33.3
659,Théo De Percin,MTQ,GK,Auxerre,fr  Ligue 1,24-037,2001.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
660,Mattia De Sciglio,ITA,DF,Empoli,it  Serie A,32-142,1992.0,8.5,0,0,0,7,5,0,7,8,13,0,0,0,27,6,2,75.0
661,Lorenzo De Silvestri,ITA,DF,Bologna,it  Serie A,36-292,1988.0,8.5,1,0,0,16,6,0,13,7,6,0,0,0,19,10,12,45.5
662,Thibault De Smet,BEL,DF,Reims,fr  Ligue 1,26-279,1998.0,2.1,0,0,0,1,2,0,0,4,4,0,0,0,6,1,1,50.0
663,Koni De Winter,BEL,DF,Genoa,it  Serie A,22-272,2002.0,15.1,5,0,0,27,8,1,3,13,15,0,2,0,56,58,22,72.5
664,Amar Dedić,BIH,"DF,FW",Marseille,fr  Ligue 1,22-205,2002.0,1.6,0,0,0,3,2,0,2,0,1,0,0,0,11,2,3,40.0
665,Alessandro Deiola,ITA,MF,Cagliari,it  Serie A,29-222,1995.0,11.6,4,0,0,23,10,0,13,10,15,0,0,0,47,24,23,51.1
666,Romain Del Castillo,FRA,FW,Brest,fr  Ligue 1,28-347,1996.0,11.4,0,0,0,9,14,0,84,6,17,0,0,0,61,8,9,47.1
667,Enrico Del Prato,ITA,DF,Parma,it  Serie A,25-121,1999.0,22.7,5,0,0,13,12,0,10,18,13,0,0,0,96,33,32,50.8
668,Liam Delap,ENG,FW,Ipswich Town,eng  Premier League,22-031,2003.0,23.3,8,0,0,60,38,13,2,2,6,2,0,0,48,44,53,45.4
669,Fisayo Dele-Bashiru,NGA,"MF,FW",Lazio,it  Serie A,24-033,2001.0,7.9,0,0,0,7,3,0,5,4,5,0,0,0,42,2,10,16.7
670,Andy Delort,ALG,FW,Montpellier,fr  Ligue 1,33-153,1991.0,4.8,1,0,0,10,7,7,10,0,3,0,0,0,7,21,27,43.8
671,Olivier Deman,BEL,DF,Werder Bremen,de  Bundesliga,24-339,2000.0,0.7,1,0,0,1,2,0,6,3,3,0,0,0,5,4,0,100.0
672,Ali Dembélé,FRA,DF,Torino,it  Serie A,21-065,2004.0,1.4,4,1,1,3,0,0,2,0,2,0,0,0,4,2,6,25.0
673,Ousmane Dembélé,FRA,FW,Paris S-G,fr  Ligue 1,27-300,1997.0,15.5,1,0,0,6,13,7,74,9,4,1,0,0,34,4,5,44.4
674,Ermedin Demirović,BIH,FW,Stuttgart,de  Bundesliga,26-351,1998.0,14.4,2,0,0,15,23,13,3,3,5,0,0,0,21,24,29,45.3
675,Sepp van den Berg,NED,DF,Brentford,eng  Premier League,23-081,2001.0,19.5,1,0,0,15,5,1,6,14,17,1,0,0,63,65,57,53.3
676,Arthur Desmas,FRA,GK,Le Havre,fr  Ligue 1,30-338,1994.0,17.0,2,0,0,1,6,0,0,0,0,0,1,0,12,2,0,100.0
677,Justin Devenny,NIR,MF,Crystal Palace,eng  Premier League,21-151,2003.0,3.5,0,0,0,4,0,1,16,0,7,0,0,0,14,1,9,10.0
678,Kiernan Dewsbury-Hall,ENG,MF,Chelsea,eng  Premier League,26-186,1998.0,2.0,0,0,0,3,2,0,1,1,2,0,0,0,4,0,1,0.0
679,Michele Di Gregorio,ITA,GK,Juventus,it  Serie A,27-227,1997.0,23.0,0,0,0,0,4,0,0,0,0,0,0,0,22,5,1,83.3
680,Giovanni Di Lorenzo,ITA,DF,Napoli,it  Serie A,31-219,1993.0,28.0,4,0,0,40,37,4,54,25,35,0,0,0,71,38,35,52.1
681,Boulaye Dia,SEN,"MF,FW",Lazio,it  Serie A,28-115,1996.0,17.2,2,0,0,18,19,2,2,5,8,1,0,0,41,14,37,27.5
682,Mouctar Diakhaby,GUI,DF,Valencia,es  La Liga,28-082,1996.0,0.8,0,0,0,1,0,0,0,2,1,0,0,0,5,4,0,100.0
683,Mamadou Diakhon,FRA,"FW,MF",Reims,fr  Ligue 1,19-170,2005.0,6.3,2,0,0,3,18,0,24,2,8,1,0,0,27,0,6,0.0
684,Bafodé Diakité,FRA,DF,Lille,fr  Ligue 1,24-064,2001.0,24.0,4,0,0,32,12,1,3,20,13,0,1,0,108,45,17,72.6
685,Oumar Diakité,CIV,FW,Reims,fr  Ligue 1,21-081,2003.0,17.5,6,0,0,27,25,11,7,3,13,0,0,0,57,24,56,30.0
686,Amad Diallo,CIV,"FW,MF",Manchester Utd,eng  Premier League,22-243,2002.0,17.7,3,0,0,19,23,9,38,11,26,1,0,0,93,9,15,37.5
687,Assane Diao,ESP,"FW,MF",Como,it  Serie A,19-185,2005.0,9.0,2,0,0,13,27,5,10,3,13,0,0,0,30,10,22,31.3
688,Assane Diao,ESP,FW,Betis,es  La Liga,19-185,2005.0,3.1,0,0,0,4,4,2,4,0,3,0,0,0,12,8,6,57.1
689,Habib Diarra,SEN,"MF,FW",Strasbourg,fr  Ligue 1,21-067,2004.0,21.6,6,0,0,24,43,1,43,11,10,1,0,0,70,9,12,42.9
690,Moussa Diarra,MLI,DF,Alavés,es  La Liga,24-121,2000.0,17.6,5,0,0,22,20,1,18,21,17,1,1,0,66,27,26,50.9
691,Rúben Dias,POR,DF,Manchester City,eng  Premier League,27-301,1997.0,15.2,3,0,0,8,5,0,2,15,6,0,0,1,47,19,17,52.8
692,Krépin Diatta,SEN,DF,Monaco,fr  Ligue 1,26-014,1999.0,4.1,1,0,0,10,4,2,11,7,9,0,0,0,27,11,5,68.8
693,Kandet Diawara,GUI,FW,Le Havre,fr  Ligue 1,25-029,2000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
694,Mahamadou Diawara,FRA,MF,Le Havre,fr  Ligue 1,20-022,2005.0,4.6,0,0,0,12,6,0,1,10,10,0,0,0,29,1,4,20.0
695,Mahamadou Diawara,FRA,MF,Lyon,fr  Ligue 1,20-022,2005.0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,
696,Brahim Díaz,MAR,"FW,MF",Real Madrid,es  La Liga,25-220,1999.0,10.9,0,0,0,9,23,0,7,3,16,0,0,0,35,1,12,7.7
697,Luis Díaz,COL,FW,Liverpool,eng  Premier League,28-057,1997.0,20.6,2,0,0,42,25,8,18,6,17,2,0,0,81,10,24,29.4
698,Pedro Díaz,ESP,MF,Rayo Vallecano,es  La Liga,26-279,1998.0,6.3,1,0,0,3,3,0,20,5,9,0,0,0,46,3,4,42.9
699,Tyler Dibling,ENG,"FW,MF",Southampton,eng  Premier League,18-364,2006.0,16.1,6,0,0,23,39,0,23,7,15,2,0,0,59,5,18,21.7
700,Diego,ESP,"FW,MF",Leganés,es  La Liga,24-327,2000.0,7.4,0,0,0,15,15,6,4,1,0,1,0,0,13,31,42,42.5
701,Justin Diehl,GER,"FW,DF",Stuttgart,de  Bundesliga,20-104,2004.0,1.2,0,0,0,2,0,0,10,0,0,0,0,0,8,0,1,0.0
702,Bamba Dieng,SEN,"FW,MF",Angers,fr  Ligue 1,24-353,2000.0,5.4,1,0,0,8,12,3,5,0,1,1,0,0,4,8,22,26.7
703,Eric Dier,ENG,DF,Bayern Munich,de  Bundesliga,31-055,1994.0,7.3,0,0,0,5,2,0,1,10,7,0,0,0,38,25,21,54.3
704,Lucas Digne,FRA,DF,Aston Villa,eng  Premier League,31-234,1993.0,22.9,3,0,0,18,13,7,133,25,31,0,0,0,92,32,25,56.1
705,Kembo Diliwidi,FRA,DF,Lens,fr  Ligue 1,19-036,2006.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
706,Federico Dimarco,ITA,"DF,FW",Inter,it  Serie A,27-121,1997.0,18.7,2,0,0,15,10,8,156,11,9,0,0,0,58,6,9,40.0
707,Stole Dimitrievski,MKD,GK,Valencia,es  La Liga,31-076,1993.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
708,Junior Dina Ebimbe,FRA,"MF,FW",Eint Frankfurt,de  Bundesliga,24-110,2000.0,3.3,0,0,0,10,4,1,8,7,2,0,1,0,11,8,4,66.7
709,Eren Dinkçi,GER,"MF,FW",Freiburg,de  Bundesliga,23-088,2001.0,12.7,0,0,0,8,5,1,14,6,13,1,0,0,53,5,12,29.4
710,Sinaly Diomande,CIV,DF,Auxerre,fr  Ligue 1,23-336,2001.0,13.8,3,0,0,15,14,0,1,18,9,0,0,1,49,21,14,60.0
711,Lois Diony,FRA,FW,Angers,fr  Ligue 1,32-081,1992.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
712,Issa Diop,FRA,DF,Fulham,eng  Premier League,28-061,1997.0,14.0,2,0,0,10,3,0,1,8,11,0,0,1,42,20,11,64.5
713,Sérigné Diop,SEN,FW,Brest,fr  Ligue 1,19-303,2005.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
714,Sofiane Diop,FRA,"MF,FW",Nice,fr  Ligue 1,24-275,2000.0,9.7,3,0,0,14,16,2,32,14,15,0,0,0,64,3,6,33.3
715,Andy Diouf,FRA,MF,Lens,fr  Ligue 1,21-298,2003.0,18.4,2,0,0,32,14,1,28,10,22,0,1,0,110,12,19,38.7
716,Yehvann Diouf,FRA,GK,Reims,fr  Ligue 1,25-115,1999.0,25.0,1,0,0,0,2,0,0,0,1,0,0,0,31,5,0,100.0
717,Assane Dioussé,SEN,MF,Auxerre,fr  Ligue 1,27-172,1997.0,2.4,1,0,0,9,5,0,0,6,2,0,0,0,14,0,1,0.0
718,Axel Disasi,FRA,DF,Aston Villa,eng  Premier League,27-000,1998.0,4.0,1,0,0,2,2,2,1,5,2,0,0,0,12,7,6,53.8
719,Axel Disasi,FRA,DF,Chelsea,eng  Premier League,27-000,1998.0,4.0,1,0,0,2,0,0,0,2,4,0,0,0,15,5,2,71.4
720,Roman Dixon,ENG,DF,Everton,eng  Premier League,20-075,2004.0,1.0,0,0,0,0,0,0,0,1,5,0,0,0,6,0,3,0.0
721,Álvaro djaló,ESP,FW,Athletic Club,es  La Liga,25-207,1999.0,5.1,0,0,0,13,9,4,6,1,4,0,0,0,16,6,12,33.3
722,Djené,TOG,"DF,MF",Getafe,es  La Liga,33-070,1991.0,23.0,8,0,0,31,20,1,26,19,6,0,0,0,82,40,29,58.0
723,Nasser Djiga,BFA,DF,Wolves,eng  Premier League,22-116,2002.0,0.2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,100.0
724,Berat Djimsiti,ALB,DF,Atalanta,it  Serie A,32-020,1993.0,21.0,4,0,0,14,15,0,6,31,26,0,1,1,75,61,37,62.2
725,Marko Dmitrović,SRB,GK,Leganés,es  La Liga,33-046,1992.0,21.0,0,0,0,0,6,0,0,0,1,0,0,0,24,6,0,100.0
726,Ritsu Doan,JPN,FW,Freiburg,de  Bundesliga,26-268,1998.0,23.0,1,0,0,17,38,7,44,12,35,1,1,0,92,13,22,37.1
727,Dodô,BRA,DF,Fiorentina,it  Serie A,26-114,1998.0,26.7,6,0,0,20,44,2,102,29,25,2,0,0,147,12,14,46.2
728,Danilho Doekhi,NED,DF,Union Berlin,de  Bundesliga,26-254,1998.0,25.0,4,0,0,32,11,2,6,31,17,0,1,0,74,72,60,54.5
729,Matt Doherty,IRL,DF,Wolves,eng  Premier League,33-054,1992.0,16.9,5,0,0,13,9,2,17,18,17,0,0,1,79,38,16,70.4
730,Jeremy Doku,BEL,"FW,MF",Manchester City,eng  Premier League,22-288,2002.0,11.9,0,0,0,4,22,5,41,4,16,0,0,0,45,0,9,0.0
731,Marc Domenech,ESP,FW,Mallorca,es  La Liga,19-069,2006.0,1.3,0,0,0,3,0,0,2,0,0,0,0,0,3,5,4,55.6
732,Álex Domínguez,ESP,GK,Toulouse,fr  Ligue 1,26-224,1998.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
733,Benjamín Domínguez,ARG,FW,Bologna,it  Serie A,21-173,2003.0,10.7,0,0,0,6,26,3,9,4,5,0,0,0,53,0,17,0.0
734,Carlos Dominguez,ESP,DF,Celta Vigo,es  La Liga,24-028,2001.0,8.2,1,0,0,7,6,0,0,7,10,0,0,1,30,21,5,80.8
735,Israel Domínguez,ESP,FW,Sevilla,es  La Liga,21-308,2003.0,0.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.0
736,Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,eng  Premier League,26-256,1998.0,14.8,7,0,0,22,13,1,2,23,32,0,0,0,73,12,16,42.9
737,Sergi Dominguez,ESP,DF,Barcelona,es  La Liga,19-344,2005.0,1.9,1,0,0,2,0,0,0,3,1,0,1,0,8,1,3,25.0
738,Gianluigi Donnarumma,ITA,GK,Paris S-G,fr  Ligue 1,26-014,1999.0,18.2,2,0,0,0,2,0,0,0,1,0,0,0,25,3,0,100.0
739,Patrick Dorgu,DEN,DF,Manchester Utd,eng  Premier League,20-136,2004.0,2.5,1,1,0,4,10,1,12,1,6,0,0,0,12,3,3,50.0
740,Patrick Dorgu,DEN,"DF,FW",Lecce,it  Serie A,20-136,2004.0,20.4,2,1,0,24,55,4,40,18,27,1,0,1,99,31,21,59.6
741,Alfie Dorrington,ENG,DF,Tottenham,eng  Premier League,19-325,2005.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
742,Niklas Dorsch,GER,MF,Augsburg,de  Bundesliga,27-055,1998.0,0.4,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,
743,Niklas Dorsch,GER,MF,Heidenheim,de  Bundesliga,27-055,1998.0,9.0,1,1,0,4,13,0,19,8,9,0,0,0,45,5,6,45.5
744,Alberto Dossena,ITA,DF,Como,it  Serie A,26-149,1998.0,20.1,1,1,0,22,16,0,1,22,19,0,2,0,67,58,24,70.7
745,Abdoulaye Doucouré,MLI,MF,Everton,eng  Premier League,32-069,1993.0,21.3,4,1,1,39,4,8,18,7,20,0,0,0,112,25,31,44.6
746,Cheick Doucouré,MLI,MF,Crystal Palace,eng  Premier League,25-062,2000.0,5.0,1,0,0,7,7,0,1,11,8,0,0,0,31,5,5,50.0
747,Désiré Doué,FRA,"FW,MF",Paris S-G,fr  Ligue 1,19-281,2005.0,13.4,1,0,0,19,28,1,47,9,18,1,0,0,72,6,6,50.0
748,Guela Doué,CIV,DF,Strasbourg,fr  Ligue 1,22-145,2002.0,23.2,5,0,0,29,15,0,35,28,35,0,1,0,132,45,28,61.6
749,Douglas,BRA,MF,Nantes,fr  Ligue 1,28-057,1997.0,18.1,6,0,0,31,23,0,8,19,27,0,1,0,80,16,27,37.2
750,Ismaël Doukouré,FRA,"MF,DF",Strasbourg,fr  Ligue 1,21-230,2003.0,20.8,6,0,0,20,11,0,1,21,14,0,0,1,71,19,10,65.5
751,Issa Doumbia,CIV,MF,Venezia,it  Serie A,21-146,2003.0,7.2,0,0,0,11,7,0,8,7,6,0,0,0,32,14,13,51.9
752,Kamory Doumbia,MLI,MF,Brest,fr  Ligue 1,22-021,2003.0,10.3,0,0,0,14,13,1,44,22,21,0,0,0,58,8,19,29.6
753,Amidou Doumbouya,FRA,DF,Nice,fr  Ligue 1,17-218,2007.0,0.5,0,0,0,0,0,0,2,1,1,0,0,0,6,0,0,
754,Anastasios Douvikas,GRE,FW,Como,it  Serie A,25-221,1999.0,0.6,1,0,0,2,2,0,0,1,0,0,0,0,5,3,4,42.9
755,Anastasios Douvikas,GRE,FW,Celta Vigo,es  La Liga,25-221,1999.0,7.8,2,0,0,10,27,9,1,3,4,0,0,0,15,14,23,37.8
756,Artem Dovbyk,UKR,FW,Roma,it  Serie A,27-263,1997.0,20.3,0,0,0,26,10,21,0,1,2,0,0,0,20,34,42,44.7
757,Flynn Downes,ENG,MF,Southampton,eng  Premier League,26-050,1999.0,16.8,9,0,0,39,29,0,2,26,20,0,0,0,57,11,10,52.4
758,Tommy Doyle,ENG,MF,Wolves,eng  Premier League,23-145,2001.0,5.4,1,0,0,5,5,0,15,5,6,0,0,0,43,1,6,14.3
759,Radu Drăgușin,ROU,DF,Tottenham,eng  Premier League,23-036,2002.0,13.9,1,0,0,6,10,0,1,15,6,0,0,0,48,33,22,60.0
760,Patrick Drewes,GER,GK,Bochum,de  Bundesliga,32-035,1993.0,21.0,2,0,0,1,3,0,0,0,0,0,1,0,36,3,0,100.0
761,Tim Drexler,GER,DF,Hoffenheim,de  Bundesliga,20-005,2005.0,4.0,2,0,0,8,2,0,1,1,7,0,0,0,10,2,12,14.3
762,Domingos Duarte,POR,DF,Getafe,es  La Liga,30-001,1995.0,11.0,2,1,1,13,4,0,0,9,5,0,0,0,33,18,7,72.0
763,Martin Dúbravka,SVK,GK,Newcastle Utd,eng  Premier League,36-055,1989.0,10.0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,100.0
764,Marvin Ducksch,GER,FW,Werder Bremen,de  Bundesliga,31-004,1994.0,19.9,3,0,0,4,14,10,125,5,6,0,0,0,45,16,25,39.0
765,Ondrej Duda,SVK,MF,Hellas Verona,it  Serie A,30-096,1994.0,17.9,10,1,1,32,46,0,57,24,17,0,0,0,124,11,7,61.1
766,Duk,CPV,"MF,FW",Leganés,es  La Liga,25-023,2000.0,0.5,1,0,0,0,6,0,3,0,3,0,0,0,5,0,0,
767,Denzel Dumfries,NED,"DF,FW",Inter,it  Serie A,28-327,1996.0,18.8,4,0,0,47,15,5,51,6,16,2,0,0,53,54,16,77.1
768,Alfred Duncan,GHA,MF,Venezia,it  Serie A,32-001,1993.0,9.6,2,0,0,21,11,0,17,8,8,0,0,0,48,10,8,55.6
769,Lewis Dunk,ENG,DF,Brighton,eng  Premier League,33-110,1991.0,17.4,4,0,0,5,8,2,2,10,8,0,0,1,84,39,24,61.9
770,Jáder Durán,COL,FW,Aston Villa,eng  Premier League,21-088,2003.0,7.1,3,1,0,14,15,5,3,0,7,0,0,0,19,19,19,50.0
771,Pablo Durán,ESP,"FW,MF",Celta Vigo,es  La Liga,23-290,2001.0,9.9,3,0,0,20,12,4,14,7,6,0,0,0,31,6,19,24.0
772,Julien Duranville,BEL,"FW,MF",Dortmund,de  Bundesliga,18-310,2006.0,2.9,3,0,0,9,7,2,13,0,0,1,0,0,5,0,1,0.0
773,Hugo Duro,ESP,FW,Valencia,es  La Liga,25-121,1999.0,18.8,3,0,0,28,41,6,7,10,7,0,1,1,39,49,80,38.0
774,Jean-Kevin Duverne,HAI,DF,Nantes,fr  Ligue 1,27-242,1997.0,6.0,2,0,0,14,6,0,9,8,12,0,0,0,20,9,3,75.0
775,Paulo Dybala,ARG,"FW,MF",Roma,it  Serie A,31-116,1993.0,15.6,2,0,0,6,60,6,62,2,7,2,0,0,63,8,17,32.0
776,Stefan Džodić,SRB,"DF,MF",Montpellier,fr  Ligue 1,19-361,2005.0,2.1,2,1,0,4,2,0,0,4,3,0,0,0,9,2,5,28.6
777,Adam Dźwigała,POL,"DF,MF",St. Pauli,de  Bundesliga,29-167,1995.0,2.1,2,1,0,4,2,0,3,0,7,0,0,0,5,7,3,70.0
778,Aron Dønnum,NOR,"DF,MF",Toulouse,fr  Ligue 1,26-325,1998.0,22.0,4,0,0,31,41,0,89,23,23,0,0,0,134,10,15,40.0
779,Enzo Ebosse,CMR,DF,Udinese,it  Serie A,26-000,1999.0,1.0,1,0,0,1,0,0,0,1,0,0,0,0,5,1,0,100.0
780,Ederson,BRA,GK,Manchester City,eng  Premier League,31-206,1993.0,19.0,3,0,0,1,0,0,0,1,0,0,1,0,31,3,1,75.0
781,Éderson,BRA,MF,Atalanta,it  Serie A,25-247,1999.0,24.9,3,0,0,25,45,0,21,32,25,0,0,0,146,36,26,58.1
782,Noah Edjouma,FRA,"MF,FW",Toulouse,fr  Ligue 1,19-158,2005.0,0.9,0,0,0,1,2,0,1,2,1,0,0,0,3,0,2,0.0
783,George Edmundson,ENG,DF,Ipswich Town,eng  Premier League,27-192,1997.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
784,Odsonne Édouard,FRA,"MF,FW",Crystal Palace,eng  Premier League,27-054,1998.0,1.3,0,0,0,4,0,2,1,0,0,0,0,0,5,1,4,20.0
785,Odsonne Édouard,FRA,FW,Leicester City,eng  Premier League,27-054,1998.0,0.3,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,50.0
786,Samuel Edozie,ENG,"DF,FW",Southampton,eng  Premier League,22-042,2003.0,0.7,1,0,0,2,1,0,4,0,1,0,0,0,1,0,0,
787,Ronnie Edwards,ENG,DF,Southampton,eng  Premier League,21-348,2003.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
788,Johannes Eggestein,GER,FW,St. Pauli,de  Bundesliga,26-307,1998.0,20.0,3,0,0,11,12,13,33,0,3,0,0,0,56,28,80,25.9
789,Maximilian Eggestein,GER,MF,Freiburg,de  Bundesliga,28-093,1996.0,22.8,4,0,0,16,20,1,8,25,21,0,0,0,119,37,36,50.7
790,Kingsley Ehizibue,NED,DF,Udinese,it  Serie A,29-290,1995.0,20.8,4,0,0,25,26,5,45,18,27,0,0,0,84,23,23,50.0
791,Chidera Ejuke,NGA,FW,Sevilla,es  La Liga,27-068,1998.0,8.2,0,0,0,6,12,3,15,2,8,0,0,0,45,3,5,37.5
792,Jeff Ekhator,ITA,"FW,MF",Genoa,it  Serie A,18-120,2006.0,7.1,1,0,0,13,10,3,9,1,2,0,0,0,23,14,29,32.6
