,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1666,Alexander Meyer,GER,GK,Dortmund,de  Bundesliga,33-332,1991.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
1667,Shumaira Mheuka,ENG,MF,Chelsea,eng  Premier League,17-142,2007.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
1668,Lucas Michal,FRA,"FW,MF",Monaco,fr  Ligue 1,19-263,2005.0,1.1,0,0,0,5,4,0,1,1,3,0,0,0,3,3,5,37.5
1669,Florian Micheler,AUT,MF,Hoffenheim,de  Bundesliga,19-298,2005.0,0.4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
1670,Miguel,ESP,FW,Leganés,es  La Liga,25-189,1999.0,17.7,3,0,0,22,29,11,7,4,7,0,0,0,23,28,90,23.7
1671,Valentin Mihaila,ROU,"FW,MF",Parma,it  Serie A,25-037,2000.0,14.3,2,0,0,17,20,1,33,8,15,0,1,0,39,13,27,32.5
1672,Georges Mikautadze,GEO,FW,Lyon,fr  Ligue 1,24-131,2000.0,11.2,1,0,0,4,17,2,9,3,5,1,0,0,30,12,30,28.6
1673,Igor Miladinović,SRB,"FW,MF",Saint-Étienne,fr  Ligue 1,21-276,2003.0,0.3,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,100.0
1674,Nikola Milenković,SRB,DF,Nott'ham Forest,eng  Premier League,27-150,1997.0,27.0,4,0,0,16,3,1,0,19,20,0,0,0,65,77,31,71.3
1675,Lewis Miley,ENG,MF,Newcastle Utd,eng  Premier League,18-314,2006.0,2.1,0,0,0,1,1,0,0,2,5,0,0,0,10,5,3,62.5
1676,Vanja Milinković-Savić,SRB,GK,Torino,it  Serie A,28-019,1997.0,27.0,2,0,0,0,7,0,0,0,0,0,0,0,44,8,1,88.9
1677,Éder Militão,BRA,DF,Real Madrid,es  La Liga,27-052,1998.0,10.4,2,0,0,18,8,0,2,12,17,0,0,0,44,21,12,63.6
1678,Luis Milla,ESP,MF,Getafe,es  La Liga,30-155,1994.0,22.0,3,0,0,27,33,0,138,17,27,0,1,0,111,22,27,44.9
1679,Pere Milla,ESP,"MF,FW",Espanyol,es  La Liga,32-169,1992.0,2.7,2,0,0,3,8,2,9,2,1,0,0,0,16,3,4,42.9
1680,Enzo Millot,FRA,"MF,FW",Stuttgart,de  Bundesliga,22-237,2002.0,16.7,7,0,0,20,33,3,35,10,11,0,1,0,86,6,17,26.1
1681,James Milner,ENG,MF,Brighton,eng  Premier League,39-066,1986.0,1.9,1,0,0,3,1,0,8,2,2,0,0,0,2,0,1,0.0
1682,Kim Min-jae,KOR,DF,Bayern Munich,de  Bundesliga,28-116,1996.0,22.3,2,0,0,23,4,0,0,31,19,0,0,0,135,76,37,67.3
1683,Yerry Mina,COL,DF,Cagliari,it  Serie A,30-169,1994.0,22.1,6,1,1,32,44,2,1,28,22,0,0,0,125,82,38,68.3
1684,Takumi Minamino,JPN,"MF,FW",Monaco,fr  Ligue 1,30-054,1995.0,17.5,2,0,0,20,14,10,15,9,11,0,0,0,70,13,25,34.2
1685,Lucas Mincarelli,FRA,DF,Montpellier,fr  Ligue 1,21-065,2004.0,2.8,0,0,0,4,5,0,12,1,4,0,0,0,9,3,2,60.0
1686,Tyrone Mings,ENG,DF,Aston Villa,eng  Premier League,31-363,1993.0,8.7,1,0,0,3,8,0,1,5,5,0,0,0,22,20,14,58.8
1687,Óscar Mingueza,ESP,"MF,DF",Celta Vigo,es  La Liga,25-302,1999.0,21.1,4,1,0,17,16,1,86,16,16,1,0,0,100,9,8,52.9
1688,Kim Minsu,KOR,"MF,FW",Girona,es  La Liga,19-051,2006.0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0
1689,Yankuba Minteh,GAM,"FW,MF",Brighton,eng  Premier League,20-232,2004.0,13.1,6,0,0,15,7,4,65,10,24,0,0,0,59,12,24,33.3
1690,Bojan Miovski,MKD,FW,Girona,es  La Liga,25-260,1999.0,8.8,0,0,0,12,11,7,3,2,5,1,0,0,10,11,20,35.5
1691,Rafa Mir,ESP,"MF,FW",Valencia,es  La Liga,27-266,1997.0,4.1,2,0,0,3,3,3,3,1,5,0,0,0,7,7,11,38.9
1692,Juan Miranda,ESP,DF,Bologna,it  Serie A,25-051,2000.0,17.6,3,0,0,16,22,1,152,18,15,0,0,0,69,25,26,49.0
1693,Fabio Miretti,ITA,"MF,FW",Genoa,it  Serie A,21-220,2003.0,16.0,1,0,0,19,42,1,53,6,15,0,0,0,71,10,15,40.0
1694,Tyrick Mitchell,ENG,DF,Crystal Palace,eng  Premier League,25-191,1999.0,26.7,2,0,0,13,21,2,82,11,48,0,0,0,133,16,20,44.4
1695,Kaoru Mitoma,JPN,"FW,MF",Brighton,eng  Premier League,27-295,1997.0,24.8,0,0,0,31,20,5,61,12,19,0,0,0,77,23,25,47.9
1696,Maximilian Mittelstädt,GER,DF,Stuttgart,de  Bundesliga,27-358,1997.0,19.9,4,0,0,18,36,2,123,26,43,0,0,0,81,16,13,55.2
1697,Koji Miyoshi,JPN,"FW,MF",Bochum,de  Bundesliga,27-350,1997.0,5.0,0,1,0,10,4,2,9,2,5,0,0,0,22,2,12,14.3
1698,Henrikh Mkhitaryan,ARM,MF,Inter,it  Serie A,36-049,1989.0,21.8,3,0,0,25,16,5,18,16,19,0,0,0,100,16,11,59.3
