,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
344,Warren Bondo,FRA,MF,Monza,it  Serie A,21-177,2003.0,18.0,26,1.45,20,0,2,0,4,0,1,0.06,1,0,0,0,0,0
345,Warren Bondo,FRA,MF,Milan,it  Serie A,21-177,2003.0,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
346,Victor Boniface,NGA,FW,Leverkusen,de  Bundesliga,24-078,2000.0,8.9,29,3.27,17,0,5,7,0,0,3,0.34,1,0,2,0,0,0
347,Kevin Bonifazi,ITA,DF,Lecce,it  Serie A,28-296,1996.0,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
348,Ange-Yoan Bonny,FRA,FW,Parma,it  Serie A,21-137,2003.0,20.1,50,2.49,34,1,7,5,3,0,5,0.25,2,0,1,1,1,0
349,Sebastiaan Bornauw,BEL,DF,Wolfsburg,de  Bundesliga,25-354,1999.0,7.7,4,0.52,3,0,0,1,0,0,1,0.13,0,0,0,1,0,0
350,Sven Botman,NED,DF,Newcastle Utd,eng  Premier League,25-058,2000.0,2.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
351,Saïmon Bouabré,FRA,"MF,FW",Monaco,fr  Ligue 1,18-283,2006.0,0.8,1,1.25,1,0,0,0,0,0,1,1.25,1,0,0,0,0,0
352,Ayyoub Bouaddi,FRA,MF,Lille,fr  Ligue 1,17-160,2007.0,11.3,13,1.15,11,0,1,0,1,0,2,0.18,1,0,1,0,0,0
353,Badredine Bouanani,ALG,"MF,FW",Nice,fr  Ligue 1,20-093,2004.0,7.6,27,3.56,20,2,2,2,1,0,4,0.53,2,0,1,1,0,0
354,Benjamin Bouchouari,MAR,MF,Saint-Étienne,fr  Ligue 1,23-118,2001.0,15.4,42,2.72,35,0,2,3,1,1,2,0.13,2,0,0,0,0,0
355,Hicham Boudaoui,ALG,MF,Nice,fr  Ligue 1,25-169,1999.0,19.0,43,2.26,35,1,0,2,3,2,4,0.21,3,0,0,0,1,0
356,Carlo Boukhalfa,MAR,MF,St. Pauli,de  Bundesliga,25-312,1999.0,13.6,27,1.98,18,0,1,6,1,1,2,0.15,2,0,0,0,0,0
357,Justin Bourgault,FRA,DF,Brest,fr  Ligue 1,19-178,2005.0,0.9,2,2.37,2,0,0,0,0,0,1,1.18,1,0,0,0,0,0
358,Benjamin Bourigeaud,FRA,MF,Rennes,fr  Ligue 1,31-056,1994.0,0.9,2,2.25,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
359,Edoardo Bove,ITA,"MF,FW",Fiorentina,it  Serie A,22-299,2002.0,9.5,31,3.27,24,1,1,1,3,1,7,0.74,5,0,1,0,1,0
360,Jarrod Bowen,ENG,"FW,MF",West Ham,eng  Premier League,28-081,1996.0,23.3,90,3.86,55,12,5,10,6,2,10,0.43,6,2,1,1,0,0
361,Enzo Boyomo,CMR,DF,Osasuna,es  La Liga,23-155,2001.0,21.7,8,0.37,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0
362,Enzo Boyomo,CMR,DF,Valladolid,es  La Liga,23-155,2001.0,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
363,Domagoj Bradarić,CRO,DF,Hellas Verona,it  Serie A,25-091,1999.0,13.2,31,2.35,18,9,2,1,1,0,1,0.08,1,0,0,0,0,0
