,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1338,Christian Kouamé,CIV,"FW,MF",Fiorentina,it  Serie A,27-095,1997.0,6.9,197,188,7,1,0,0,6,6,0,0,0,0,137,2,4
1339,Christian Kouamé,CIV,"FW,MF",Empoli,it  Serie A,27-095,1997.0,2.9,82,77,4,0,0,1,2,2,0,0,0,0,47,1,2
1340,Henri Koudossou,GER,DF,Augsburg,de  Bundesliga,25-189,1999.0,6.7,268,221,46,1,0,0,17,45,0,0,0,0,206,1,8
1341,Konstantinos Koulierakis,GRE,DF,Wolfsburg,de  Bundesliga,21-103,2003.0,21.1,1219,1122,95,23,1,23,10,16,0,0,0,0,1019,2,7
1342,Emmanuel Koum Mbondo,FRA,DF,Marseille,fr  Ligue 1,19-034,2006.0,0.1,9,7,2,0,0,0,0,2,0,0,0,0,8,0,0
1343,Jules Koundé,FRA,DF,Barcelona,es  La Liga,26-119,1998.0,23.0,1627,1357,268,52,6,11,51,216,0,0,0,0,1399,2,19
1344,Boubakar Kouyaté,MLI,DF,Montpellier,fr  Ligue 1,27-330,1997.0,6.4,196,189,5,2,0,0,0,0,0,0,0,0,161,2,0
1345,Mateo Kovačić,CRO,MF,Manchester City,eng  Premier League,30-309,1994.0,18.7,1414,1384,27,26,10,4,0,0,0,0,0,0,1313,3,11
1346,Viktor Kovalenko,UKR,"MF,DF",Empoli,it  Serie A,29-025,1996.0,0.4,24,23,1,1,0,0,0,0,0,0,0,0,19,0,0
1347,Matej Kovar,CZE,GK,Leverkusen,de  Bundesliga,24-298,2000.0,3.0,85,74,10,5,0,0,0,0,0,0,0,0,66,1,0
1348,Mateusz Kowalski,POL,MF,Parma,it  Serie A,19-233,2005.0,0.6,12,12,0,0,0,0,0,0,0,0,0,0,8,0,1
1349,Goduine Koyalipou,CTA,FW,Lens,fr  Ligue 1,25-024,2000.0,4.3,101,95,6,0,0,1,1,0,0,0,0,0,69,0,7
1350,Caleb Kporha,ENG,DF,Crystal Palace,eng  Premier League,18-239,2006.0,0.1,7,6,1,0,0,0,2,1,0,0,0,0,5,0,0
1351,Emil Krafth,SWE,DF,Newcastle Utd,eng  Premier League,30-221,1994.0,2.7,76,72,4,3,0,0,0,1,0,0,0,0,61,0,1
1352,Alex Král,CZE,MF,Espanyol,es  La Liga,26-296,1998.0,25.4,705,674,25,10,6,6,32,2,2,0,2,0,505,6,22
1353,Andrej Kramarić,CRO,"MF,FW",Hoffenheim,de  Bundesliga,33-265,1991.0,21.9,963,855,102,13,4,4,95,16,40,14,13,0,742,6,26
1354,Frans Krätzig,GER,"MF,FW",Heidenheim,de  Bundesliga,22-056,2003.0,6.0,224,203,20,4,1,1,14,7,9,7,2,0,168,1,5
1355,Frans Krätzig,GER,DF,Stuttgart,de  Bundesliga,22-056,2003.0,0.6,41,37,4,0,0,0,1,4,0,0,0,0,36,0,0
1356,Tom Krauß,GER,MF,Bochum,de  Bundesliga,23-262,2001.0,5.1,233,221,9,2,1,1,6,1,0,0,0,0,179,3,8
1357,Ladislav Krejčí,CZE,DF,Girona,es  La Liga,25-325,1999.0,17.1,1441,1387,53,31,2,7,7,11,0,0,0,0,1305,1,5
1358,Rasmus Kristensen,DEN,DF,Eint Frankfurt,de  Bundesliga,27-243,1997.0,20.9,1270,1111,153,11,2,7,48,142,0,0,0,0,1004,6,26
1359,Thomas Kristensen,DEN,DF,Udinese,it  Serie A,23-053,2002.0,13.0,647,593,53,27,1,2,7,25,0,0,0,0,533,1,8
1360,Nikola Krstović,MNE,FW,Lecce,it  Serie A,24-340,2000.0,25.9,501,445,54,3,4,3,6,7,0,0,0,0,338,2,21
1361,Lukas Kübler,GER,DF,Freiburg,de  Bundesliga,32-193,1992.0,16.6,797,657,136,11,0,2,20,125,0,0,0,0,616,4,12
1362,Takefusa Kubo,JPN,"MF,FW",Real Sociedad,es  La Liga,23-280,2001.0,17.3,626,596,24,5,5,2,55,2,16,7,4,0,441,6,27
1363,Mohammed Kudus,GHA,"MF,FW",West Ham,eng  Premier League,24-221,2000.0,21.2,633,621,10,3,2,8,58,3,1,0,0,0,530,2,23
1364,Dejan Kulusevski,SWE,"MF,FW",Tottenham,eng  Premier League,24-320,2000.0,23.9,831,746,80,4,10,1,88,6,62,26,0,0,611,5,40
1365,Sael Kumbedi,FRA,DF,Lyon,fr  Ligue 1,19-350,2005.0,8.8,421,370,50,5,1,0,11,45,0,0,0,0,361,1,10
1366,Marash Kumbulla,ALB,DF,Espanyol,es  La Liga,25-031,2000.0,22.2,909,872,33,18,0,6,3,2,0,0,0,0,762,4,4
1367,Daler Kuzyaev,RUS,MF,Le Havre,fr  Ligue 1,32-055,1993.0,6.3,260,253,7,5,1,1,6,0,2,2,0,0,211,0,2
1368,Khvicha Kvaratskhelia,GEO,"FW,MF",Napoli,it  Serie A,24-027,2001.0,13.1,461,401,56,14,7,5,51,11,30,20,5,0,352,4,14
1369,Khvicha Kvaratskhelia,GEO,FW,Paris S-G,fr  Ligue 1,24-027,2001.0,4.6,221,201,19,2,5,1,14,3,13,4,6,0,180,1,10
1370,Moritz-Broni Kwarteng,GHA,"MF,FW",Bochum,de  Bundesliga,26-317,1998.0,1.9,78,76,2,0,0,0,1,2,0,0,0,0,62,0,7
1371,Giorgos Kyriakopoulos,GRE,DF,Monza,it  Serie A,29-034,1996.0,23.6,1041,768,271,31,2,1,132,205,35,12,18,0,763,2,31
1372,Luca de la Torre,USA,MF,Celta Vigo,es  La Liga,26-292,1998.0,0.0,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
1373,Rémy Labeau Lascary,GLP,"FW,MF",Lens,fr  Ligue 1,22-008,2003.0,7.1,174,167,5,0,1,1,19,1,0,0,0,0,127,2,3
1374,Gaëtan Laborde,FRA,FW,Nice,fr  Ligue 1,30-312,1994.0,13.2,324,304,19,0,1,2,17,0,0,0,0,0,220,1,12
1375,Nediljko Labrović,CRO,GK,Augsburg,de  Bundesliga,25-152,1999.0,15.0,504,361,141,36,0,0,0,0,0,0,0,0,354,2,1
1376,Alexandre Lacazette,FRA,FW,Lyon,fr  Ligue 1,33-287,1991.0,16.2,403,383,17,0,4,6,16,0,0,0,0,0,279,3,18
1377,Younes Lachaab,FRA,"MF,FW",Lille,fr  Ligue 1,20-064,2005.0,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
1378,Maxence Lacroix,FRA,DF,Crystal Palace,eng  Premier League,24-339,2000.0,24.9,1096,1064,32,28,2,6,6,2,0,0,0,0,895,0,11
1379,Alban Lafont,FRA,GK,Nantes,fr  Ligue 1,26-047,1999.0,12.0,367,278,88,31,0,1,0,0,0,0,0,0,256,1,1
1380,Yoel Lago,ESP,DF,Celta Vigo,es  La Liga,20-351,2004.0,1.5,143,141,2,2,1,1,0,0,0,0,0,0,129,0,0
1381,Konrad Laimer,AUT,DF,Bayern Munich,de  Bundesliga,27-288,1997.0,11.7,721,654,66,5,2,1,16,61,0,0,0,0,632,1,21
1382,Stefan Lainer,AUT,DF,Gladbach,de  Bundesliga,32-196,1992.0,6.1,361,302,58,3,2,0,20,55,0,0,0,0,286,1,5
1383,Kenny Lala,MAD,DF,Brest,fr  Ligue 1,33-159,1991.0,21.8,1291,1061,228,43,2,9,92,176,8,3,3,0,982,2,34
1384,Adam Lallana,ENG,MF,Southampton,eng  Premier League,36-305,1988.0,4.0,260,255,4,3,1,0,4,0,0,0,0,0,221,1,3
1385,Mathis Lambourde,FRA,"FW,MF",Hellas Verona,it  Serie A,19-061,2006.0,0.6,14,12,1,0,0,0,1,0,0,0,0,0,9,1,0
1386,Mohamed Lamine Bayo,GUI,FW,Lille,fr  Ligue 1,26-280,1998.0,3.4,58,49,9,0,0,0,0,0,0,0,0,0,41,0,2
1387,Tariq Lamptey,GHA,DF,Brighton,eng  Premier League,24-162,2000.0,8.5,381,316,64,5,0,1,24,58,1,1,0,0,314,1,4
1388,Will Lankshear,ENG,"FW,MF",Tottenham,eng  Premier League,19-325,2005.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1389,Gianluca Lapadula,PER,"FW,MF",Cagliari,it  Serie A,35-032,1990.0,3.4,63,60,3,0,0,0,3,0,0,0,0,0,38,0,4
1390,Cyle Larin,CAN,FW,Mallorca,es  La Liga,29-328,1995.0,13.8,224,218,5,0,0,0,3,2,0,0,0,0,151,1,8
1391,Gautier Larsonneur,FRA,GK,Saint-Étienne,fr  Ligue 1,28-016,1997.0,25.0,893,667,224,74,0,0,0,0,0,0,0,0,579,2,0
1392,Hugo Larsson,SWE,MF,Eint Frankfurt,de  Bundesliga,20-257,2004.0,19.2,911,891,19,16,0,5,4,3,0,0,0,0,802,1,12
1393,Juanmi Latasa,ESP,FW,Valladolid,es  La Liga,23-353,2001.0,8.1,144,129,14,1,1,1,4,0,0,0,0,0,83,1,1
1394,Toni Lato,ESP,DF,Mallorca,es  La Liga,27-110,1997.0,4.0,199,158,39,1,0,0,17,38,0,0,0,0,145,2,4
1395,Roméo Lavia,BEL,MF,Chelsea,eng  Premier League,21-064,2004.0,5.9,285,282,2,2,3,2,0,0,0,0,0,0,261,1,1
1396,Valentino Lazaro,AUT,"DF,FW",Torino,it  Serie A,28-352,1996.0,21.4,996,832,161,20,0,0,122,95,46,25,18,0,749,3,23
1397,Darko Lazović,SRB,"DF,FW",Hellas Verona,it  Serie A,34-177,1990.0,15.5,470,405,63,2,2,0,70,49,12,8,3,0,290,2,22
1398,Manuel Lazzari,ITA,DF,Lazio,it  Serie A,31-102,1993.0,12.8,651,543,107,13,1,1,84,94,0,0,0,0,514,1,19
1399,Julien Le Cardinal,FRA,DF,Brest,fr  Ligue 1,27-220,1997.0,11.8,612,578,32,26,0,11,2,1,0,0,0,0,528,2,1
1400,Jérémy Le Douaron,FRA,FW,Brest,fr  Ligue 1,26-324,1998.0,1.1,14,14,0,0,0,0,0,0,0,0,0,0,11,0,0
1401,Enzo Le Fée,FRA,MF,Roma,it  Serie A,25-036,2000.0,3.5,263,247,15,9,1,2,7,2,3,2,1,0,226,1,1
1402,Robin Le Normand,ESP,DF,Atlético Madrid,es  La Liga,28-120,1996.0,15.3,855,837,18,13,0,3,1,4,0,0,0,0,773,0,3
1403,Nicola Leali,ITA,GK,Genoa,it  Serie A,32-022,1993.0,21.0,683,466,215,66,0,1,0,0,0,0,0,0,496,2,1
1404,Rafael Leão,POR,FW,Milan,it  Serie A,25-274,1999.0,19.9,680,652,26,3,8,4,47,15,8,0,0,0,511,2,19
1405,Benjamin Lecomte,FRA,GK,Montpellier,fr  Ligue 1,33-319,1991.0,22.0,791,568,222,73,0,1,0,0,0,0,0,0,525,1,1
1406,Pierre Lees-Melou,FRA,MF,Brest,fr  Ligue 1,31-290,1993.0,9.1,527,507,18,13,2,9,11,3,2,2,0,0,451,2,9
1407,Jordan Lefort,FRA,DF,Angers,fr  Ligue 1,31-214,1993.0,25.0,1325,1244,73,66,4,7,11,5,0,0,0,0,1098,8,17
1408,Diogo Leite,POR,DF,Union Berlin,de  Bundesliga,26-047,1999.0,22.6,1233,1156,71,32,0,7,8,26,0,0,0,0,971,6,15
1409,Maxim Leitsch,GER,DF,Mainz 05,de  Bundesliga,26-297,1998.0,7.5,370,340,30,5,0,0,3,15,0,0,0,0,289,0,2
1410,Florian Lejeune,FRA,DF,Rayo Vallecano,es  La Liga,33-295,1991.0,26.9,1464,1381,81,63,0,22,4,4,0,0,0,0,1220,2,15
1411,Stefan Lekovic,SRB,DF,Monza,it  Serie A,21-061,2004.0,3.5,152,149,3,1,0,0,0,2,0,0,0,0,131,0,0
1412,Iñigo Lekue,ESP,DF,Athletic Club,es  La Liga,31-311,1993.0,5.3,289,234,53,7,0,0,12,46,0,0,0,0,222,2,4
1413,Nunzio Lella,ITA,MF,Venezia,it  Serie A,24-226,2000.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1414,Thomas Lemar,FRA,MF,Atlético Madrid,es  La Liga,29-119,1995.0,0.4,16,12,4,3,0,0,2,1,0,0,0,0,13,0,0
1415,Félix Lemaréchal,FRA,"MF,FW",Strasbourg,fr  Ligue 1,21-216,2003.0,12.5,410,387,19,4,2,0,11,3,4,3,1,0,321,4,15
1416,Mario Lemina,GAB,"MF,DF",Wolves,eng  Premier League,31-191,1993.0,15.2,613,582,26,9,6,4,10,9,0,0,0,0,493,5,7
1417,Clément Lenglet,FRA,DF,Atlético Madrid,es  La Liga,29-267,1995.0,14.3,882,857,24,23,0,10,1,1,0,0,0,0,767,1,10
1418,Bernd Leno,GER,GK,Fulham,eng  Premier League,33-007,1992.0,28.0,1053,872,180,61,0,0,0,0,0,0,0,0,862,1,1
1419,Donovan Léon,GUF,GK,Auxerre,fr  Ligue 1,32-128,1992.0,23.0,794,556,236,94,0,3,0,1,0,0,0,0,453,2,0
1420,Giovanni Leoni,ITA,DF,Parma,it  Serie A,18-080,2006.0,6.8,354,324,30,16,0,2,2,11,0,0,0,0,314,0,1
1421,Esteban Lepaul,FRA,FW,Angers,fr  Ligue 1,24-327,2000.0,9.4,187,177,8,0,1,1,10,1,0,0,0,0,129,2,7
1422,Johann Lepenant,FRA,MF,Nantes,fr  Ligue 1,22-140,2002.0,18.5,591,574,16,2,2,0,13,5,1,1,0,0,469,1,26
1423,Jefferson Lerma,COL,MF,Crystal Palace,eng  Premier League,30-137,1994.0,17.1,773,728,38,10,4,5,5,27,0,0,0,0,579,7,12
1424,Louis Leroux,FRA,"MF,DF",Nantes,fr  Ligue 1,19-047,2006.0,3.9,122,118,4,1,0,0,5,3,0,0,0,0,98,0,3
1425,Robert Lewandowski,POL,FW,Barcelona,es  La Liga,36-202,1988.0,22.3,412,399,9,1,3,6,4,0,0,0,0,0,304,4,17
1426,Jamie Leweling,GER,"MF,FW",Stuttgart,de  Bundesliga,24-013,2001.0,13.7,448,430,13,1,2,1,48,12,0,0,0,0,322,5,24
1427,Rico Lewis,ENG,"DF,MF",Manchester City,eng  Premier League,20-110,2004.0,17.9,1080,979,101,20,3,0,3,81,0,0,0,0,998,0,15
1428,Keane Lewis-Potter,ENG,"DF,FW",Brentford,eng  Premier League,24-017,2001.0,25.3,921,815,99,8,2,6,58,89,1,0,0,0,722,7,22
1429,Myles Lewis-Skelly,ENG,DF,Arsenal,eng  Premier League,18-166,2006.0,7.5,383,316,63,6,3,1,3,57,0,0,0,0,351,4,0
1430,Ben Lhassine Kone,CIV,MF,Como,it  Serie A,24-362,2000.0,0.6,24,22,2,2,0,0,0,0,0,0,0,0,23,0,0
1431,Mattia Liberali,ITA,MF,Milan,it  Serie A,17-339,2007.0,0.7,31,31,0,0,0,0,2,0,0,0,0,0,24,0,2
1432,Philipp Lienhart,AUT,DF,Freiburg,de  Bundesliga,28-243,1996.0,22.0,1685,1574,105,43,0,14,4,9,0,0,0,0,1467,6,9
1433,Matthijs de Ligt,NED,DF,Manchester Utd,eng  Premier League,25-211,1999.0,21.2,1247,1220,24,17,0,8,6,0,0,0,0,0,1126,3,8
1434,Pedro Lima,BRA,DF,Wolves,eng  Premier League,18-253,2006.0,0.8,38,31,7,0,0,0,5,7,0,0,0,0,28,0,2
1435,Victor Lindelöf,SWE,DF,Manchester Utd,eng  Premier League,30-237,1994.0,1.7,59,57,2,1,0,0,1,1,0,0,0,0,54,0,0
1436,Jesper Lindstrøm,DEN,FW,Everton,eng  Premier League,25-010,2000.0,13.5,409,364,42,11,1,0,71,6,25,12,8,2,281,3,16
1437,Karol Linetty,POL,MF,Torino,it  Serie A,30-037,1995.0,14.2,482,461,20,13,1,2,4,0,2,2,0,0,406,1,8
1438,Samuel Lino,BRA,"MF,DF",Atlético Madrid,es  La Liga,25-078,1999.0,12.7,622,595,27,3,1,3,28,22,2,0,0,0,495,0,27
1439,Pol Lirola,ESP,DF,Marseille,fr  Ligue 1,27-210,1997.0,5.6,287,250,36,1,0,0,13,35,0,0,0,0,229,1,11
1440,Dailon Livramento,CPV,"FW,MF",Hellas Verona,it  Serie A,23-311,2001.0,8.7,134,132,2,0,0,2,16,0,0,0,0,0,68,0,13
1441,Valentino Livramento,ENG,DF,Newcastle Utd,eng  Premier League,22-119,2002.0,21.6,1135,935,197,14,0,0,32,182,1,0,0,0,961,3,19
1442,Marin Ljubicic,CRO,"FW,MF",Union Berlin,de  Bundesliga,23-011,2002.0,1.2,23,21,2,0,0,0,0,0,0,0,0,0,15,0,3
1443,Javier Llabrés,ESP,FW,Mallorca,es  La Liga,22-181,2002.0,0.6,24,24,0,0,0,0,4,0,0,0,0,0,20,0,0
1444,Diego Llorente,ESP,DF,Betis,es  La Liga,31-207,1993.0,25.6,1431,1375,53,47,0,11,1,5,0,0,0,0,1237,3,7
1445,Marcos Llorente,ESP,"DF,MF",Atlético Madrid,es  La Liga,30-040,1995.0,16.9,939,823,111,6,1,2,38,105,0,0,0,0,798,5,21
1446,Gautier Lloris,FRA,DF,Le Havre,fr  Ligue 1,29-236,1995.0,24.0,1183,1149,30,24,0,5,2,4,0,0,0,0,1033,4,6
1447,Giovani Lo Celso,ARG,"MF,FW",Betis,es  La Liga,28-336,1996.0,11.5,679,561,118,55,8,6,78,8,52,26,19,0,521,0,17
1448,Stanislav Lobotka,SVK,MF,Napoli,it  Serie A,30-106,1994.0,22.7,1347,1314,30,30,3,7,2,0,0,0,0,0,1220,3,9
1449,Manuel Locatelli,ITA,MF,Juventus,it  Serie A,27-062,1998.0,21.7,1711,1635,72,65,1,23,13,4,3,0,2,0,1512,4,12
1450,Ruben Loftus-Cheek,ENG,MF,Milan,it  Serie A,29-047,1996.0,7.6,283,280,3,3,1,1,5,0,0,0,0,0,251,0,2
1451,Elysée Logbo,FRA,FW,Le Havre,fr  Ligue 1,20-309,2004.0,0.3,4,3,1,0,0,0,0,0,0,0,0,0,3,0,0
1452,Enzo Loiodice,FRA,MF,Las Palmas,es  La Liga,24-104,2000.0,5.6,317,309,8,3,0,1,9,0,5,2,1,1,266,0,8
1453,Sean Longstaff,ENG,MF,Newcastle Utd,eng  Premier League,27-132,1997.0,8.3,324,320,3,1,2,3,5,0,1,0,0,1,273,1,11
1454,Ademola Lookman,NGA,"FW,MF",Atalanta,it  Serie A,27-142,1997.0,17.4,666,595,68,4,2,1,77,7,57,25,18,0,491,3,27
1455,Anthony Lopes,POR,GK,Nantes,fr  Ligue 1,34-161,1990.0,10.0,309,204,105,48,0,1,0,0,0,0,0,0,180,0,0
1456,David López,ESP,DF,Girona,es  La Liga,35-153,1989.0,21.8,1653,1575,75,52,0,14,3,4,0,0,0,0,1508,3,7
1457,Diego López,ESP,"MF,FW",Valencia,es  La Liga,22-302,2002.0,21.4,645,609,34,0,3,2,54,32,0,0,0,0,456,2,41
1458,Fer López,nan,"FW,MF",Celta Vigo,es  La Liga,,,2.6,77,77,0,0,3,0,0,0,0,0,0,0,66,0,0
1459,Fermin López,ESP,"MF,FW",Barcelona,es  La Liga,21-304,2003.0,7.2,316,305,10,2,3,1,18,1,6,2,0,0,259,1,4
1460,Javi López,ESP,DF,Real Sociedad,es  La Liga,22-351,2002.0,16.2,792,596,195,16,0,7,39,179,0,0,0,0,630,1,22
1461,Pau López,ESP,GK,Girona,es  La Liga,30-088,1994.0,0.5,24,16,8,1,0,0,0,0,0,0,0,0,18,0,0
1462,Roberto López,ESP,MF,Leganés,es  La Liga,24-321,2000.0,4.4,205,174,27,13,0,3,23,1,11,6,3,0,152,4,5
1463,Unai López,ESP,MF,Rayo Vallecano,es  La Liga,29-132,1995.0,12.5,806,767,37,13,3,5,15,10,8,3,2,0,681,2,9
1464,Iker Losada,ESP,"FW,MF",Celta Vigo,es  La Liga,23-222,2001.0,2.6,85,84,0,0,0,2,4,0,0,0,0,0,64,1,4
1465,Iker Losada,ESP,"MF,FW",Betis,es  La Liga,23-222,2001.0,3.7,142,141,1,1,2,1,4,0,0,0,0,0,107,0,6
1466,Anthony Losilla,FRA,MF,Bochum,de  Bundesliga,39-001,1986.0,12.0,386,377,8,8,0,1,4,0,0,0,0,0,294,1,7
1467,Jordan Lotomba,SUI,"MF,DF",Nice,fr  Ligue 1,26-163,1998.0,0.4,21,19,2,0,0,0,2,2,0,0,0,0,17,0,0
1468,Tom Louchet,FRA,"DF,MF",Nice,fr  Ligue 1,21-311,2003.0,6.8,354,294,57,12,0,0,26,44,1,0,0,0,290,3,9
1469,Sandi Lovrić,SVN,MF,Udinese,it  Serie A,26-348,1998.0,20.4,756,680,74,28,3,4,71,9,37,2,23,0,597,2,16
1470,Pol Lozano,ESP,MF,Espanyol,es  La Liga,25-156,1999.0,15.7,613,573,39,25,3,8,15,4,10,2,5,0,512,1,11
1471,Lorenzo Lucca,ITA,FW,Udinese,it  Serie A,24-182,2000.0,21.0,309,275,34,0,1,3,5,0,0,0,0,0,197,0,8
1472,Jhon Lucumí,COL,DF,Bologna,it  Serie A,26-258,1998.0,20.9,1515,1435,79,46,0,11,3,4,0,0,0,0,1379,1,6
1473,Yannik Lührs,GER,DF,Dortmund,de  Bundesliga,21-183,2003.0,1.4,166,158,7,2,0,0,0,1,0,0,0,0,152,1,1
1474,José Luis Gayà,ESP,DF,Valencia,es  La Liga,29-290,1995.0,11.7,595,500,93,4,1,2,52,89,0,0,0,0,458,2,12
1475,José Luis Palomino,ARG,DF,Cagliari,it  Serie A,35-065,1990.0,4.3,219,208,10,6,0,0,0,3,0,0,0,0,188,1,0
1476,Douglas Luiz,BRA,MF,Juventus,it  Serie A,26-306,1998.0,5.4,411,376,34,13,0,4,23,4,17,5,11,0,356,1,1
1477,Romelu Lukaku,BEL,FW,Napoli,it  Serie A,31-302,1993.0,22.3,368,331,37,1,5,0,2,0,0,0,0,0,261,0,16
1478,Castello Lukeba,FRA,DF,RB Leipzig,de  Bundesliga,22-084,2002.0,11.3,822,788,33,12,0,7,5,19,0,0,0,0,722,1,9
1479,Dodi Lukebakio,BEL,FW,Sevilla,es  La Liga,27-168,1997.0,25.0,772,695,73,16,5,7,100,5,52,38,9,0,571,4,22
1480,Saša Lukić,SRB,MF,Fulham,eng  Premier League,28-210,1996.0,19.3,965,892,72,31,1,3,49,1,37,11,20,0,848,1,18
1481,Milos Lukovic,SRB,"FW,MF",Strasbourg,fr  Ligue 1,19-113,2005.0,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
1482,Joe Lumley,ENG,GK,Southampton,eng  Premier League,30-024,1995.0,3.0,151,128,22,7,0,0,0,0,0,0,0,0,106,1,0
1483,Daniel Luna,COL,MF,Mallorca,es  La Liga,21-308,2003.0,0.2,13,11,2,0,0,0,3,1,1,1,0,0,8,0,0
1484,Andriy Lunin,UKR,GK,Real Madrid,es  La Liga,26-028,1999.0,4.0,147,114,33,5,0,1,0,0,0,0,0,0,125,0,1
1485,Massimo Luongo,AUS,MF,Ipswich Town,eng  Premier League,32-167,1992.0,2.0,53,51,1,1,0,0,1,0,0,0,0,0,39,1,1
1486,Sebastiano Luperto,ITA,DF,Cagliari,it  Serie A,28-186,1996.0,28.0,1271,1212,56,38,1,1,5,7,0,0,0,0,1075,3,10
1487,Zito Luvumbo,ANG,"FW,MF",Cagliari,it  Serie A,23-002,2002.0,12.3,229,216,13,1,0,0,47,3,2,1,0,0,136,0,13
1488,Charalambos Lykogiannis,GRE,DF,Bologna,it  Serie A,31-140,1993.0,9.6,593,464,126,37,0,11,82,65,24,6,17,0,426,3,17
1489,Senne Lynen,BEL,MF,Werder Bremen,de  Bundesliga,26-020,1999.0,21.9,970,929,36,31,2,3,4,1,0,0,0,0,801,5,11
1490,Mathias Løvik,NOR,"DF,FW",Parma,it  Serie A,21-095,2003.0,0.9,51,44,6,0,0,0,3,6,0,0,0,0,38,1,2
1491,Othmane Maamma,MAR,"FW,MF",Montpellier,fr  Ligue 1,19-156,2005.0,1.9,45,42,3,0,0,0,7,3,0,0,0,0,29,0,1
1492,Ian Maatsen,NED,DF,Aston Villa,eng  Premier League,23-001,2002.0,6.9,440,374,66,10,1,0,35,52,4,2,0,0,358,0,17
1493,Alexis Mac Allister,ARG,MF,Liverpool,eng  Premier League,26-077,1998.0,23.5,1227,1158,65,22,4,3,43,8,35,15,13,0,1045,4,26
1494,Deiver Machado,COL,DF,Lens,fr  Ligue 1,31-190,1993.0,14.1,655,546,108,5,0,0,40,98,5,3,0,0,550,1,9
1495,Shuto Machino,JPN,"FW,MF",Holstein Kiel,de  Bundesliga,25-162,1999.0,14.7,471,383,86,2,1,0,20,69,3,0,2,0,302,2,21
1496,Darwin Machís,VEN,"FW,MF",Valladolid,es  La Liga,32-032,1993.0,4.7,167,142,25,7,0,2,37,1,17,9,3,0,101,0,6
1497,Yvann Macon,FRA,DF,Saint-Étienne,fr  Ligue 1,26-161,1998.0,5.8,312,268,43,5,0,1,20,38,0,0,0,0,230,1,8
1498,James Maddison,ENG,MF,Tottenham,eng  Premier League,28-108,1996.0,16.7,1070,958,107,39,11,5,87,4,56,36,6,0,859,5,12
1499,Eros Maddy,NED,DF,Auxerre,fr  Ligue 1,24-034,2001.0,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
1500,Noni Madueke,ENG,FW,Chelsea,eng  Premier League,23-001,2002.0,16.1,486,466,16,0,1,4,46,15,1,0,0,0,380,4,10
1501,Pablo Maffeo,ESP,DF,Mallorca,es  La Liga,27-242,1997.0,18.6,732,555,170,7,3,0,67,163,0,0,0,0,506,7,24
1502,Gabriel Magalhães,BRA,DF,Arsenal,eng  Premier League,27-082,1997.0,25.1,1579,1504,74,47,1,8,9,3,0,0,0,0,1425,1,7
1503,Soungoutou Magassa,FRA,MF,Monaco,fr  Ligue 1,21-154,2003.0,9.8,538,526,8,8,4,6,6,0,0,0,0,0,455,4,8
1504,Edmond-Paris Maghoma,ENG,"MF,FW",Brentford,eng  Premier League,23-307,2001.0,1.2,69,68,1,1,0,0,3,0,0,0,0,0,61,0,2
1505,Giangiacomo Magnani,ITA,DF,Hellas Verona,it  Serie A,29-158,1995.0,11.8,393,373,19,14,0,2,2,5,0,0,0,0,317,1,2
1506,Hugo Magnetti,FRA,MF,Brest,fr  Ligue 1,26-285,1998.0,19.7,797,756,37,27,0,5,11,7,0,0,0,0,670,4,13
1507,Frank Magri,CMR,FW,Toulouse,fr  Ligue 1,25-188,1999.0,9.4,153,137,14,0,2,0,2,2,0,0,0,0,111,2,7
1508,Harry Maguire,ENG,DF,Manchester Utd,eng  Premier League,32-006,1993.0,15.1,879,841,34,19,0,8,2,1,0,0,0,0,762,4,3
1509,Jon Magunazelaia,ESP,MF,Real Sociedad,es  La Liga,24-241,2000.0,0.1,13,13,0,0,1,0,0,0,0,0,0,0,7,0,1
1510,Arne Maier,GER,MF,Augsburg,de  Bundesliga,26-062,1999.0,9.1,501,437,62,18,2,2,54,0,39,11,21,0,381,2,14
1511,Mike Maignan,FRA,GK,Milan,it  Serie A,29-251,1995.0,27.0,1110,904,202,56,1,2,0,0,0,0,0,0,953,4,0
1512,Patrick Mainka,GER,DF,Heidenheim,de  Bundesliga,30-125,1994.0,25.0,1198,1171,23,20,0,0,4,2,0,0,0,0,1015,4,12
1513,Kobbie Mainoo,ENG,MF,Manchester Utd,eng  Premier League,19-326,2005.0,14.3,672,649,19,11,2,3,4,5,0,0,0,0,580,4,13
1514,Ainsley Maitland-Niles,ENG,"DF,MF",Lyon,fr  Ligue 1,27-194,1997.0,14.5,811,683,123,14,2,5,30,98,11,7,2,0,674,5,19
1515,Radosław Majecki,POL,GK,Monaco,fr  Ligue 1,25-115,1999.0,15.0,407,293,114,27,0,0,0,0,0,0,0,0,304,0,0
