,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
131,Dennis Appiah,FRA,DF,Saint-Étienne,fr  Ligue 1,32-275,1992.0,17.6,870,697,170,13,3,2,38,157,0,0,0,0,656,3,35
132,Aritz Arambarri,ESP,DF,Leganés,es  La Liga,27-039,1998.0,2.0,67,65,2,2,0,1,0,0,0,0,0,0,49,0,1
133,Mauro Arambarri,URU,MF,Getafe,es  La Liga,29-162,1995.0,20.1,550,529,17,12,2,6,13,0,1,1,0,0,397,4,6
134,Jon Aramburu,VEN,DF,Real Sociedad,es  La Liga,22-231,2002.0,20.3,1109,884,224,26,0,1,35,198,0,0,0,0,863,1,28
135,Julian Araujo,MEX,DF,Bournemouth,eng  Premier League,23-210,2001.0,3.9,166,141,25,1,0,0,4,24,0,0,0,0,131,0,2
136,Ronald Araújo,URU,DF,Barcelona,es  La Liga,26-004,1999.0,2.6,258,247,10,7,0,0,0,2,0,0,0,0,239,1,0
137,Cameron Archer,ENG,FW,Southampton,eng  Premier League,23-233,2001.0,12.9,195,179,16,0,2,0,3,0,0,0,0,0,158,0,6
138,Carlens Arcus,HAI,DF,Angers,fr  Ligue 1,28-256,1996.0,17.1,767,626,137,18,2,3,43,118,1,0,0,0,605,4,14
139,Alphonse Areola,FRA,GK,West Ham,eng  Premier League,32-012,1993.0,16.1,648,459,185,45,0,2,0,0,0,0,0,0,455,4,2
140,Adu Ares,ESP,FW,Athletic Club,es  La Liga,23-150,2001.0,0.2,9,9,0,0,0,0,1,0,0,0,0,0,5,0,1
141,Jesús Areso,ESP,DF,Osasuna,es  La Liga,25-252,1999.0,22.6,1069,810,255,2,0,2,116,253,0,0,0,0,765,4,48
142,David Argüelles,ESP,MF,Getafe,es  La Liga,23-069,2002.0,0.1,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
143,Joe Aribo,NGA,"MF,DF",Southampton,eng  Premier League,28-233,1996.0,19.3,886,874,11,2,2,1,9,4,0,0,0,0,781,1,14
144,Adam Armstrong,ENG,"FW,MF",Southampton,eng  Premier League,28-029,1997.0,13.9,288,268,18,0,0,1,14,3,0,0,0,0,231,2,12
145,Harrison Armstrong,ENG,MF,Everton,eng  Premier League,18-051,2007.0,0.5,15,13,1,0,0,0,1,0,0,0,0,0,7,1,0
146,José Arnaiz,ESP,"FW,MF",Osasuna,es  La Liga,29-330,1995.0,0.6,41,35,6,2,0,1,10,1,3,3,0,0,26,0,4
147,Hákon Arnar Haraldsson,ISL,"MF,FW",Lille,fr  Ligue 1,21-335,2003.0,12.6,650,614,34,8,1,3,31,7,17,6,6,0,523,2,14
148,Marko Arnautović,AUT,FW,Inter,it  Serie A,35-326,1989.0,2.7,76,74,2,0,0,0,3,0,0,0,0,0,51,0,2
149,Maximilian Arnold,GER,MF,Wolfsburg,de  Bundesliga,30-288,1994.0,19.9,999,830,167,86,1,11,109,2,62,37,24,1,782,2,13
150,Jann-Fiete Arp,GER,"FW,MF",Holstein Kiel,de  Bundesliga,25-064,2000.0,7.1,148,123,20,3,1,4,20,7,7,5,2,0,87,5,6
151,Sergio Arribas,ESP,DF,Betis,es  La Liga,22-029,2003.0,1.0,54,40,13,1,0,0,0,12,0,0,0,0,37,1,2
152,Kepa Arrizabalaga,ESP,GK,Bournemouth,eng  Premier League,30-159,1994.0,21.0,677,481,192,58,0,0,0,0,0,0,0,0,479,4,1
153,Arthur,BRA,"DF,FW",Leverkusen,de  Bundesliga,21-359,2003.0,5.5,250,219,31,0,0,0,12,31,0,0,0,0,194,0,10
154,Takuma Asano,JPN,"FW,MF",Mallorca,es  La Liga,30-121,1994.0,8.3,144,143,1,0,0,2,16,0,0,0,0,0,88,0,11
155,Raúl Asencio,ESP,DF,Real Madrid,es  La Liga,22-026,2003.0,10.5,598,562,35,17,1,4,0,7,0,0,0,0,554,1,1
156,Marco Asensio,ESP,"MF,FW",Aston Villa,eng  Premier League,29-049,1996.0,2.3,90,78,10,1,0,0,8,0,9,4,0,0,71,2,1
